Created as New Dataset,PC (polycarbonate) GF
cm-1,%T
2794.00,99.38
2793.00,99.37
2792.00,99.36
2791.00,99.35
2790.00,99.34
2789.00,99.33
2788.00,99.33
2787.00,99.32
2786.00,99.31
2785.00,99.30
2784.00,99.29
2783.00,99.28
2782.00,99.27
2781.00,99.26
2780.00,99.26
2779.00,99.26
2778.00,99.27
2777.00,99.28
2776.00,99.29
2775.00,99.30
2774.00,99.31
2773.00,99.33
2772.00,99.34
2771.00,99.36
2770.00,99.37
2769.00,99.39
2768.00,99.40
2767.00,99.41
2766.00,99.42
2765.00,99.43
2764.00,99.44
2763.00,99.45
2762.00,99.46
2761.00,99.48
2760.00,99.49
2759.00,99.50
2758.00,99.51
2757.00,99.52
2756.00,99.53
2755.00,99.54
2754.00,99.55
2753.00,99.55
2752.00,99.56
2751.00,99.56
2750.00,99.57
2749.00,99.57
2748.00,99.57
2747.00,99.57
2746.00,99.57
2745.00,99.57
2744.00,99.56
2743.00,99.56
2742.00,99.55
2741.00,99.55
2740.00,99.55
2739.00,99.55
2738.00,99.54
2737.00,99.54
2736.00,99.53
2735.00,99.53
2734.00,99.52
2733.00,99.52
2732.00,99.52
2731.00,99.52
2730.00,99.53
2729.00,99.53
2728.00,99.53
2727.00,99.53
2726.00,99.53
2725.00,99.53
2724.00,99.53
2723.00,99.52
2722.00,99.52
2721.00,99.51
2720.00,99.50
2719.00,99.50
2718.00,99.50
2717.00,99.50
2716.00,99.51
2715.00,99.51
2714.00,99.52
2713.00,99.53
2712.00,99.53
2711.00,99.54
2710.00,99.55
2709.00,99.55
2708.00,99.56
2707.00,99.57
2706.00,99.58
2705.00,99.59
2704.00,99.59
2703.00,99.60
2702.00,99.60
2701.00,99.61
2700.00,99.61
2699.00,99.61
2698.00,99.62
2697.00,99.62
2696.00,99.62
2695.00,99.63
2694.00,99.63
2693.00,99.64
2692.00,99.64
2691.00,99.64
2690.00,99.65
2689.00,99.65
2688.00,99.65
2687.00,99.65
2686.00,99.65
2685.00,99.65
2684.00,99.65
2683.00,99.65
2682.00,99.65
2681.00,99.65
2680.00,99.64
2679.00,99.64
2678.00,99.64
2677.00,99.64
2676.00,99.64
2675.00,99.63
2674.00,99.63
2673.00,99.63
2672.00,99.63
2671.00,99.63
2670.00,99.63
2669.00,99.63
2668.00,99.63
2667.00,99.63
2666.00,99.63
2665.00,99.62
2664.00,99.61
2663.00,99.61
2662.00,99.60
2661.00,99.60
2660.00,99.59
2659.00,99.59
2658.00,99.58
2657.00,99.58
2656.00,99.58
2655.00,99.58
2654.00,99.58
2653.00,99.58
2652.00,99.58
2651.00,99.58
2650.00,99.58
2649.00,99.59
2648.00,99.59
2647.00,99.59
2646.00,99.59
2645.00,99.59
2644.00,99.59
2643.00,99.59
2642.00,99.59
2641.00,99.59
2640.00,99.59
2639.00,99.59
2638.00,99.59
2637.00,99.58
2636.00,99.58
2635.00,99.58
2634.00,99.58
2633.00,99.58
2632.00,99.58
2631.00,99.57
2630.00,99.57
2629.00,99.56
2628.00,99.56
2627.00,99.55
2626.00,99.54
2625.00,99.53
2624.00,99.52
2623.00,99.51
2622.00,99.51
2621.00,99.50
2620.00,99.50
2619.00,99.49
2618.00,99.49
2617.00,99.48
2616.00,99.48
2615.00,99.48
2614.00,99.47
2613.00,99.47
2612.00,99.47
2611.00,99.47
2610.00,99.47
2609.00,99.46
2608.00,99.46
2607.00,99.47
2606.00,99.47
2605.00,99.47
2604.00,99.47
2603.00,99.47
2602.00,99.47
2601.00,99.47
2600.00,99.47
2599.00,99.47
2598.00,99.47
2597.00,99.47
2596.00,99.47
2595.00,99.47
2594.00,99.48
2593.00,99.47
2592.00,99.47
2591.00,99.48
2590.00,99.48
2589.00,99.48
2588.00,99.48
2587.00,99.48
2586.00,99.49
2585.00,99.49
2584.00,99.50
2583.00,99.50
2582.00,99.50
2581.00,99.51
2580.00,99.51
2579.00,99.52
2578.00,99.52
2577.00,99.52
2576.00,99.53
2575.00,99.53
2574.00,99.54
2573.00,99.55
2572.00,99.56
2571.00,99.56
2570.00,99.57
2569.00,99.58
2568.00,99.59
2567.00,99.59
2566.00,99.60
2565.00,99.60
2564.00,99.60
2563.00,99.60
2562.00,99.60
2561.00,99.60
2560.00,99.60
2559.00,99.60
2558.00,99.61
2557.00,99.61
2556.00,99.61
2555.00,99.61
2554.00,99.60
2553.00,99.60
2552.00,99.59
2551.00,99.59
2550.00,99.59
2549.00,99.59
2548.00,99.59
2547.00,99.59
2546.00,99.59
2545.00,99.59
2544.00,99.59
2543.00,99.58
2542.00,99.58
2541.00,99.58
2540.00,99.57
2539.00,99.57
2538.00,99.56
2537.00,99.55
2536.00,99.55
2535.00,99.54
2534.00,99.54
2533.00,99.54
2532.00,99.53
2531.00,99.54
2530.00,99.54
2529.00,99.54
2528.00,99.54
2527.00,99.54
2526.00,99.55
2525.00,99.55
2524.00,99.55
2523.00,99.56
2522.00,99.56
2521.00,99.56
2520.00,99.57
2519.00,99.57
2518.00,99.57
2517.00,99.57
2516.00,99.56
2515.00,99.56
2514.00,99.55
2513.00,99.55
2512.00,99.54
2511.00,99.54
2510.00,99.53
2509.00,99.52
2508.00,99.51
2507.00,99.51
2506.00,99.51
2505.00,99.51
2504.00,99.51
2503.00,99.50
2502.00,99.50
2501.00,99.49
2500.00,99.48
2499.00,99.47
2498.00,99.46
2497.00,99.45
2496.00,99.44
2495.00,99.43
2494.00,99.42
2493.00,99.40
2492.00,99.39
2491.00,99.39
2490.00,99.38
2489.00,99.37
2488.00,99.37
2487.00,99.36
