Created as New Dataset,Nylon (6) GF
cm-1,%T
3138.00,94.58
3137.00,94.56
3136.00,94.53
3135.00,94.51
3134.00,94.48
3133.00,94.45
3132.00,94.43
3131.00,94.39
3130.00,94.35
3129.00,94.30
3128.00,94.24
3127.00,94.18
3126.00,94.12
3125.00,94.06
3124.00,93.99
3123.00,93.92
3122.00,93.85
3121.00,93.76
3120.00,93.67
3119.00,93.57
3118.00,93.46
3117.00,93.33
3116.00,93.20
3115.00,93.05
3114.00,92.90
3113.00,92.74
3112.00,92.59
3111.00,92.43
3110.00,92.27
3109.00,92.10
3108.00,91.92
3107.00,91.74
3106.00,91.55
3105.00,91.37
3104.00,91.19
3103.00,91.02
3102.00,90.85
3101.00,90.69
3100.00,90.53
3099.00,90.37
3098.00,90.22
3097.00,90.08
3096.00,89.95
3095.00,89.84
3094.00,89.75
3093.00,89.68
3092.00,89.62
3091.00,89.57
3090.00,89.52
3089.00,89.49
3088.00,89.48
3087.00,89.48
3086.00,89.49
3085.00,89.51
3084.00,89.54
3083.00,89.59
3082.00,89.65
3081.00,89.72
3080.00,89.79
3079.00,89.88
3078.00,89.96
3077.00,90.05
3076.00,90.14
3075.00,90.24
3074.00,90.35
3073.00,90.47
3072.00,90.60
3071.00,90.74
3070.00,90.88
3069.00,91.02
3068.00,91.17
3067.00,91.31
3066.00,91.45
3065.00,91.59
3064.00,91.73
3063.00,91.88
3062.00,92.03
3061.00,92.19
3060.00,92.35
3059.00,92.51
3058.00,92.68
3057.00,92.85
3056.00,93.02
3055.00,93.18
3054.00,93.35
3053.00,93.51
3052.00,93.68
3051.00,93.84
3050.00,93.99
3049.00,94.15
3048.00,94.30
3047.00,94.45
3046.00,94.60
3045.00,94.74
3044.00,94.87
3043.00,94.99
3042.00,95.11
3041.00,95.22
3040.00,95.31
3039.00,95.41
3038.00,95.50
3037.00,95.60
3036.00,95.69
3035.00,95.78
3034.00,95.85
3033.00,95.91
3032.00,95.97
3031.00,96.03
3030.00,96.08
3029.00,96.13
3028.00,96.18
3027.00,96.23
3026.00,96.27
3025.00,96.31
3024.00,96.34
3023.00,96.37
3022.00,96.40
3021.00,96.43
3020.00,96.46
3019.00,96.49
3018.00,96.52
3017.00,96.54
3016.00,96.57
3015.00,96.59
3014.00,96.60
3013.00,96.61
3012.00,96.61
3011.00,96.61
3010.00,96.61
3009.00,96.61
3008.00,96.61
3007.00,96.61
3006.00,96.61
3005.00,96.61
3004.00,96.60
3003.00,96.58
3002.00,96.56
3001.00,96.54
3000.00,96.53
2999.00,96.50
2998.00,96.47
2997.00,96.43
2996.00,96.39
2995.00,96.34
2994.00,96.28
2993.00,96.22
2992.00,96.15
2991.00,96.07
2990.00,95.98
2989.00,95.88
2988.00,95.77
2987.00,95.65
2986.00,95.51
2985.00,95.35
2984.00,95.18
2983.00,95.00
2982.00,94.79
2981.00,94.58
2980.00,94.34
2979.00,94.09
2978.00,93.81
2977.00,93.51
2976.00,93.19
2975.00,92.84
2974.00,92.46
2973.00,92.06
2972.00,91.63
2971.00,91.18
2970.00,90.70
2969.00,90.20
2968.00,89.69
2967.00,89.17
2966.00,88.65
2965.00,88.14
2964.00,87.63
2963.00,87.14
2962.00,86.65
2961.00,86.15
2960.00,85.66
2959.00,85.14
2958.00,84.59
2957.00,84.01
2956.00,83.38
2955.00,82.70
2954.00,81.96
2953.00,81.17
2952.00,80.34
2951.00,79.46
2950.00,78.57
2949.00,77.67
2948.00,76.79
2947.00,75.94
2946.00,75.14
2945.00,74.39
2944.00,73.68
2943.00,73.02
2942.00,72.38
2941.00,71.77
2940.00,71.19
2939.00,70.63
2938.00,70.10
