Created as New Dataset,PE postconsumer EDA plastic
cm-1,%T
2534.00,99.17
2533.00,99.17
2532.00,99.16
2531.00,99.16
2530.00,99.16
2529.00,99.16
2528.00,99.16
2527.00,99.16
2526.00,99.17
2525.00,99.17
2524.00,99.18
2523.00,99.18
2522.00,99.18
2521.00,99.18
2520.00,99.18
2519.00,99.18
2518.00,99.19
2517.00,99.20
2516.00,99.20
2515.00,99.21
2514.00,99.22
2513.00,99.22
2512.00,99.22
2511.00,99.22
2510.00,99.22
2509.00,99.22
2508.00,99.22
2507.00,99.21
2506.00,99.21
2505.00,99.21
2504.00,99.22
2503.00,99.22
2502.00,99.22
2501.00,99.23
2500.00,99.23
2499.00,99.23
2498.00,99.23
2497.00,99.23
2496.00,99.23
2495.00,99.23
2494.00,99.23
2493.00,99.24
2492.00,99.24
2491.00,99.24
2490.00,99.24
2489.00,99.24
2488.00,99.24
2487.00,99.25
2486.00,99.25
2485.00,99.25
2484.00,99.24
2483.00,99.24
2482.00,99.23
2481.00,99.23
2480.00,99.24
2479.00,99.24
2478.00,99.24
2477.00,99.24
2476.00,99.24
2475.00,99.24
2474.00,99.24
2473.00,99.24
2472.00,99.25
2471.00,99.25
2470.00,99.26
2469.00,99.27
2468.00,99.27
2467.00,99.27
2466.00,99.27
2465.00,99.27
2464.00,99.27
2463.00,99.26
2462.00,99.26
2461.00,99.26
2460.00,99.26
