Created as New Dataset,PLA (polylactic acid) GF
cm-1,%T
3196.00,99.97
3195.00,99.97
3194.00,99.97
3193.00,99.97
3192.00,99.98
3191.00,99.98
3190.00,99.98
3189.00,99.98
3188.00,99.98
3187.00,99.98
3186.00,99.98
3185.00,99.98
3184.00,99.99
3183.00,99.99
3182.00,99.99
3181.00,99.99
3180.00,99.99
3179.00,99.99
3178.00,99.99
3177.00,100.00
3176.00,100.00
3175.00,100.00
3174.00,100.00
3173.00,100.00
3172.00,100.00
3171.00,100.00
3170.00,100.00
3169.00,100.00
3168.00,100.00
3167.00,100.00
3166.00,100.00
3165.00,100.00
3164.00,100.00
3163.00,100.00
3162.00,100.01
3161.00,100.01
3160.00,100.01
3159.00,100.00
3158.00,100.00
3157.00,100.00
3156.00,99.99
3155.00,99.99
3154.00,99.99
3153.00,99.99
3152.00,100.00
3151.00,100.00
3150.00,100.00
3149.00,100.00
3148.00,100.00
3147.00,100.00
3146.00,100.00
3145.00,100.00
3144.00,100.00
3143.00,100.00
3142.00,100.01
3141.00,100.01
3140.00,100.01
3139.00,100.00
3138.00,100.00
3137.00,100.00
3136.00,100.00
3135.00,100.00
3134.00,100.00
3133.00,100.00
3132.00,99.99
3131.00,99.99
3130.00,99.99
3129.00,99.99
3128.00,99.99
3127.00,99.99
3126.00,99.99
3125.00,99.99
3124.00,99.99
3123.00,99.99
3122.00,99.99
3121.00,99.99
3120.00,99.99
3119.00,99.99
3118.00,99.99
3117.00,99.99
3116.00,99.98
3115.00,99.98
3114.00,99.98
3113.00,99.99
3112.00,99.98
3111.00,99.98
3110.00,99.98
3109.00,99.98
3108.00,99.97
3107.00,99.97
3106.00,99.97
3105.00,99.97
3104.00,99.96
3103.00,99.96
3102.00,99.95
3101.00,99.95
3100.00,99.94
3099.00,99.94
3098.00,99.93
3097.00,99.93
3096.00,99.93
3095.00,99.92
3094.00,99.92
3093.00,99.91
3092.00,99.91
3091.00,99.90
3090.00,99.90
3089.00,99.89
3088.00,99.89
3087.00,99.89
3086.00,99.89
3085.00,99.90
3084.00,99.90
3083.00,99.91
3082.00,99.91
3081.00,99.91
3080.00,99.92
3079.00,99.92
3078.00,99.93
3077.00,99.94
3076.00,99.94
3075.00,99.94
3074.00,99.94
3073.00,99.94
3072.00,99.94
3071.00,99.95
3070.00,99.95
3069.00,99.95
3068.00,99.95
3067.00,99.95
3066.00,99.95
3065.00,99.95
3064.00,99.95
3063.00,99.95
3062.00,99.96
3061.00,99.96
3060.00,99.97
3059.00,99.97
3058.00,99.97
3057.00,99.97
3056.00,99.97
3055.00,99.97
3054.00,99.97
3053.00,99.97
3052.00,99.97
3051.00,99.97
3050.00,99.97
3049.00,99.96
3048.00,99.96
3047.00,99.96
3046.00,99.96
3045.00,99.95
3044.00,99.95
3043.00,99.95
3042.00,99.95
3041.00,99.95
3040.00,99.95
3039.00,99.94
3038.00,99.94
3037.00,99.95
3036.00,99.94
3035.00,99.94
3034.00,99.93
3033.00,99.92
3032.00,99.92
3031.00,99.91
3030.00,99.91
3029.00,99.90
3028.00,99.89
3027.00,99.88
3026.00,99.87
3025.00,99.85
3024.00,99.84
3023.00,99.83
3022.00,99.82
3021.00,99.80
3020.00,99.79
3019.00,99.77
3018.00,99.75
3017.00,99.74
3016.00,99.71
3015.00,99.69
3014.00,99.67
3013.00,99.64
3012.00,99.61
3011.00,99.59
3010.00,99.56
3009.00,99.53
3008.00,99.50
3007.00,99.46
3006.00,99.43
3005.00,99.39
3004.00,99.36
3003.00,99.33
3002.00,99.31
3001.00,99.29
3000.00,99.27
2999.00,99.26
2998.00,99.25
2997.00,99.25
2996.00,99.27
2995.00,99.30
2994.00,99.34
2993.00,99.37
2992.00,99.41
2991.00,99.45
2990.00,99.49
2989.00,99.52
2988.00,99.55
2987.00,99.58
2986.00,99.61
2985.00,99.63
2984.00,99.64
2983.00,99.65
2982.00,99.66
2981.00,99.67
2980.00,99.67
2979.00,99.67
2978.00,99.66
2977.00,99.66
2976.00,99.65
2975.00,99.64
2974.00,99.63
2973.00,99.61
2972.00,99.60
2971.00,99.58
2970.00,99.56
2969.00,99.54
2968.00,99.51
2967.00,99.49
2966.00,99.46
2965.00,99.43
2964.00,99.40
2963.00,99.37
2962.00,99.34
2961.00,99.30
2960.00,99.27
2959.00,99.23
2958.00,99.21
2957.00,99.18
2956.00,99.17
2955.00,99.16
2954.00,99.16
2953.00,99.16
2952.00,99.15
2951.00,99.15
2950.00,99.15
2949.00,99.15
2948.00,99.15
2947.00,99.15
2946.00,99.15
2945.00,99.15
2944.00,99.15
2943.00,99.16
2942.00,99.16
2941.00,99.17
2940.00,99.16
2939.00,99.16
2938.00,99.14
2937.00,99.12
2936.00,99.09
2935.00,99.05
2934.00,99.01
2933.00,98.96
2932.00,98.90
2931.00,98.83
2930.00,98.76
2929.00,98.67
2928.00,98.57
2927.00,98.45
2926.00,98.31
2925.00,98.17
2924.00,98.01
2923.00,97.87
2922.00,97.73
2921.00,97.61
2920.00,97.53
2919.00,97.49
2918.00,97.51
2917.00,97.59
2916.00,97.72
2915.00,97.89
2914.00,98.08
2913.00,98.27
2912.00,98.45
2911.00,98.61
2910.00,98.73
2909.00,98.84
2908.00,98.92
2907.00,98.99
2906.00,99.05
2905.00,99.09
2904.00,99.13
2903.00,99.16
2902.00,99.19
2901.00,99.21
2900.00,99.23
2899.00,99.26
2898.00,99.28
2897.00,99.30
2896.00,99.32
2895.00,99.34
2894.00,99.35
2893.00,99.37
2892.00,99.38
2891.00,99.40
2890.00,99.41
2889.00,99.42
2888.00,99.44
2887.00,99.45
2886.00,99.46
2885.00,99.47
2884.00,99.48
2883.00,99.49
2882.00,99.50
2881.00,99.51
2880.00,99.51
2879.00,99.52
2878.00,99.52
2877.00,99.53
2876.00,99.53
2875.00,99.53
2874.00,99.54
2873.00,99.54
2872.00,99.55
2871.00,99.56
2870.00,99.57
2869.00,99.58
2868.00,99.58
2867.00,99.58
2866.00,99.57
2865.00,99.55
2864.00,99.52
2863.00,99.48
2862.00,99.44
2861.00,99.40
2860.00,99.35
2859.00,99.30
2858.00,99.22
2857.00,99.13
2856.00,99.02
2855.00,98.88
2854.00,98.72
2853.00,98.55
2852.00,98.39
2851.00,98.28
2850.00,98.25
2849.00,98.32
2848.00,98.48
2847.00,98.68
2846.00,98.90
2845.00,99.10
2844.00,99.27
2843.00,99.39
2842.00,99.49
2841.00,99.56
2840.00,99.62
2839.00,99.66
2838.00,99.70
2837.00,99.73
2836.00,99.75
2835.00,99.77
2834.00,99.79
2833.00,99.80
2832.00,99.80
2831.00,99.81
2830.00,99.82
2829.00,99.83
2828.00,99.84
2827.00,99.84
2826.00,99.85
2825.00,99.85
2824.00,99.86
2823.00,99.86
2822.00,99.87
2821.00,99.87
2820.00,99.87
2819.00,99.88
2818.00,99.88
2817.00,99.88
2816.00,99.89
2815.00,99.89
2814.00,99.89
2813.00,99.89
2812.00,99.90
2811.00,99.90
2810.00,99.90
2809.00,99.90
2808.00,99.91
2807.00,99.91
2806.00,99.91
2805.00,99.92
2804.00,99.92
2803.00,99.92
2802.00,99.92
2801.00,99.92
2800.00,99.92
2799.00,99.92
2798.00,99.92
2797.00,99.93
2796.00,99.93
2795.00,99.93
2794.00,99.93
2793.00,99.94
2792.00,99.94
2791.00,99.94
2790.00,99.94
2789.00,99.94
2788.00,99.94
2787.00,99.95
2786.00,99.95
2785.00,99.95
2784.00,99.95
2783.00,99.95
2782.00,99.95
2781.00,99.95
2780.00,99.96
2779.00,99.96
2778.00,99.96
2777.00,99.96
2776.00,99.96
2775.00,99.96
2774.00,99.96
2773.00,99.96
2772.00,99.96
2771.00,99.96
2770.00,99.97
2769.00,99.97
2768.00,99.97
2767.00,99.97
2766.00,99.97
2765.00,99.97
2764.00,99.97
2763.00,99.97
2762.00,99.97
2761.00,99.97
2760.00,99.98
2759.00,99.98
2758.00,99.98
2757.00,99.98
2756.00,99.98
2755.00,99.98
2754.00,99.98
2753.00,99.98
2752.00,99.98
2751.00,99.98
2750.00,99.98
2749.00,99.98
2748.00,99.97
2747.00,99.97
2746.00,99.97
2745.00,99.97
2744.00,99.97
2743.00,99.97
2742.00,99.98
2741.00,99.98
2740.00,99.98
2739.00,99.98
2738.00,99.98
2737.00,99.98
2736.00,99.98
2735.00,99.98
2734.00,99.98
2733.00,99.98
2732.00,99.98
2731.00,99.98
2730.00,99.98
2729.00,99.98
2728.00,99.97
2727.00,99.97
2726.00,99.97
2725.00,99.98
2724.00,99.98
2723.00,99.98
2722.00,99.98
2721.00,99.98
2720.00,99.98
2719.00,99.98
2718.00,99.98
2717.00,99.98
2716.00,99.98
2715.00,99.98
2714.00,99.98
2713.00,99.98
2712.00,99.98
2711.00,99.98
2710.00,99.98
2709.00,99.98
2708.00,99.98
2707.00,99.98
2706.00,99.98
2705.00,99.98
2704.00,99.98
2703.00,99.98
2702.00,99.99
2701.00,99.99
2700.00,99.99
2699.00,99.99
2698.00,99.99
2697.00,99.98
2696.00,99.98
2695.00,99.98
2694.00,99.98
2693.00,99.98
2692.00,99.98
2691.00,99.98
2690.00,99.98
2689.00,99.98
2688.00,99.98
2687.00,99.98
2686.00,99.98
2685.00,99.98
2684.00,99.98
2683.00,99.98
2682.00,99.98
2681.00,99.98
2680.00,99.98
2679.00,99.98
2678.00,99.98
2677.00,99.98
2676.00,99.98
2675.00,99.97
2674.00,99.97
2673.00,99.97
2672.00,99.97
2671.00,99.96
2670.00,99.96
2669.00,99.96
2668.00,99.96
2667.00,99.96
2666.00,99.96
2665.00,99.96
2664.00,99.95
2663.00,99.94
2662.00,99.93
2661.00,99.92
2660.00,99.91
2659.00,99.91
2658.00,99.90
2657.00,99.90
2656.00,99.90
2655.00,99.89
2654.00,99.88
2653.00,99.88
2652.00,99.88
2651.00,99.87
2650.00,99.87
2649.00,99.87
2648.00,99.87
2647.00,99.87
2646.00,99.87
2645.00,99.87
2644.00,99.87
2643.00,99.87
2642.00,99.87
2641.00,99.87
2640.00,99.87
2639.00,99.87
2638.00,99.87
2637.00,99.87
2636.00,99.87
2635.00,99.87
2634.00,99.87
2633.00,99.87
2632.00,99.87
2631.00,99.87
2630.00,99.88
2629.00,99.88
2628.00,99.88
2627.00,99.88
2626.00,99.88
2625.00,99.88
2624.00,99.88
2623.00,99.88
2622.00,99.88
2621.00,99.89
2620.00,99.89
2619.00,99.89
2618.00,99.90
2617.00,99.90
2616.00,99.91
2615.00,99.91
2614.00,99.90
2613.00,99.90
2612.00,99.90
2611.00,99.90
2610.00,99.90
2609.00,99.91
2608.00,99.91
2607.00,99.91
2606.00,99.91
2605.00,99.91
2604.00,99.91
2603.00,99.91
2602.00,99.91
2601.00,99.91
2600.00,99.91
2599.00,99.91
2598.00,99.91
2597.00,99.92
2596.00,99.92
2595.00,99.92
2594.00,99.92
2593.00,99.92
2592.00,99.92
2591.00,99.92
2590.00,99.92
2589.00,99.92
2588.00,99.92
2587.00,99.92
2586.00,99.92
2585.00,99.92
2584.00,99.92
2583.00,99.92
2582.00,99.93
2581.00,99.93
2580.00,99.93
2579.00,99.93
2578.00,99.93
2577.00,99.93
2576.00,99.93
2575.00,99.93
2574.00,99.93
2573.00,99.93
2572.00,99.93
2571.00,99.93
2570.00,99.93
2569.00,99.93
2568.00,99.93
2567.00,99.93
2566.00,99.94
2565.00,99.94
2564.00,99.94
2563.00,99.95
2562.00,99.95
2561.00,99.95
2560.00,99.95
2559.00,99.95
2558.00,99.95
2557.00,99.95
2556.00,99.95
2555.00,99.95
2554.00,99.95
2553.00,99.95
2552.00,99.95
2551.00,99.95
2550.00,99.96
2549.00,99.96
2548.00,99.96
2547.00,99.96
2546.00,99.96
2545.00,99.96
2544.00,99.96
2543.00,99.96
2542.00,99.96
2541.00,99.96
2540.00,99.96
2539.00,99.96
2538.00,99.97
2537.00,99.97
2536.00,99.97
2535.00,99.96
2534.00,99.96
2533.00,99.96
2532.00,99.96
2531.00,99.97
2530.00,99.97
2529.00,99.97
2528.00,99.97
2527.00,99.97
2526.00,99.97
2525.00,99.97
2524.00,99.97
2523.00,99.97
2522.00,99.97
2521.00,99.97
2520.00,99.98
2519.00,99.98
2518.00,99.98
2517.00,99.98
2516.00,99.98
2515.00,99.98
2514.00,99.98
2513.00,99.98
2512.00,99.98
2511.00,99.97
2510.00,99.97
2509.00,99.97
2508.00,99.97
2507.00,99.97
2506.00,99.97
2505.00,99.97
2504.00,99.97
2503.00,99.97
2502.00,99.97
2501.00,99.97
2500.00,99.97
2499.00,99.97
2498.00,99.98
2497.00,99.98
2496.00,99.98
2495.00,99.98
2494.00,99.98
2493.00,99.97
2492.00,99.97
2491.00,99.97
2490.00,99.97
2489.00,99.98
2488.00,99.98
2487.00,99.99
2486.00,99.99
2485.00,99.99
2484.00,99.99
2483.00,99.99
2482.00,99.99
2481.00,99.99
2480.00,99.99
2479.00,99.99
2478.00,100.00
2477.00,100.00
2476.00,100.00
2475.00,100.00
2474.00,99.99
2473.00,99.99
2472.00,99.99
2471.00,99.99
2470.00,100.00
2469.00,99.99
2468.00,99.99
2467.00,99.99
2466.00,99.99
2465.00,99.99
2464.00,99.99
2463.00,99.98
2462.00,99.98
2461.00,99.98
2460.00,99.98
