Created as New Dataset,SAN (30% acrylonitrile)
cm-1,%T
2757.00,97.98
2756.00,97.98
2755.00,97.99
2754.00,97.99
2753.00,97.99
2752.00,97.99
2751.00,97.99
2750.00,97.98
2749.00,97.98
2748.00,97.98
2747.00,97.99
2746.00,97.99
2745.00,97.99
2744.00,97.99
2743.00,97.99
2742.00,97.99
2741.00,97.99
2740.00,97.99
2739.00,97.99
2738.00,97.99
2737.00,97.99
2736.00,97.99
2735.00,97.98
2734.00,97.98
2733.00,97.98
2732.00,97.99
2731.00,97.99
2730.00,97.99
2729.00,97.99
2728.00,97.99
2727.00,97.99
2726.00,97.99
2725.00,97.99
2724.00,97.99
2723.00,97.98
2722.00,97.98
2721.00,97.99
2720.00,97.99
2719.00,97.99
2718.00,97.99
2717.00,97.99
2716.00,97.99
2715.00,97.99
2714.00,97.99
2713.00,97.99
2712.00,97.99
2711.00,97.99
2710.00,97.99
2709.00,97.99
2708.00,97.99
2707.00,97.99
2706.00,97.99
2705.00,97.99
2704.00,97.99
2703.00,97.99
2702.00,97.99
2701.00,97.99
2700.00,97.99
2699.00,97.99
2698.00,97.99
2697.00,97.99
2696.00,97.99
2695.00,97.99
2694.00,97.99
2693.00,97.99
2692.00,97.99
2691.00,97.99
2690.00,97.99
2689.00,97.99
2688.00,97.99
2687.00,97.99
2686.00,97.99
2685.00,97.99
2684.00,97.99
2683.00,97.99
2682.00,97.99
2681.00,97.98
2680.00,97.98
2679.00,97.99
2678.00,97.99
2677.00,97.99
2676.00,97.99
2675.00,97.99
2674.00,97.99
2673.00,97.99
2672.00,97.99
2671.00,97.99
2670.00,97.99
2669.00,97.99
2668.00,97.98
2667.00,97.98
2666.00,97.98
2665.00,97.97
2664.00,97.96
2663.00,97.95
2662.00,97.94
2661.00,97.93
2660.00,97.92
2659.00,97.91
2658.00,97.91
2657.00,97.90
2656.00,97.90
2655.00,97.89
2654.00,97.89
2653.00,97.89
2652.00,97.89
2651.00,97.88
2650.00,97.87
2649.00,97.87
2648.00,97.87
2647.00,97.86
2646.00,97.86
