Created as New Dataset,PET Biaxial Film GF
cm-1,%T
2562.00,97.74
2561.00,97.74
2560.00,97.74
2559.00,97.74
2558.00,97.75
2557.00,97.75
2556.00,97.75
2555.00,97.75
2554.00,97.75
2553.00,97.75
2552.00,97.75
2551.00,97.75
2550.00,97.76
2549.00,97.76
2548.00,97.76
2547.00,97.76
2546.00,97.75
2545.00,97.75
2544.00,97.75
2543.00,97.75
2542.00,97.75
2541.00,97.75
2540.00,97.75
2539.00,97.75
2538.00,97.76
2537.00,97.76
2536.00,97.76
2535.00,97.76
2534.00,97.76
2533.00,97.76
2532.00,97.77
2531.00,97.77
2530.00,97.78
2529.00,97.78
2528.00,97.79
2527.00,97.80
2526.00,97.81
2525.00,97.82
2524.00,97.83
2523.00,97.84
2522.00,97.85
2521.00,97.86
2520.00,97.87
2519.00,97.88
2518.00,97.88
2517.00,97.89
2516.00,97.90
2515.00,97.90
2514.00,97.91
2513.00,97.91
2512.00,97.92
2511.00,97.93
2510.00,97.93
2509.00,97.93
2508.00,97.94
2507.00,97.94
2506.00,97.94
2505.00,97.95
2504.00,97.95
2503.00,97.96
2502.00,97.97
2501.00,97.97
2500.00,97.97
2499.00,97.97
2498.00,97.97
2497.00,97.98
2496.00,97.98
2495.00,97.99
2494.00,98.00
2493.00,98.01
2492.00,98.01
2491.00,98.02
2490.00,98.02
2489.00,98.03
2488.00,98.04
2487.00,98.06
2486.00,98.06
2485.00,98.07
2484.00,98.07
2483.00,98.08
2482.00,98.09
2481.00,98.10
2480.00,98.11
2479.00,98.12
2478.00,98.13
2477.00,98.14
2476.00,98.15
2475.00,98.15
2474.00,98.15
2473.00,98.15
2472.00,98.16
2471.00,98.17
2470.00,98.17
2469.00,98.18
2468.00,98.18
2467.00,98.18
2466.00,98.19
2465.00,98.19
2464.00,98.19
2463.00,98.19
2462.00,98.19
2461.00,98.19
2460.00,98.19
2459.00,98.19
