Created as New Dataset,PK (polyketone) GF
cm-1,%T
3185.00,99.14
3184.00,99.14
3183.00,99.14
3182.00,99.15
3181.00,99.15
3180.00,99.15
3179.00,99.15
3178.00,99.15
3177.00,99.14
3176.00,99.14
3175.00,99.14
3174.00,99.14
3173.00,99.14
3172.00,99.14
3171.00,99.14
3170.00,99.14
3169.00,99.14
3168.00,99.14
3167.00,99.14
3166.00,99.14
3165.00,99.14
3164.00,99.14
3163.00,99.14
3162.00,99.14
3161.00,99.13
3160.00,99.13
3159.00,99.13
3158.00,99.13
3157.00,99.13
3156.00,99.13
3155.00,99.13
3154.00,99.13
3153.00,99.13
3152.00,99.13
3151.00,99.13
3150.00,99.13
3149.00,99.12
3148.00,99.12
3147.00,99.12
3146.00,99.12
3145.00,99.12
3144.00,99.12
3143.00,99.11
3142.00,99.11
3141.00,99.11
3140.00,99.11
3139.00,99.11
3138.00,99.11
3137.00,99.11
3136.00,99.11
3135.00,99.11
3134.00,99.11
3133.00,99.10
3132.00,99.09
3131.00,99.09
3130.00,99.09
3129.00,99.09
3128.00,99.09
3127.00,99.08
3126.00,99.08
3125.00,99.08
3124.00,99.07
3123.00,99.07
3122.00,99.07
3121.00,99.06
3120.00,99.06
3119.00,99.06
3118.00,99.05
3117.00,99.05
3116.00,99.05
3115.00,99.04
3114.00,99.04
3113.00,99.04
3112.00,99.04
3111.00,99.03
3110.00,99.03
3109.00,99.03
3108.00,99.03
3107.00,99.02
3106.00,99.02
3105.00,99.02
3104.00,99.02
3103.00,99.02
3102.00,99.01
3101.00,99.01
3100.00,99.00
3099.00,99.00
3098.00,99.00
3097.00,98.99
3096.00,98.98
3095.00,98.98
3094.00,98.97
3093.00,98.96
3092.00,98.96
3091.00,98.96
3090.00,98.96
3089.00,98.95
3088.00,98.95
3087.00,98.94
3086.00,98.94
3085.00,98.93
3084.00,98.92
3083.00,98.92
3082.00,98.91
3081.00,98.90
3080.00,98.90
3079.00,98.89
3078.00,98.89
3077.00,98.88
3076.00,98.87
3075.00,98.86
3074.00,98.85
3073.00,98.84
3072.00,98.83
3071.00,98.83
3070.00,98.82
3069.00,98.82
3068.00,98.81
3067.00,98.81
3066.00,98.80
3065.00,98.80
3064.00,98.79
3063.00,98.78
3062.00,98.78
3061.00,98.77
3060.00,98.76
3059.00,98.76
3058.00,98.75
3057.00,98.74
3056.00,98.73
3055.00,98.73
3054.00,98.72
3053.00,98.72
3052.00,98.71
3051.00,98.71
3050.00,98.70
3049.00,98.70
3048.00,98.70
3047.00,98.69
3046.00,98.69
3045.00,98.68
3044.00,98.68
3043.00,98.67
3042.00,98.67
3041.00,98.66
3040.00,98.66
3039.00,98.65
3038.00,98.65
3037.00,98.65
3036.00,98.64
3035.00,98.63
3034.00,98.63
3033.00,98.62
3032.00,98.62
3031.00,98.61
3030.00,98.61
3029.00,98.61
3028.00,98.60
3027.00,98.59
3026.00,98.58
3025.00,98.57
3024.00,98.56
3023.00,98.55
3022.00,98.54
3021.00,98.53
3020.00,98.51
3019.00,98.50
3018.00,98.49
3017.00,98.47
3016.00,98.46
3015.00,98.44
3014.00,98.43
3013.00,98.41
3012.00,98.38
3011.00,98.36
3010.00,98.33
3009.00,98.30
3008.00,98.27
3007.00,98.24
3006.00,98.21
3005.00,98.18
3004.00,98.14
3003.00,98.10
3002.00,98.07
3001.00,98.03
3000.00,97.99
2999.00,97.94
2998.00,97.90
