Created as New Dataset,PMMA Scientific
cm-1,%T
3313.00,99.16
3312.00,99.16
3311.00,99.16
3310.00,99.16
3309.00,99.16
3308.00,99.16
3307.00,99.16
3306.00,99.16
3305.00,99.16
3304.00,99.15
3303.00,99.15
3302.00,99.15
3301.00,99.15
3300.00,99.14
3299.00,99.14
3298.00,99.14
3297.00,99.14
3296.00,99.15
3295.00,99.15
3294.00,99.15
3293.00,99.15
3292.00,99.15
3291.00,99.15
3290.00,99.16
3289.00,99.16
3288.00,99.16
3287.00,99.15
3286.00,99.15
3285.00,99.14
3284.00,99.14
3283.00,99.13
3282.00,99.13
3281.00,99.13
3280.00,99.13
3279.00,99.13
3278.00,99.14
3277.00,99.14
3276.00,99.14
3275.00,99.14
3274.00,99.13
3273.00,99.13
3272.00,99.13
3271.00,99.13
3270.00,99.14
3269.00,99.14
3268.00,99.14
3267.00,99.14
3266.00,99.14
3265.00,99.14
3264.00,99.14
3263.00,99.14
3262.00,99.14
3261.00,99.14
3260.00,99.14
3259.00,99.14
3258.00,99.14
3257.00,99.14
3256.00,99.13
3255.00,99.13
3254.00,99.14
3253.00,99.14
3252.00,99.14
3251.00,99.14
3250.00,99.14
3249.00,99.14
3248.00,99.14
3247.00,99.14
3246.00,99.14
3245.00,99.14
3244.00,99.14
3243.00,99.14
3242.00,99.14
3241.00,99.14
3240.00,99.13
3239.00,99.13
3238.00,99.13
3237.00,99.14
3236.00,99.14
3235.00,99.15
3234.00,99.15
3233.00,99.15
3232.00,99.15
3231.00,99.15
3230.00,99.15
3229.00,99.16
3228.00,99.15
3227.00,99.15
3226.00,99.15
3225.00,99.14
3224.00,99.15
3223.00,99.15
3222.00,99.16
3221.00,99.16
3220.00,99.16
3219.00,99.16
3218.00,99.16
3217.00,99.16
3216.00,99.16
3215.00,99.16
3214.00,99.16
3213.00,99.16
3212.00,99.16
3211.00,99.16
3210.00,99.16
3209.00,99.16
3208.00,99.16
3207.00,99.16
3206.00,99.16
3205.00,99.16
3204.00,99.16
3203.00,99.16
3202.00,99.16
3201.00,99.17
3200.00,99.17
3199.00,99.17
3198.00,99.17
3197.00,99.17
3196.00,99.17
3195.00,99.17
3194.00,99.17
3193.00,99.17
3192.00,99.17
3191.00,99.17
3190.00,99.16
3189.00,99.16
3188.00,99.17
3187.00,99.17
3186.00,99.17
3185.00,99.17
3184.00,99.17
3183.00,99.17
3182.00,99.17
3181.00,99.17
3180.00,99.17
3179.00,99.17
3178.00,99.17
3177.00,99.17
3176.00,99.17
3175.00,99.17
3174.00,99.17
3173.00,99.17
3172.00,99.17
3171.00,99.17
3170.00,99.17
3169.00,99.17
3168.00,99.17
3167.00,99.17
3166.00,99.17
3165.00,99.17
3164.00,99.17
3163.00,99.17
3162.00,99.17
3161.00,99.17
3160.00,99.18
3159.00,99.17
3158.00,99.17
3157.00,99.18
3156.00,99.18
3155.00,99.18
3154.00,99.18
3153.00,99.19
3152.00,99.19
3151.00,99.19
3150.00,99.19
3149.00,99.18
