Created as New Dataset,PP 250 kDa Sigma
cm-1,%T
2990.00,98.30
2989.00,98.23
2988.00,98.15
2987.00,98.06
2986.00,97.96
2985.00,97.85
2984.00,97.73
2983.00,97.59
2982.00,97.43
2981.00,97.25
2980.00,97.05
2979.00,96.83
2978.00,96.57
2977.00,96.28
2976.00,95.96
2975.00,95.59
2974.00,95.18
2973.00,94.72
2972.00,94.22
2971.00,93.66
2970.00,93.07
2969.00,92.42
2968.00,91.74
2967.00,91.03
2966.00,90.31
2965.00,89.59
2964.00,88.90
2963.00,88.28
2962.00,87.73
2961.00,87.27
2960.00,86.90
2959.00,86.58
2958.00,86.29
2957.00,86.00
2956.00,85.68
2955.00,85.33
2954.00,84.97
2953.00,84.63
2952.00,84.38
2951.00,84.26
2950.00,84.34
2949.00,84.64
2948.00,85.18
2947.00,85.92
2946.00,86.80
2945.00,87.74
2944.00,88.66
2943.00,89.47
2942.00,90.12
2941.00,90.59
2940.00,90.88
2939.00,90.99
2938.00,90.94
2937.00,90.76
2936.00,90.46
2935.00,90.05
2934.00,89.54
2933.00,88.96
2932.00,88.32
2931.00,87.63
2930.00,86.94
2929.00,86.24
2928.00,85.57
2927.00,84.93
2926.00,84.32
2925.00,83.75
2924.00,83.20
2923.00,82.66
2922.00,82.16
2921.00,81.70
2920.00,81.32
2919.00,81.07
2918.00,80.97
2917.00,81.05
2916.00,81.28
2915.00,81.64
2914.00,82.09
2913.00,82.57
2912.00,83.04
2911.00,83.48
2910.00,83.89
2909.00,84.28
2908.00,84.67
2907.00,85.05
2906.00,85.45
2905.00,85.87
2904.00,86.30
2903.00,86.74
2902.00,87.19
2901.00,87.63
2900.00,88.06
2899.00,88.48
2898.00,88.87
2897.00,89.23
2896.00,89.55
2895.00,89.82
2894.00,90.04
2893.00,90.21
2892.00,90.33
2891.00,90.41
2890.00,90.46
2889.00,90.46
2888.00,90.45
2887.00,90.41
2886.00,90.34
2885.00,90.25
2884.00,90.12
2883.00,89.96
2882.00,89.77
2881.00,89.56
2880.00,89.36
2879.00,89.19
2878.00,89.08
2877.00,89.04
2876.00,89.05
2875.00,89.09
2874.00,89.13
2873.00,89.13
2872.00,89.09
2871.00,89.00
2870.00,88.90
2869.00,88.81
2868.00,88.80
2867.00,88.92
2866.00,89.21
2865.00,89.69
2864.00,90.32
2863.00,91.06
2862.00,91.82
2861.00,92.54
2860.00,93.17
2859.00,93.68
2858.00,94.08
2857.00,94.36
2856.00,94.55
2855.00,94.65
2854.00,94.67
2853.00,94.62
2852.00,94.50
2851.00,94.32
2850.00,94.08
2849.00,93.78
2848.00,93.41
2847.00,92.98
2846.00,92.49
2845.00,91.94
2844.00,91.35
2843.00,90.75
2842.00,90.18
2841.00,89.66
2840.00,89.26
2839.00,89.00
2838.00,88.95
2837.00,89.12
2836.00,89.52
2835.00,90.11
2834.00,90.84
2833.00,91.64
2832.00,92.42
2831.00,93.14
2830.00,93.77
2829.00,94.30
2828.00,94.73
2827.00,95.08
2826.00,95.38
2825.00,95.62
2824.00,95.82
2823.00,95.99
2822.00,96.14
2821.00,96.27
2820.00,96.38
2819.00,96.48
2818.00,96.58
2817.00,96.65
2816.00,96.72
2815.00,96.79
2814.00,96.84
2813.00,96.89
2812.00,96.94
2811.00,96.99
2810.00,97.04
2809.00,97.09
2808.00,97.15
2807.00,97.20
2806.00,97.26
2805.00,97.32
2804.00,97.38
2803.00,97.44
2802.00,97.49
2801.00,97.53
2800.00,97.56
2799.00,97.59
2798.00,97.62
2797.00,97.64
2796.00,97.66
2795.00,97.69
2794.00,97.71
2793.00,97.74
2792.00,97.77
2791.00,97.80
2790.00,97.83
2789.00,97.87
2788.00,97.90
2787.00,97.93
2786.00,97.96
2785.00,97.98
2784.00,98.00
2783.00,98.02
2782.00,98.04
2781.00,98.07
2780.00,98.08
2779.00,98.10
2778.00,98.11
2777.00,98.13
2776.00,98.14
2775.00,98.15
2774.00,98.16
2773.00,98.17
2772.00,98.17
2771.00,98.18
2770.00,98.19
2769.00,98.19
2768.00,98.20
2767.00,98.21
2766.00,98.21
2765.00,98.22
2764.00,98.22
2763.00,98.23
2762.00,98.24
2761.00,98.24
2760.00,98.25
2759.00,98.26
2758.00,98.26
2757.00,98.27
2756.00,98.27
2755.00,98.27
2754.00,98.28
2753.00,98.28
2752.00,98.28
2751.00,98.29
2750.00,98.29
2749.00,98.29
2748.00,98.29
2747.00,98.29
2746.00,98.28
2745.00,98.27
2744.00,98.27
2743.00,98.26
2742.00,98.25
2741.00,98.24
2740.00,98.23
2739.00,98.22
2738.00,98.20
2737.00,98.19
2736.00,98.18
2735.00,98.17
2734.00,98.16
2733.00,98.14
2732.00,98.13
2731.00,98.11
2730.00,98.08
2729.00,98.06
2728.00,98.03
2727.00,98.00
2726.00,97.98
2725.00,97.96
2724.00,97.95
2723.00,97.95
2722.00,97.96
2721.00,97.97
2720.00,98.00
2719.00,98.03
2718.00,98.06
2717.00,98.09
2716.00,98.11
2715.00,98.14
2714.00,98.16
2713.00,98.18
2712.00,98.20
2711.00,98.22
2710.00,98.23
2709.00,98.24
2708.00,98.26
2707.00,98.27
2706.00,98.29
2705.00,98.30
2704.00,98.31
2703.00,98.32
2702.00,98.33
2701.00,98.34
2700.00,98.34
2699.00,98.35
2698.00,98.36
2697.00,98.36
2696.00,98.36
2695.00,98.37
2694.00,98.37
2693.00,98.37
2692.00,98.36
2691.00,98.36
2690.00,98.36
2689.00,98.36
2688.00,98.36
2687.00,98.36
2686.00,98.36
2685.00,98.36
2684.00,98.36
2683.00,98.36
2682.00,98.36
2681.00,98.36
2680.00,98.36
2679.00,98.35
2678.00,98.35
2677.00,98.35
2676.00,98.35
2675.00,98.36
2674.00,98.36
2673.00,98.36
2672.00,98.36
2671.00,98.37
2670.00,98.37
2669.00,98.37
2668.00,98.37
2667.00,98.37
2666.00,98.36
2665.00,98.35
2664.00,98.35
2663.00,98.34
2662.00,98.33
2661.00,98.32
2660.00,98.31
2659.00,98.31
2658.00,98.30
2657.00,98.30
2656.00,98.30
2655.00,98.30
2654.00,98.30
2653.00,98.31
2652.00,98.31
2651.00,98.31
2650.00,98.31
2649.00,98.32
2648.00,98.32
2647.00,98.32
2646.00,98.32
2645.00,98.32
2644.00,98.32
2643.00,98.32
2642.00,98.32
2641.00,98.32
2640.00,98.33
2639.00,98.33
2638.00,98.34
2637.00,98.34
2636.00,98.34
2635.00,98.34
2634.00,98.34
2633.00,98.34
2632.00,98.33
2631.00,98.33
2630.00,98.32
2629.00,98.32
2628.00,98.32
2627.00,98.32
2626.00,98.31
2625.00,98.31
2624.00,98.31
2623.00,98.31
2622.00,98.31
2621.00,98.30
2620.00,98.30
2619.00,98.30
2618.00,98.30
2617.00,98.30
2616.00,98.29
2615.00,98.29
2614.00,98.29
2613.00,98.30
2612.00,98.30
2611.00,98.31
2610.00,98.32
2609.00,98.33
2608.00,98.34
2607.00,98.34
2606.00,98.35
2605.00,98.35
2604.00,98.36
2603.00,98.36
2602.00,98.36
2601.00,98.36
2600.00,98.37
2599.00,98.37
2598.00,98.37
2597.00,98.37
2596.00,98.37
2595.00,98.37
2594.00,98.37
2593.00,98.36
2592.00,98.35
2591.00,98.34
2590.00,98.33
2589.00,98.31
2588.00,98.31
2587.00,98.30
2586.00,98.29
2585.00,98.28
2584.00,98.28
2583.00,98.27
2582.00,98.28
2581.00,98.28
2580.00,98.29
2579.00,98.30
2578.00,98.31
2577.00,98.33
2576.00,98.34
2575.00,98.35
2574.00,98.36
2573.00,98.36
2572.00,98.37
2571.00,98.37
2570.00,98.38
2569.00,98.39
2568.00,98.40
2567.00,98.41
2566.00,98.42
2565.00,98.42
2564.00,98.43
2563.00,98.43
2562.00,98.42
2561.00,98.42
2560.00,98.43
2559.00,98.43
2558.00,98.44
2557.00,98.44
2556.00,98.45
2555.00,98.45
2554.00,98.45
2553.00,98.45
2552.00,98.45
2551.00,98.46
2550.00,98.47
2549.00,98.47
2548.00,98.48
2547.00,98.48
2546.00,98.48
2545.00,98.48
2544.00,98.48
2543.00,98.49
2542.00,98.49
2541.00,98.49
2540.00,98.49
2539.00,98.49
2538.00,98.50
2537.00,98.50
2536.00,98.51
2535.00,98.51
2534.00,98.52
2533.00,98.52
2532.00,98.52
2531.00,98.52
2530.00,98.53
2529.00,98.53
2528.00,98.53
2527.00,98.53
2526.00,98.53
2525.00,98.53
2524.00,98.53
2523.00,98.53
2522.00,98.54
2521.00,98.55
2520.00,98.55
2519.00,98.56
2518.00,98.56
2517.00,98.56
2516.00,98.56
2515.00,98.56
2514.00,98.56
2513.00,98.56
2512.00,98.56
2511.00,98.56
2510.00,98.56
2509.00,98.57
2508.00,98.57
2507.00,98.57
2506.00,98.57
2505.00,98.57
2504.00,98.58
2503.00,98.58
2502.00,98.58
2501.00,98.57
2500.00,98.57
2499.00,98.57
2498.00,98.57
2497.00,98.57
2496.00,98.56
2495.00,98.56
2494.00,98.56
2493.00,98.55
2492.00,98.56
2491.00,98.56
2490.00,98.56
2489.00,98.56
2488.00,98.57
2487.00,98.57
2486.00,98.57
2485.00,98.57
2484.00,98.57
2483.00,98.56
2482.00,98.56
2481.00,98.56
2480.00,98.56
2479.00,98.57
2478.00,98.57
2477.00,98.58
2476.00,98.58
2475.00,98.58
2474.00,98.58
2473.00,98.59
2472.00,98.59
2471.00,98.59
2470.00,98.59
2469.00,98.59
2468.00,98.59
2467.00,98.58
2466.00,98.58
2465.00,98.58
2464.00,98.58
2463.00,98.58
2462.00,98.58
2461.00,98.57
2460.00,98.57
2459.00,98.56
