Created as New Dataset,PE (high density) granule 5mm GF
cm-1,%T
3021.00,98.80
3020.00,98.80
3019.00,98.80
3018.00,98.79
3017.00,98.79
3016.00,98.79
3015.00,98.78
3014.00,98.78
3013.00,98.77
3012.00,98.76
3011.00,98.76
3010.00,98.75
3009.00,98.75
3008.00,98.74
3007.00,98.73
3006.00,98.73
3005.00,98.72
3004.00,98.71
3003.00,98.70
3002.00,98.69
3001.00,98.68
3000.00,98.67
2999.00,98.66
2998.00,98.65
2997.00,98.64
2996.00,98.63
2995.00,98.62
2994.00,98.60
2993.00,98.59
2992.00,98.58
2991.00,98.56
2990.00,98.55
2989.00,98.54
2988.00,98.52
2987.00,98.50
2986.00,98.48
2985.00,98.45
2984.00,98.42
2983.00,98.39
2982.00,98.36
2981.00,98.33
2980.00,98.31
2979.00,98.29
2978.00,98.26
2977.00,98.23
2976.00,98.19
2975.00,98.16
2974.00,98.12
2973.00,98.08
2972.00,98.03
2971.00,97.99
2970.00,97.94
2969.00,97.90
2968.00,97.85
2967.00,97.79
2966.00,97.73
2965.00,97.67
2964.00,97.59
2963.00,97.51
2962.00,97.43
2961.00,97.34
2960.00,97.25
2959.00,97.15
2958.00,97.04
2957.00,96.93
2956.00,96.81
2955.00,96.68
2954.00,96.53
2953.00,96.37
2952.00,96.20
2951.00,96.01
2950.00,95.80
2949.00,95.56
2948.00,95.28
2947.00,94.96
2946.00,94.59
2945.00,94.18
2944.00,93.71
2943.00,93.19
2942.00,92.60
2941.00,91.97
2940.00,91.27
2939.00,90.50
2938.00,89.67
2937.00,88.77
2936.00,87.79
2935.00,86.72
2934.00,85.57
2933.00,84.32
2932.00,82.97
2931.00,81.52
2930.00,79.94
2929.00,78.23
2928.00,76.36
2927.00,74.31
2926.00,72.05
2925.00,69.57
2924.00,66.86
2923.00,63.96
2922.00,60.89
2921.00,57.73
2920.00,54.57
2919.00,51.54
2918.00,48.87
2917.00,46.81
2916.00,45.62
2915.00,45.43
2914.00,46.24
2913.00,47.87
2912.00,50.06
2911.00,52.53
2910.00,55.03
2909.00,57.41
2908.00,59.60
2907.00,61.55
2906.00,63.27
2905.00,64.76
2904.00,66.05
2903.00,67.18
2902.00,68.17
2901.00,69.06
2900.00,69.87
2899.00,70.63
2898.00,71.36
2897.00,72.07
2896.00,72.77
2895.00,73.48
2894.00,74.20
2893.00,74.93
2892.00,75.67
2891.00,76.42
2890.00,77.19
2889.00,77.97
2888.00,78.76
2887.00,79.57
2886.00,80.38
2885.00,81.21
2884.00,82.04
2883.00,82.88
2882.00,83.73
2881.00,84.59
2880.00,85.44
2879.00,86.27
2878.00,87.07
2877.00,87.82
2876.00,88.50
2875.00,89.10
2874.00,89.61
2873.00,90.02
2872.00,90.35
2871.00,90.58
2870.00,90.71
2869.00,90.75
2868.00,90.69
2867.00,90.53
2866.00,90.25
2865.00,89.85
2864.00,89.32
2863.00,88.62
2862.00,87.73
2861.00,86.63
2860.00,85.28
2859.00,83.65
2858.00,81.68
2857.00,79.32
2856.00,76.51
2855.00,73.21
2854.00,69.40
2853.00,65.13
2852.00,60.59
2851.00,56.11
2850.00,52.25
2849.00,49.58
2848.00,48.55
2847.00,49.32
2846.00,51.66
2845.00,55.13
2844.00,59.17
2843.00,63.33
2842.00,67.27
2841.00,70.83
2840.00,73.92
2839.00,76.58
2838.00,78.83
2837.00,80.75
2836.00,82.39
2835.00,83.79
2834.00,84.99
2833.00,86.03
2832.00,86.94
2831.00,87.74
2830.00,88.45
2829.00,89.09
2828.00,89.66
2827.00,90.18
2826.00,90.65
2825.00,91.07
2824.00,91.46
2823.00,91.81
2822.00,92.13
2821.00,92.43
2820.00,92.70
2819.00,92.96
2818.00,93.20
2817.00,93.42
2816.00,93.63
2815.00,93.82
2814.00,94.00
2813.00,94.17
2812.00,94.33
2811.00,94.48
2810.00,94.63
2809.00,94.77
2808.00,94.90
2807.00,95.03
2806.00,95.14
2805.00,95.25
2804.00,95.36
2803.00,95.46
2802.00,95.56
2801.00,95.66
2800.00,95.75
2799.00,95.83
2798.00,95.92
2797.00,96.00
2796.00,96.08
2795.00,96.16
2794.00,96.23
2793.00,96.31
2792.00,96.39
2791.00,96.46
2790.00,96.54
2789.00,96.61
2788.00,96.68
2787.00,96.75
2786.00,96.82
2785.00,96.88
2784.00,96.94
2783.00,97.00
2782.00,97.06
2781.00,97.11
2780.00,97.16
2779.00,97.20
2778.00,97.25
2777.00,97.29
2776.00,97.33
2775.00,97.37
2774.00,97.40
2773.00,97.44
2772.00,97.47
2771.00,97.50
2770.00,97.52
2769.00,97.55
2768.00,97.58
2767.00,97.60
2766.00,97.62
2765.00,97.64
2764.00,97.66
2763.00,97.68
2762.00,97.70
2761.00,97.72
2760.00,97.74
2759.00,97.76
2758.00,97.78
2757.00,97.79
2756.00,97.81
2755.00,97.82
2754.00,97.84
2753.00,97.85
2752.00,97.86
2751.00,97.87
2750.00,97.88
2749.00,97.89
2748.00,97.89
2747.00,97.89
2746.00,97.89
2745.00,97.89
2744.00,97.89
2743.00,97.90
2742.00,97.90
2741.00,97.91
2740.00,97.92
2739.00,97.92
2738.00,97.93
2737.00,97.94
2736.00,97.95
2735.00,97.96
2734.00,97.97
2733.00,97.98
2732.00,97.99
2731.00,98.01
2730.00,98.02
2729.00,98.04
2728.00,98.05
2727.00,98.06
2726.00,98.06
2725.00,98.07
2724.00,98.08
2723.00,98.10
2722.00,98.11
2721.00,98.12
2720.00,98.13
2719.00,98.13
2718.00,98.14
2717.00,98.15
2716.00,98.15
2715.00,98.16
2714.00,98.17
2713.00,98.17
2712.00,98.18
2711.00,98.19
2710.00,98.19
2709.00,98.20
2708.00,98.21
2707.00,98.22
2706.00,98.22
2705.00,98.23
2704.00,98.23
2703.00,98.24
2702.00,98.25
2701.00,98.26
2700.00,98.27
2699.00,98.28
2698.00,98.28
2697.00,98.29
2696.00,98.29
2695.00,98.30
2694.00,98.30
2693.00,98.30
2692.00,98.30
2691.00,98.30
2690.00,98.30
2689.00,98.30
2688.00,98.30
2687.00,98.29
2686.00,98.29
2685.00,98.28
2684.00,98.28
2683.00,98.28
2682.00,98.28
2681.00,98.28
2680.00,98.27
2679.00,98.26
2678.00,98.25
2677.00,98.25
2676.00,98.24
2675.00,98.23
2674.00,98.22
2673.00,98.21
2672.00,98.19
2671.00,98.18
2670.00,98.17
2669.00,98.16
2668.00,98.15
2667.00,98.13
2666.00,98.12
2665.00,98.11
2664.00,98.09
2663.00,98.08
2662.00,98.07
2661.00,98.06
2660.00,98.06
2659.00,98.05
2658.00,98.05
2657.00,98.05
2656.00,98.05
2655.00,98.05
2654.00,98.05
2653.00,98.05
2652.00,98.05
2651.00,98.05
2650.00,98.05
2649.00,98.05
2648.00,98.05
2647.00,98.05
2646.00,98.05
2645.00,98.04
2644.00,98.03
2643.00,98.02
2642.00,98.01
2641.00,98.00
2640.00,98.00
2639.00,97.99
2638.00,97.98
2637.00,97.97
2636.00,97.97
