Created as New Dataset,PMMA (GF)
cm-1,%T
2735.00,99.65
2734.00,99.66
2733.00,99.66
2732.00,99.67
2731.00,99.67
2730.00,99.68
2729.00,99.68
2728.00,99.68
2727.00,99.68
2726.00,99.69
2725.00,99.69
2724.00,99.69
2723.00,99.69
2722.00,99.69
2721.00,99.69
2720.00,99.70
2719.00,99.70
2718.00,99.70
2717.00,99.71
2716.00,99.71
2715.00,99.71
2714.00,99.71
2713.00,99.71
2712.00,99.71
2711.00,99.72
2710.00,99.72
2709.00,99.72
2708.00,99.72
2707.00,99.72
2706.00,99.72
2705.00,99.72
2704.00,99.72
2703.00,99.72
2702.00,99.72
2701.00,99.73
2700.00,99.73
2699.00,99.73
2698.00,99.72
2697.00,99.72
2696.00,99.72
2695.00,99.73
2694.00,99.73
2693.00,99.73
2692.00,99.73
2691.00,99.73
2690.00,99.73
2689.00,99.73
2688.00,99.73
2687.00,99.72
2686.00,99.72
2685.00,99.72
2684.00,99.73
2683.00,99.73
2682.00,99.72
2681.00,99.72
2680.00,99.72
2679.00,99.72
2678.00,99.72
2677.00,99.72
2676.00,99.72
2675.00,99.72
2674.00,99.71
2673.00,99.71
2672.00,99.71
2671.00,99.71
2670.00,99.70
2669.00,99.70
2668.00,99.70
2667.00,99.69
2666.00,99.69
2665.00,99.68
2664.00,99.67
2663.00,99.67
2662.00,99.66
2661.00,99.65
2660.00,99.63
2659.00,99.62
2658.00,99.61
2657.00,99.61
2656.00,99.60
2655.00,99.60
2654.00,99.59
2653.00,99.59
2652.00,99.58
2651.00,99.58
2650.00,99.57
2649.00,99.57
2648.00,99.57
2647.00,99.57
2646.00,99.57
2645.00,99.57
2644.00,99.57
2643.00,99.56
2642.00,99.56
2641.00,99.56
2640.00,99.57
2639.00,99.57
2638.00,99.57
2637.00,99.57
2636.00,99.57
2635.00,99.57
2634.00,99.58
2633.00,99.58
2632.00,99.58
2631.00,99.58
2630.00,99.58
2629.00,99.58
2628.00,99.58
2627.00,99.58
2626.00,99.58
2625.00,99.58
2624.00,99.58
2623.00,99.58
2622.00,99.58
2621.00,99.58
2620.00,99.58
2619.00,99.58
2618.00,99.58
2617.00,99.58
2616.00,99.58
2615.00,99.58
2614.00,99.57
2613.00,99.57
2612.00,99.57
2611.00,99.57
2610.00,99.57
2609.00,99.56
2608.00,99.56
2607.00,99.56
2606.00,99.56
2605.00,99.56
2604.00,99.55
2603.00,99.55
2602.00,99.54
2601.00,99.54
2600.00,99.54
2599.00,99.54
2598.00,99.54
2597.00,99.55
2596.00,99.55
2595.00,99.55
2594.00,99.55
2593.00,99.55
2592.00,99.55
2591.00,99.55
2590.00,99.56
2589.00,99.56
2588.00,99.57
2587.00,99.57
2586.00,99.58
2585.00,99.58
2584.00,99.58
2583.00,99.58
2582.00,99.58
2581.00,99.58
2580.00,99.59
2579.00,99.60
2578.00,99.60
2577.00,99.60
2576.00,99.60
2575.00,99.61
2574.00,99.61
2573.00,99.61
2572.00,99.61
2571.00,99.61
2570.00,99.61
2569.00,99.61
2568.00,99.61
2567.00,99.62
2566.00,99.62
2565.00,99.62
2564.00,99.63
2563.00,99.63
2562.00,99.63
2561.00,99.63
2560.00,99.63
2559.00,99.63
2558.00,99.63
2557.00,99.63
2556.00,99.63
2555.00,99.63
2554.00,99.63
2553.00,99.63
2552.00,99.64
2551.00,99.64
2550.00,99.65
2549.00,99.65
2548.00,99.65
2547.00,99.65
2546.00,99.65
2545.00,99.66
2544.00,99.66
2543.00,99.66
2542.00,99.66
2541.00,99.66
2540.00,99.66
2539.00,99.67
2538.00,99.67
2537.00,99.67
2536.00,99.67
2535.00,99.67
2534.00,99.68
2533.00,99.68
2532.00,99.68
2531.00,99.68
2530.00,99.68
2529.00,99.69
2528.00,99.69
2527.00,99.70
2526.00,99.70
2525.00,99.71
2524.00,99.71
2523.00,99.71
2522.00,99.71
2521.00,99.71
2520.00,99.72
2519.00,99.72
2518.00,99.72
2517.00,99.73
2516.00,99.74
2515.00,99.74
2514.00,99.74
2513.00,99.75
2512.00,99.75
2511.00,99.75
2510.00,99.75
2509.00,99.75
2508.00,99.75
2507.00,99.75
2506.00,99.74
2505.00,99.74
2504.00,99.75
2503.00,99.75
2502.00,99.75
2501.00,99.75
2500.00,99.75
2499.00,99.75
2498.00,99.75
2497.00,99.75
2496.00,99.75
2495.00,99.76
2494.00,99.76
2493.00,99.76
2492.00,99.76
2491.00,99.76
2490.00,99.77
2489.00,99.77
2488.00,99.77
2487.00,99.77
2486.00,99.76
2485.00,99.75
2484.00,99.75
2483.00,99.75
2482.00,99.75
2481.00,99.75
2480.00,99.76
2479.00,99.76
2478.00,99.77
2477.00,99.77
2476.00,99.77
2475.00,99.77
2474.00,99.77
2473.00,99.76
2472.00,99.76
2471.00,99.75
2470.00,99.75
2469.00,99.75
2468.00,99.75
2467.00,99.75
2466.00,99.75
2465.00,99.74
2464.00,99.74
2463.00,99.73
2462.00,99.73
2461.00,99.73
2460.00,99.72
2459.00,99.72
2458.00,99.71
