Created as New Dataset,PS 280kDa Sigma
cm-1,%T
3180.00,96.56
3179.00,96.56
3178.00,96.56
3177.00,96.56
3176.00,96.56
3175.00,96.55
3174.00,96.55
3173.00,96.55
3172.00,96.54
3171.00,96.54
3170.00,96.54
3169.00,96.54
3168.00,96.54
3167.00,96.53
3166.00,96.53
3165.00,96.53
3164.00,96.52
3163.00,96.52
3162.00,96.52
3161.00,96.52
3160.00,96.53
3159.00,96.53
3158.00,96.54
3157.00,96.54
3156.00,96.55
3155.00,96.55
3154.00,96.56
3153.00,96.56
3152.00,96.56
3151.00,96.56
3150.00,96.56
3149.00,96.56
3148.00,96.56
3147.00,96.56
3146.00,96.56
3145.00,96.56
3144.00,96.56
3143.00,96.57
3142.00,96.57
3141.00,96.57
3140.00,96.57
3139.00,96.57
3138.00,96.58
3137.00,96.58
3136.00,96.58
3135.00,96.58
3134.00,96.58
3133.00,96.58
3132.00,96.58
3131.00,96.58
3130.00,96.58
3129.00,96.58
3128.00,96.58
3127.00,96.58
3126.00,96.58
3125.00,96.58
3124.00,96.58
3123.00,96.58
3122.00,96.57
3121.00,96.56
3120.00,96.55
3119.00,96.55
3118.00,96.54
3117.00,96.52
3116.00,96.50
3115.00,96.48
3114.00,96.45
3113.00,96.42
3112.00,96.38
3111.00,96.34
3110.00,96.30
3109.00,96.26
3108.00,96.21
3107.00,96.16
3106.00,96.13
3105.00,96.11
3104.00,96.10
3103.00,96.10
3102.00,96.11
3101.00,96.13
3100.00,96.14
3099.00,96.16
3098.00,96.17
3097.00,96.17
3096.00,96.15
3095.00,96.12
3094.00,96.08
3093.00,96.01
3092.00,95.93
3091.00,95.82
3090.00,95.70
3089.00,95.55
3088.00,95.39
3087.00,95.23
3086.00,95.08
3085.00,94.96
3084.00,94.88
3083.00,94.85
3082.00,94.87
3081.00,94.92
3080.00,95.00
3079.00,95.10
3078.00,95.19
3077.00,95.27
3076.00,95.33
3075.00,95.37
3074.00,95.38
3073.00,95.37
3072.00,95.34
3071.00,95.29
3070.00,95.21
3069.00,95.12
3068.00,94.99
3067.00,94.85
3066.00,94.69
3065.00,94.53
3064.00,94.37
3063.00,94.22
3062.00,94.11
3061.00,94.04
3060.00,94.02
3059.00,94.06
3058.00,94.14
3057.00,94.25
3056.00,94.39
3055.00,94.54
3054.00,94.69
3053.00,94.82
3052.00,94.95
3051.00,95.06
3050.00,95.15
3049.00,95.22
3048.00,95.28
3047.00,95.33
3046.00,95.35
3045.00,95.36
3044.00,95.35
3043.00,95.31
3042.00,95.26
3041.00,95.19
3040.00,95.09
3039.00,94.97
3038.00,94.81
3037.00,94.63
3036.00,94.41
3035.00,94.15
3034.00,93.85
3033.00,93.51
3032.00,93.13
3031.00,92.74
3030.00,92.34
3029.00,91.98
3028.00,91.67
3027.00,91.45
3026.00,91.35
3025.00,91.38
3024.00,91.54
