Created as New Dataset,PP 12kDa Sigma
cm-1,%T
3209.00,98.90
3208.00,98.90
3207.00,98.90
3206.00,98.90
3205.00,98.90
3204.00,98.89
3203.00,98.89
3202.00,98.89
3201.00,98.88
3200.00,98.88
3199.00,98.88
3198.00,98.88
3197.00,98.87
3196.00,98.87
3195.00,98.87
3194.00,98.87
3193.00,98.87
3192.00,98.87
3191.00,98.88
3190.00,98.88
3189.00,98.87
3188.00,98.87
3187.00,98.87
3186.00,98.87
3185.00,98.87
3184.00,98.87
3183.00,98.88
3182.00,98.88
3181.00,98.88
3180.00,98.89
3179.00,98.89
3178.00,98.89
3177.00,98.89
3176.00,98.89
3175.00,98.89
3174.00,98.89
3173.00,98.89
3172.00,98.90
3171.00,98.90
3170.00,98.90
3169.00,98.90
3168.00,98.90
3167.00,98.90
3166.00,98.90
3165.00,98.90
3164.00,98.90
3163.00,98.90
3162.00,98.90
3161.00,98.90
3160.00,98.90
3159.00,98.90
3158.00,98.89
3157.00,98.89
3156.00,98.89
3155.00,98.89
3154.00,98.88
3153.00,98.88
3152.00,98.88
3151.00,98.88
3150.00,98.88
3149.00,98.88
3148.00,98.88
3147.00,98.88
3146.00,98.88
3145.00,98.88
3144.00,98.88
3143.00,98.88
3142.00,98.88
3141.00,98.88
3140.00,98.89
3139.00,98.89
3138.00,98.89
3137.00,98.89
3136.00,98.89
3135.00,98.90
3134.00,98.90
3133.00,98.90
3132.00,98.90
3131.00,98.90
3130.00,98.90
3129.00,98.91
3128.00,98.91
3127.00,98.92
3126.00,98.92
3125.00,98.93
3124.00,98.93
3123.00,98.93
3122.00,98.93
3121.00,98.93
3120.00,98.93
3119.00,98.93
3118.00,98.94
3117.00,98.94
3116.00,98.94
3115.00,98.94
3114.00,98.94
3113.00,98.94
3112.00,98.94
3111.00,98.94
3110.00,98.94
3109.00,98.94
3108.00,98.94
3107.00,98.95
3106.00,98.95
3105.00,98.95
3104.00,98.95
3103.00,98.95
3102.00,98.95
3101.00,98.95
3100.00,98.95
3099.00,98.95
3098.00,98.95
3097.00,98.95
3096.00,98.94
3095.00,98.94
3094.00,98.94
3093.00,98.93
3092.00,98.93
3091.00,98.93
3090.00,98.93
3089.00,98.93
3088.00,98.93
3087.00,98.93
3086.00,98.92
3085.00,98.91
3084.00,98.91
3083.00,98.90
3082.00,98.90
3081.00,98.90
3080.00,98.89
3079.00,98.89
3078.00,98.88
3077.00,98.88
3076.00,98.88
3075.00,98.88
3074.00,98.88
3073.00,98.87
3072.00,98.87
3071.00,98.88
3070.00,98.88
3069.00,98.89
3068.00,98.90
3067.00,98.90
3066.00,98.90
3065.00,98.91
3064.00,98.91
3063.00,98.91
3062.00,98.91
3061.00,98.91
3060.00,98.91
3059.00,98.91
3058.00,98.90
3057.00,98.90
3056.00,98.90
3055.00,98.89
3054.00,98.89
3053.00,98.89
3052.00,98.89
3051.00,98.89
3050.00,98.89
3049.00,98.89
3048.00,98.89
3047.00,98.89
3046.00,98.88
3045.00,98.88
3044.00,98.87
3043.00,98.87
3042.00,98.87
3041.00,98.87
3040.00,98.86
3039.00,98.86
3038.00,98.86
3037.00,98.85
3036.00,98.85
3035.00,98.84
3034.00,98.83
3033.00,98.83
3032.00,98.82
3031.00,98.81
3030.00,98.81
3029.00,98.80
3028.00,98.79
3027.00,98.78
3026.00,98.77
3025.00,98.76
3024.00,98.74
3023.00,98.73
3022.00,98.72
3021.00,98.70
3020.00,98.69
3019.00,98.67
3018.00,98.66
3017.00,98.64
3016.00,98.61
3015.00,98.59
3014.00,98.57
3013.00,98.55
3012.00,98.52
3011.00,98.50
3010.00,98.47
3009.00,98.45
3008.00,98.42
3007.00,98.39
3006.00,98.35
3005.00,98.31
3004.00,98.27
3003.00,98.23
3002.00,98.18
3001.00,98.12
3000.00,98.06
2999.00,98.00
2998.00,97.92
2997.00,97.85
2996.00,97.76
2995.00,97.67
2994.00,97.57
2993.00,97.46
2992.00,97.33
2991.00,97.20
2990.00,97.05
2989.00,96.88
2988.00,96.69
2987.00,96.49
2986.00,96.25
2985.00,95.99
2984.00,95.70
2983.00,95.38
2982.00,95.02
2981.00,94.62
2980.00,94.17
2979.00,93.66
2978.00,93.09
2977.00,92.45
2976.00,91.73
2975.00,90.93
2974.00,90.04
2973.00,89.05
2972.00,87.98
2971.00,86.81
2970.00,85.55
2969.00,84.21
2968.00,82.79
2967.00,81.33
2966.00,79.83
2965.00,78.36
2964.00,76.96
2963.00,75.68
2962.00,74.57
2961.00,73.65
2960.00,72.90
2959.00,72.27
2958.00,71.72
2957.00,71.19
2956.00,70.63
2955.00,70.04
2954.00,69.46
2953.00,68.95
2952.00,68.61
2951.00,68.55
2950.00,68.85
2949.00,69.57
2948.00,70.71
2947.00,72.22
2946.00,73.99
2945.00,75.85
2944.00,77.65
2943.00,79.23
2942.00,80.51
2941.00,81.42
2940.00,81.97
2939.00,82.16
2938.00,82.03
2937.00,81.62
2936.00,80.97
2935.00,80.11
2934.00,79.07
2933.00,77.90
2932.00,76.62
2931.00,75.28
2930.00,73.92
2929.00,72.59
2928.00,71.32
2927.00,70.14
2926.00,69.04
2925.00,68.02
2924.00,67.06
2923.00,66.14
2922.00,65.28
2921.00,64.49
2920.00,63.84
2919.00,63.40
2918.00,63.21
2917.00,63.31
2916.00,63.69
2915.00,64.28
2914.00,65.03
2913.00,65.85
2912.00,66.69
2911.00,67.50
2910.00,68.27
2909.00,69.01
2908.00,69.74
2907.00,70.48
2906.00,71.24
2905.00,72.05
2904.00,72.89
2903.00,73.75
2902.00,74.64
2901.00,75.52
2900.00,76.40
2899.00,77.25
2898.00,78.05
2897.00,78.80
2896.00,79.47
2895.00,80.05
2894.00,80.54
2893.00,80.94
2892.00,81.25
2891.00,81.47
2890.00,81.61
2889.00,81.68
2888.00,81.69
2887.00,81.64
2886.00,81.54
2885.00,81.37
2884.00,81.14
2883.00,80.85
2882.00,80.50
2881.00,80.12
2880.00,79.76
2879.00,79.46
2878.00,79.26
2877.00,79.17
2876.00,79.19
2875.00,79.25
2874.00,79.30
2873.00,79.29
2872.00,79.19
2871.00,79.03
2870.00,78.86
2869.00,78.75
2868.00,78.81
2867.00,79.15
2866.00,79.84
2865.00,80.89
2864.00,82.24
2863.00,83.76
2862.00,85.30
2861.00,86.74
2860.00,87.98
2859.00,88.98
2858.00,89.73
2857.00,90.26
2856.00,90.58
2855.00,90.73
2854.00,90.72
2853.00,90.57
2852.00,90.29
2851.00,89.88
2850.00,89.36
2849.00,88.71
2848.00,87.93
2847.00,87.04
2846.00,86.04
2845.00,84.95
2844.00,83.80
2843.00,82.63
2842.00,81.50
2841.00,80.50
2840.00,79.70
2839.00,79.21
2838.00,79.11
2837.00,79.47
2836.00,80.28
2835.00,81.49
2834.00,82.99
2833.00,84.63
2832.00,86.25
2831.00,87.76
2830.00,89.08
2829.00,90.19
2828.00,91.10
2827.00,91.85
2826.00,92.45
2825.00,92.95
2824.00,93.37
2823.00,93.73
2822.00,94.03
2821.00,94.30
2820.00,94.52
2819.00,94.72
2818.00,94.90
2817.00,95.05
2816.00,95.19
2815.00,95.31
2814.00,95.42
2813.00,95.53
2812.00,95.63
2811.00,95.73
2810.00,95.83
2809.00,95.93
2808.00,96.03
2807.00,96.15
2806.00,96.26
2805.00,96.38
2804.00,96.49
2803.00,96.60
2802.00,96.70
2801.00,96.78
2800.00,96.84
2799.00,96.89
2798.00,96.94
2797.00,96.98
2796.00,97.03
2795.00,97.08
2794.00,97.13
2793.00,97.18
2792.00,97.24
2791.00,97.30
2790.00,97.37
2789.00,97.43
2788.00,97.49
2787.00,97.54
2786.00,97.59
2785.00,97.64
2784.00,97.69
2783.00,97.73
2782.00,97.77
2781.00,97.80
2780.00,97.83
2779.00,97.86
2778.00,97.89
2777.00,97.91
2776.00,97.93
2775.00,97.96
2774.00,97.98
2773.00,97.99
2772.00,98.01
2771.00,98.02
2770.00,98.03
2769.00,98.03
2768.00,98.04
