Created as New Dataset,EVOH (32 mol% ethylene) Sigma
cm-1,%T
3325.00,91.62
3324.00,91.59
3323.00,91.55
3322.00,91.52
3321.00,91.48
3320.00,91.44
3319.00,91.39
3318.00,91.33
3317.00,91.27
3316.00,91.21
3315.00,91.15
3314.00,91.07
3313.00,90.99
3312.00,90.90
3311.00,90.80
3310.00,90.70
3309.00,90.59
3308.00,90.48
3307.00,90.37
3306.00,90.27
3305.00,90.18
3304.00,90.09
3303.00,90.02
3302.00,89.96
3301.00,89.91
3300.00,89.89
3299.00,89.87
3298.00,89.88
3297.00,89.90
3296.00,89.93
3295.00,89.98
3294.00,90.03
3293.00,90.10
3292.00,90.16
3291.00,90.23
3290.00,90.30
3289.00,90.37
3288.00,90.44
3287.00,90.51
3286.00,90.57
3285.00,90.63
3284.00,90.69
3283.00,90.75
3282.00,90.80
3281.00,90.85
3280.00,90.90
3279.00,90.94
3278.00,90.99
3277.00,91.03
3276.00,91.06
3275.00,91.10
3274.00,91.14
3273.00,91.17
3272.00,91.21
3271.00,91.24
3270.00,91.28
3269.00,91.31
3268.00,91.34
3267.00,91.37
3266.00,91.39
3265.00,91.42
3264.00,91.45
3263.00,91.47
3262.00,91.50
3261.00,91.52
3260.00,91.54
3259.00,91.56
3258.00,91.58
3257.00,91.60
3256.00,91.63
3255.00,91.65
3254.00,91.66
3253.00,91.68
3252.00,91.70
3251.00,91.72
3250.00,91.75
3249.00,91.77
3248.00,91.79
3247.00,91.80
3246.00,91.82
3245.00,91.84
3244.00,91.86
3243.00,91.88
3242.00,91.90
3241.00,91.92
3240.00,91.94
3239.00,91.96
3238.00,91.98
3237.00,92.00
3236.00,92.02
3235.00,92.04
3234.00,92.06
3233.00,92.08
3232.00,92.11
3231.00,92.13
3230.00,92.15
3229.00,92.17
3228.00,92.19
3227.00,92.21
3226.00,92.23
3225.00,92.25
3224.00,92.28
3223.00,92.30
3222.00,92.32
3221.00,92.35
3220.00,92.37
3219.00,92.40
3218.00,92.42
3217.00,92.45
3216.00,92.47
3215.00,92.50
3214.00,92.52
3213.00,92.54
3212.00,92.57
3211.00,92.59
3210.00,92.62
3209.00,92.64
3208.00,92.67
3207.00,92.70
3206.00,92.73
3205.00,92.76
3204.00,92.79
3203.00,92.82
3202.00,92.85
3201.00,92.88
3200.00,92.91
3199.00,92.94
3198.00,92.97
3197.00,93.01
3196.00,93.04
3195.00,93.08
3194.00,93.11
3193.00,93.14
3192.00,93.18
3191.00,93.21
3190.00,93.24
3189.00,93.28
3188.00,93.31
3187.00,93.35
3186.00,93.38
3185.00,93.41
3184.00,93.44
3183.00,93.48
3182.00,93.52
3181.00,93.55
3180.00,93.59
3179.00,93.62
3178.00,93.65
3177.00,93.69
3176.00,93.72
3175.00,93.76
3174.00,93.79
3173.00,93.83
3172.00,93.86
3171.00,93.90
3170.00,93.93
3169.00,93.97
3168.00,94.00
3167.00,94.04
3166.00,94.07
3165.00,94.11
3164.00,94.14
3163.00,94.18
3162.00,94.21
3161.00,94.24
3160.00,94.28
3159.00,94.31
3158.00,94.35
3157.00,94.38
3156.00,94.41
3155.00,94.45
3154.00,94.48
3153.00,94.51
3152.00,94.54
3151.00,94.58
3150.00,94.61
3149.00,94.65
3148.00,94.68
3147.00,94.72
3146.00,94.75
3145.00,94.79
3144.00,94.82
3143.00,94.86
3142.00,94.89
3141.00,94.92
3140.00,94.95
3139.00,94.99
3138.00,95.02
3137.00,95.05
3136.00,95.08
3135.00,95.12
3134.00,95.15
3133.00,95.18
3132.00,95.21
3131.00,95.24
3130.00,95.27
3129.00,95.30
3128.00,95.34
3127.00,95.37
3126.00,95.40
3125.00,95.43
3124.00,95.46
3123.00,95.49
3122.00,95.53
3121.00,95.56
3120.00,95.59
3119.00,95.62
3118.00,95.65
3117.00,95.68
3116.00,95.71
3115.00,95.73
3114.00,95.76
3113.00,95.79
3112.00,95.81
3111.00,95.84
3110.00,95.87
3109.00,95.89
3108.00,95.91
3107.00,95.94
3106.00,95.96
3105.00,95.98
3104.00,96.01
3103.00,96.03
3102.00,96.05
3101.00,96.08
3100.00,96.10
3099.00,96.11
3098.00,96.13
3097.00,96.15
3096.00,96.16
3095.00,96.18
3094.00,96.20
3093.00,96.21
3092.00,96.23
3091.00,96.24
3090.00,96.26
3089.00,96.28
3088.00,96.31
3087.00,96.33
3086.00,96.36
3085.00,96.40
3084.00,96.43
3083.00,96.47
3082.00,96.51
3081.00,96.54
3080.00,96.57
3079.00,96.61
3078.00,96.64
3077.00,96.68
3076.00,96.71
3075.00,96.75
3074.00,96.78
3073.00,96.81
3072.00,96.84
3071.00,96.87
3070.00,96.90
3069.00,96.93
3068.00,96.95
3067.00,96.98
3066.00,97.01
3065.00,97.04
3064.00,97.06
3063.00,97.09
3062.00,97.11
3061.00,97.14
3060.00,97.16
3059.00,97.19
3058.00,97.21
3057.00,97.24
3056.00,97.26
3055.00,97.28
3054.00,97.30
3053.00,97.32
3052.00,97.34
3051.00,97.36
3050.00,97.38
3049.00,97.40
3048.00,97.42
3047.00,97.44
3046.00,97.46
3045.00,97.48
3044.00,97.50
3043.00,97.52
3042.00,97.53
3041.00,97.55
3040.00,97.57
3039.00,97.58
3038.00,97.60
3037.00,97.62
3036.00,97.63
3035.00,97.65
3034.00,97.66
3033.00,97.68
3032.00,97.70
3031.00,97.71
3030.00,97.73
3029.00,97.74
3028.00,97.76
3027.00,97.77
3026.00,97.78
3025.00,97.79
3024.00,97.81
3023.00,97.82
3022.00,97.84
3021.00,97.85
3020.00,97.86
3019.00,97.87
3018.00,97.88
3017.00,97.89
3016.00,97.90
3015.00,97.91
3014.00,97.91
3013.00,97.92
3012.00,97.93
3011.00,97.94
3010.00,97.95
3009.00,97.97
3008.00,97.98
3007.00,97.98
3006.00,97.99
3005.00,97.99
3004.00,97.99
3003.00,98.00
3002.00,98.00
3001.00,98.01
3000.00,98.01
2999.00,98.01
2998.00,98.01
2997.00,98.00
2996.00,98.00
2995.00,98.00
2994.00,98.00
2993.00,98.00
2992.00,97.99
2991.00,97.98
2990.00,97.98
2989.00,97.96
2988.00,97.95
2987.00,97.94
2986.00,97.92
2985.00,97.90
2984.00,97.88
2983.00,97.86
2982.00,97.83
2981.00,97.80
2980.00,97.77
2979.00,97.73
2978.00,97.68
2977.00,97.63
2976.00,97.57
2975.00,97.51
2974.00,97.44
2973.00,97.36
2972.00,97.28
2971.00,97.18
2970.00,97.07
2969.00,96.95
2968.00,96.82
2967.00,96.68
2966.00,96.52
2965.00,96.35
2964.00,96.16
2963.00,95.97
2962.00,95.76
2961.00,95.54
2960.00,95.31
2959.00,95.09
2958.00,94.86
2957.00,94.64
2956.00,94.43
2955.00,94.24
2954.00,94.05
2953.00,93.86
2952.00,93.66
2951.00,93.46
2950.00,93.23
2949.00,92.99
2948.00,92.74
2947.00,92.47
2946.00,92.19
2945.00,91.90
2944.00,91.61
2943.00,91.33
2942.00,91.04
2941.00,90.77
2940.00,90.50
2939.00,90.25
2938.00,90.01
2937.00,89.78
2936.00,89.57
2935.00,89.37
2934.00,89.18
2933.00,89.01
2932.00,88.84
2931.00,88.67
2930.00,88.50
2929.00,88.31
2928.00,88.11
2927.00,87.88
2926.00,87.62
2925.00,87.33
2924.00,87.03
2923.00,86.71
2922.00,86.40
2921.00,86.13
2920.00,85.92
2919.00,85.81
2918.00,85.81
2917.00,85.93
2916.00,86.16
2915.00,86.47
2914.00,86.81
2913.00,87.15
2912.00,87.44
2911.00,87.67
2910.00,87.85
2909.00,87.99
2908.00,88.10
2907.00,88.20
2906.00,88.30
2905.00,88.40
2904.00,88.51
2903.00,88.64
2902.00,88.78
2901.00,88.95
2900.00,89.14
2899.00,89.35
2898.00,89.58
2897.00,89.82
2896.00,90.07
2895.00,90.33
2894.00,90.58
2893.00,90.83
2892.00,91.07
2891.00,91.30
2890.00,91.52
2889.00,91.73
2888.00,91.93
2887.00,92.11
2886.00,92.28
2885.00,92.43
2884.00,92.57
2883.00,92.69
2882.00,92.79
2881.00,92.88
2880.00,92.95
2879.00,92.99
2878.00,93.03
2877.00,93.04
2876.00,93.04
2875.00,93.03
2874.00,93.02
2873.00,93.01
2872.00,92.99
2871.00,92.98
2870.00,92.95
2869.00,92.91
2868.00,92.85
2867.00,92.76
2866.00,92.66
2865.00,92.53
2864.00,92.38
2863.00,92.21
2862.00,92.03
2861.00,91.83
2860.00,91.63
2859.00,91.41
2858.00,91.17
2857.00,90.91
2856.00,90.60
2855.00,90.24
2854.00,89.84
2853.00,89.43
2852.00,89.08
2851.00,88.87
2850.00,88.86
2849.00,89.09
2848.00,89.53
2847.00,90.09
2846.00,90.69
2845.00,91.25
2844.00,91.73
2843.00,92.14
2842.00,92.47
2841.00,92.75
2840.00,93.00
2839.00,93.22
2838.00,93.41
2837.00,93.58
2836.00,93.75
2835.00,93.90
2834.00,94.05
2833.00,94.19
2832.00,94.32
2831.00,94.45
2830.00,94.58
2829.00,94.70
2828.00,94.82
2827.00,94.94
2826.00,95.04
2825.00,95.15
2824.00,95.24
2823.00,95.33
2822.00,95.42
2821.00,95.50
2820.00,95.58
2819.00,95.66
2818.00,95.73
2817.00,95.80
2816.00,95.87
2815.00,95.94
2814.00,96.00
2813.00,96.07
2812.00,96.14
2811.00,96.20
2810.00,96.26
2809.00,96.32
2808.00,96.38
2807.00,96.44
2806.00,96.49
2805.00,96.55
2804.00,96.60
2803.00,96.65
2802.00,96.69
2801.00,96.74
2800.00,96.79
2799.00,96.83
2798.00,96.87
2797.00,96.92
2796.00,96.95
2795.00,96.99
2794.00,97.02
2793.00,97.05
2792.00,97.09
2791.00,97.12
2790.00,97.15
2789.00,97.18
2788.00,97.20
2787.00,97.23
2786.00,97.26
2785.00,97.28
2784.00,97.30
2783.00,97.33
2782.00,97.35
2781.00,97.37
2780.00,97.39
2779.00,97.41
2778.00,97.43
2777.00,97.45
2776.00,97.46
2775.00,97.48
2774.00,97.49
2773.00,97.51
2772.00,97.52
2771.00,97.54
2770.00,97.55
2769.00,97.56
2768.00,97.57
2767.00,97.59
2766.00,97.60
2765.00,97.61
2764.00,97.62
2763.00,97.62
2762.00,97.63
2761.00,97.64
2760.00,97.65
2759.00,97.66
2758.00,97.67
2757.00,97.68
2756.00,97.68
2755.00,97.69
2754.00,97.69
2753.00,97.70
2752.00,97.70
2751.00,97.71
2750.00,97.72
2749.00,97.73
2748.00,97.74
2747.00,97.75
2746.00,97.75
2745.00,97.76
2744.00,97.76
2743.00,97.77
2742.00,97.77
2741.00,97.78
2740.00,97.79
2739.00,97.79
2738.00,97.80
2737.00,97.81
2736.00,97.82
2735.00,97.83
2734.00,97.83
2733.00,97.84
2732.00,97.85
2731.00,97.86
2730.00,97.87
2729.00,97.88
2728.00,97.89
2727.00,97.90
2726.00,97.91
2725.00,97.91
2724.00,97.92
2723.00,97.93
2722.00,97.94
2721.00,97.95
2720.00,97.96
2719.00,97.96
2718.00,97.97
2717.00,97.98
2716.00,97.98
2715.00,97.98
2714.00,97.99
2713.00,97.99
2712.00,98.00
2711.00,98.00
2710.00,98.01
2709.00,98.01
2708.00,98.02
2707.00,98.02
2706.00,98.02
2705.00,98.03
2704.00,98.03
2703.00,98.03
2702.00,98.03
2701.00,98.03
2700.00,98.03
2699.00,98.04
2698.00,98.04
2697.00,98.04
2696.00,98.04
2695.00,98.04
2694.00,98.04
2693.00,98.05
2692.00,98.05
2691.00,98.05
2690.00,98.05
2689.00,98.05
2688.00,98.06
2687.00,98.06
2686.00,98.06
2685.00,98.06
2684.00,98.07
2683.00,98.07
2682.00,98.08
2681.00,98.08
2680.00,98.08
2679.00,98.08
2678.00,98.09
2677.00,98.09
2676.00,98.10
2675.00,98.10
2674.00,98.10
2673.00,98.10
2672.00,98.11
2671.00,98.11
2670.00,98.11
2669.00,98.12
2668.00,98.12
2667.00,98.12
2666.00,98.13
2665.00,98.12
2664.00,98.12
2663.00,98.12
2662.00,98.11
2661.00,98.11
2660.00,98.10
2659.00,98.10
2658.00,98.10
2657.00,98.11
2656.00,98.11
2655.00,98.11
2654.00,98.11
2653.00,98.11
2652.00,98.12
2651.00,98.12
2650.00,98.13
2649.00,98.13
2648.00,98.14
2647.00,98.14
2646.00,98.15
2645.00,98.15
2644.00,98.16
2643.00,98.16
2642.00,98.17
2641.00,98.18
2640.00,98.18
2639.00,98.19
2638.00,98.20
2637.00,98.20
2636.00,98.21
2635.00,98.22
2634.00,98.22
2633.00,98.23
2632.00,98.24
2631.00,98.25
2630.00,98.25
2629.00,98.26
2628.00,98.26
2627.00,98.27
2626.00,98.28
2625.00,98.29
2624.00,98.30
2623.00,98.31
2622.00,98.32
2621.00,98.32
2620.00,98.33
2619.00,98.34
2618.00,98.35
2617.00,98.36
2616.00,98.37
2615.00,98.37
2614.00,98.38
2613.00,98.38
2612.00,98.39
2611.00,98.40
2610.00,98.41
2609.00,98.41
2608.00,98.42
2607.00,98.43
2606.00,98.44
2605.00,98.44
2604.00,98.45
2603.00,98.46
2602.00,98.46
2601.00,98.47
2600.00,98.48
2599.00,98.48
2598.00,98.49
2597.00,98.49
2596.00,98.50
2595.00,98.50
2594.00,98.51
2593.00,98.52
2592.00,98.53
2591.00,98.54
2590.00,98.55
2589.00,98.55
2588.00,98.56
2587.00,98.56
2586.00,98.57
2585.00,98.57
2584.00,98.57
2583.00,98.57
2582.00,98.57
2581.00,98.58
2580.00,98.59
2579.00,98.60
2578.00,98.61
2577.00,98.61
2576.00,98.62
2575.00,98.62
2574.00,98.63
2573.00,98.63
2572.00,98.63
2571.00,98.64
2570.00,98.64
2569.00,98.65
2568.00,98.66
2567.00,98.66
2566.00,98.67
2565.00,98.67
2564.00,98.67
2563.00,98.67
2562.00,98.67
2561.00,98.68
2560.00,98.68
2559.00,98.69
2558.00,98.69
2557.00,98.70
2556.00,98.70
2555.00,98.71
2554.00,98.72
2553.00,98.72
2552.00,98.73
2551.00,98.73
2550.00,98.73
2549.00,98.73
2548.00,98.73
2547.00,98.73
2546.00,98.74
2545.00,98.74
2544.00,98.74
2543.00,98.75
2542.00,98.75
2541.00,98.76
2540.00,98.76
2539.00,98.76
2538.00,98.77
2537.00,98.77
2536.00,98.78
2535.00,98.78
2534.00,98.78
2533.00,98.78
2532.00,98.78
2531.00,98.78
2530.00,98.78
2529.00,98.78
2528.00,98.79
2527.00,98.80
2526.00,98.80
2525.00,98.80
2524.00,98.81
2523.00,98.81
2522.00,98.82
2521.00,98.82
2520.00,98.82
2519.00,98.82
2518.00,98.83
2517.00,98.83
2516.00,98.83
2515.00,98.83
2514.00,98.84
2513.00,98.84
2512.00,98.85
2511.00,98.85
2510.00,98.86
2509.00,98.86
2508.00,98.86
2507.00,98.87
2506.00,98.87
2505.00,98.88
2504.00,98.88
2503.00,98.88
2502.00,98.88
2501.00,98.88
2500.00,98.89
2499.00,98.89
2498.00,98.90
2497.00,98.90
2496.00,98.90
2495.00,98.90
2494.00,98.91
2493.00,98.91
2492.00,98.92
2491.00,98.92
2490.00,98.92
2489.00,98.93
2488.00,98.93
2487.00,98.93
2486.00,98.94
2485.00,98.94
2484.00,98.94
2483.00,98.95
2482.00,98.95
2481.00,98.96
2480.00,98.97
2479.00,98.97
2478.00,98.97
2477.00,98.97
2476.00,98.97
2475.00,98.97
2474.00,98.98
2473.00,98.98
2472.00,98.99
2471.00,98.99
2470.00,98.99
2469.00,98.99
2468.00,98.99
2467.00,98.99
2466.00,98.99
2465.00,99.00
2464.00,99.00
2463.00,99.00
2462.00,98.99
