Created as New Dataset,PP film GF
cm-1,%T
3524.00,99.78
3523.00,99.78
3522.00,99.78
3521.00,99.78
3520.00,99.78
3519.00,99.78
3518.00,99.78
3517.00,99.78
3516.00,99.77
3515.00,99.77
3514.00,99.77
3513.00,99.77
3512.00,99.76
3511.00,99.76
3510.00,99.77
3509.00,99.77
3508.00,99.78
3507.00,99.77
3506.00,99.77
3505.00,99.77
3504.00,99.77
3503.00,99.77
3502.00,99.77
3501.00,99.77
3500.00,99.77
3499.00,99.77
3498.00,99.77
3497.00,99.77
3496.00,99.77
3495.00,99.77
3494.00,99.77
3493.00,99.77
3492.00,99.77
3491.00,99.77
3490.00,99.77
3489.00,99.77
3488.00,99.76
3487.00,99.76
3486.00,99.76
3485.00,99.76
3484.00,99.76
3483.00,99.76
3482.00,99.76
3481.00,99.75
3480.00,99.75
3479.00,99.75
3478.00,99.75
3477.00,99.75
3476.00,99.75
3475.00,99.75
3474.00,99.75
3473.00,99.75
3472.00,99.75
3471.00,99.75
3470.00,99.75
3469.00,99.74
3468.00,99.74
3467.00,99.74
3466.00,99.74
3465.00,99.74
3464.00,99.74
3463.00,99.74
3462.00,99.74
3461.00,99.74
3460.00,99.74
3459.00,99.74
3458.00,99.74
3457.00,99.74
3456.00,99.74
3455.00,99.73
3454.00,99.73
3453.00,99.73
3452.00,99.73
3451.00,99.73
3450.00,99.72
3449.00,99.72
3448.00,99.72
3447.00,99.72
3446.00,99.72
3445.00,99.72
3444.00,99.72
3443.00,99.71
3442.00,99.71
3441.00,99.71
3440.00,99.71
3439.00,99.71
3438.00,99.71
3437.00,99.71
3436.00,99.71
3435.00,99.70
3434.00,99.70
3433.00,99.70
3432.00,99.70
3431.00,99.70
3430.00,99.69
3429.00,99.69
3428.00,99.68
3427.00,99.68
3426.00,99.68
3425.00,99.68
3424.00,99.68
3423.00,99.68
3422.00,99.67
3421.00,99.67
3420.00,99.66
3419.00,99.66
3418.00,99.66
3417.00,99.65
3416.00,99.65
3415.00,99.65
3414.00,99.65
3413.00,99.65
3412.00,99.65
3411.00,99.65
3410.00,99.65
3409.00,99.64
3408.00,99.64
3407.00,99.63
3406.00,99.62
3405.00,99.61
3404.00,99.61
3403.00,99.61
3402.00,99.61
3401.00,99.61
3400.00,99.61
3399.00,99.61
3398.00,99.61
3397.00,99.60
3396.00,99.60
3395.00,99.59
3394.00,99.59
3393.00,99.59
3392.00,99.59
3391.00,99.58
3390.00,99.58
3389.00,99.58
3388.00,99.58
3387.00,99.58
3386.00,99.59
3385.00,99.59
3384.00,99.60
3383.00,99.60
3382.00,99.60
3381.00,99.61
3380.00,99.61
3379.00,99.61
3378.00,99.61
3377.00,99.61
3376.00,99.61
3375.00,99.61
3374.00,99.61
3373.00,99.61
3372.00,99.61
3371.00,99.60
3370.00,99.60
3369.00,99.60
3368.00,99.61
3367.00,99.61
3366.00,99.61
3365.00,99.61
3364.00,99.61
3363.00,99.61
3362.00,99.61
3361.00,99.61
3360.00,99.61
3359.00,99.61
3358.00,99.61
3357.00,99.61
3356.00,99.61
3355.00,99.62
3354.00,99.62
3353.00,99.62
3352.00,99.62
3351.00,99.61
3350.00,99.61
3349.00,99.61
3348.00,99.61
3347.00,99.62
3346.00,99.62
3345.00,99.62
3344.00,99.62
3343.00,99.63
3342.00,99.63
3341.00,99.63
3340.00,99.63
3339.00,99.64
3338.00,99.64
3337.00,99.64
3336.00,99.64
3335.00,99.64
3334.00,99.64
3333.00,99.65
3332.00,99.65
3331.00,99.65
3330.00,99.66
3329.00,99.66
3328.00,99.67
3327.00,99.67
3326.00,99.67
3325.00,99.67
3324.00,99.67
3323.00,99.67
3322.00,99.67
3321.00,99.67
3320.00,99.67
3319.00,99.67
3318.00,99.67
3317.00,99.67
3316.00,99.67
3315.00,99.67
3314.00,99.67
3313.00,99.67
3312.00,99.67
3311.00,99.67
3310.00,99.67
3309.00,99.67
3308.00,99.67
3307.00,99.67
3306.00,99.67
3305.00,99.67
3304.00,99.67
3303.00,99.66
3302.00,99.66
3301.00,99.66
3300.00,99.66
3299.00,99.66
3298.00,99.66
3297.00,99.66
3296.00,99.67
3295.00,99.66
3294.00,99.66
3293.00,99.66
3292.00,99.66
3291.00,99.66
3290.00,99.66
3289.00,99.66
3288.00,99.66
3287.00,99.67
3286.00,99.67
3285.00,99.67
3284.00,99.67
3283.00,99.67
3282.00,99.67
3281.00,99.67
3280.00,99.67
3279.00,99.67
3278.00,99.66
3277.00,99.66
3276.00,99.66
3275.00,99.66
3274.00,99.67
3273.00,99.67
3272.00,99.67
3271.00,99.67
3270.00,99.67
3269.00,99.67
3268.00,99.67
3267.00,99.67
3266.00,99.67
3265.00,99.67
3264.00,99.67
3263.00,99.67
3262.00,99.67
3261.00,99.67
3260.00,99.67
3259.00,99.67
3258.00,99.68
3257.00,99.68
3256.00,99.68
3255.00,99.68
3254.00,99.68
3253.00,99.68
3252.00,99.69
3251.00,99.69
3250.00,99.69
3249.00,99.68
3248.00,99.68
3247.00,99.68
3246.00,99.68
3245.00,99.68
3244.00,99.68
3243.00,99.68
3242.00,99.67
3241.00,99.67
3240.00,99.66
3239.00,99.65
3238.00,99.65
3237.00,99.65
3236.00,99.64
3235.00,99.64
3234.00,99.64
3233.00,99.63
3232.00,99.63
3231.00,99.63
3230.00,99.63
3229.00,99.63
3228.00,99.62
3227.00,99.61
3226.00,99.60
3225.00,99.60
3224.00,99.59
3223.00,99.59
3222.00,99.58
3221.00,99.58
3220.00,99.57
3219.00,99.56
3218.00,99.56
3217.00,99.55
3216.00,99.55
3215.00,99.54
3214.00,99.53
3213.00,99.53
3212.00,99.52
3211.00,99.52
3210.00,99.51
3209.00,99.51
3208.00,99.51
3207.00,99.50
3206.00,99.49
3205.00,99.49
3204.00,99.48
3203.00,99.48
3202.00,99.48
3201.00,99.47
3200.00,99.47
3199.00,99.47
3198.00,99.47
3197.00,99.47
3196.00,99.47
3195.00,99.47
3194.00,99.47
3193.00,99.47
3192.00,99.47
3191.00,99.47
3190.00,99.48
3189.00,99.48
3188.00,99.48
3187.00,99.48
3186.00,99.48
3185.00,99.49
3184.00,99.49
3183.00,99.49
3182.00,99.50
3181.00,99.50
3180.00,99.50
