Created as New Dataset,PE pellet 124kDa Alfa Aesar
cm-1,%T
3020.00,98.87
3019.00,98.86
3018.00,98.86
3017.00,98.85
3016.00,98.84
3015.00,98.83
3014.00,98.82
3013.00,98.81
3012.00,98.80
3011.00,98.79
3010.00,98.78
3009.00,98.77
3008.00,98.75
3007.00,98.74
3006.00,98.72
3005.00,98.71
3004.00,98.69
3003.00,98.68
3002.00,98.67
3001.00,98.65
3000.00,98.64
2999.00,98.63
2998.00,98.61
2997.00,98.60
2996.00,98.58
2995.00,98.56
2994.00,98.54
2993.00,98.52
2992.00,98.49
2991.00,98.47
2990.00,98.44
2989.00,98.41
2988.00,98.38
2987.00,98.34
2986.00,98.30
2985.00,98.26
2984.00,98.21
2983.00,98.17
2982.00,98.12
2981.00,98.06
2980.00,98.00
2979.00,97.94
2978.00,97.88
2977.00,97.81
2976.00,97.74
2975.00,97.66
2974.00,97.58
2973.00,97.49
2972.00,97.40
2971.00,97.30
2970.00,97.20
2969.00,97.08
2968.00,96.96
2967.00,96.83
2966.00,96.69
2965.00,96.54
2964.00,96.39
2963.00,96.23
2962.00,96.07
2961.00,95.90
2960.00,95.73
2959.00,95.55
2958.00,95.37
2957.00,95.19
2956.00,95.01
2955.00,94.83
2954.00,94.65
2953.00,94.47
2952.00,94.27
2951.00,94.06
2950.00,93.82
2949.00,93.53
2948.00,93.19
2947.00,92.78
2946.00,92.30
2945.00,91.75
2944.00,91.13
2943.00,90.42
2942.00,89.64
2941.00,88.77
2940.00,87.82
2939.00,86.78
2938.00,85.65
2937.00,84.42
2936.00,83.10
2935.00,81.66
2934.00,80.10
2933.00,78.42
2932.00,76.61
2931.00,74.67
2930.00,72.56
2929.00,70.29
2928.00,67.81
2927.00,65.08
2926.00,62.09
2925.00,58.80
2924.00,55.21
2923.00,51.34
2922.00,47.24
2921.00,42.98
2920.00,38.68
2919.00,34.51
2918.00,30.73
2917.00,27.67
2916.00,25.66
2915.00,24.93
2914.00,25.52
2913.00,27.27
2912.00,29.87
2911.00,32.97
2910.00,36.23
2909.00,39.44
2908.00,42.45
2907.00,45.17
2906.00,47.59
2905.00,49.71
2904.00,51.56
2903.00,53.19
2902.00,54.63
2901.00,55.92
2900.00,57.10
2899.00,58.21
2898.00,59.26
2897.00,60.29
2896.00,61.31
2895.00,62.33
2894.00,63.36
2893.00,64.41
2892.00,65.48
2891.00,66.57
2890.00,67.68
2889.00,68.82
2888.00,69.97
2887.00,71.13
2886.00,72.31
2885.00,73.50
2884.00,74.71
2883.00,75.92
2882.00,77.15
2881.00,78.38
2880.00,79.60
2879.00,80.79
2878.00,81.93
2877.00,82.98
2876.00,83.93
2875.00,84.76
2874.00,85.45
2873.00,86.01
2872.00,86.44
2871.00,86.74
2870.00,86.91
2869.00,86.96
2868.00,86.88
2867.00,86.66
2866.00,86.28
2865.00,85.72
2864.00,84.96
2863.00,83.97
2862.00,82.72
2861.00,81.18
2860.00,79.30
2859.00,77.03
2858.00,74.29
2857.00,71.01
2856.00,67.11
2855.00,62.55
2854.00,57.32
2853.00,51.49
2852.00,45.31
2851.00,39.22
2850.00,33.87
2849.00,29.99
2848.00,28.21
2847.00,28.78
2846.00,31.54
2845.00,35.96
2844.00,41.34
2843.00,47.03
2842.00,52.56
2841.00,57.62
2840.00,62.10
2839.00,65.97
2838.00,69.30
2837.00,72.16
2836.00,74.61
2835.00,76.74
2834.00,78.58
2833.00,80.18
2832.00,81.58
2831.00,82.82
2830.00,83.92
2829.00,84.90
2828.00,85.79
2827.00,86.58
2826.00,87.31
2825.00,87.96
2824.00,88.56
2823.00,89.11
2822.00,89.62
2821.00,90.08
2820.00,90.51
2819.00,90.92
2818.00,91.29
2817.00,91.64
2816.00,91.97
2815.00,92.27
2814.00,92.56
2813.00,92.82
2812.00,93.07
2811.00,93.31
2810.00,93.54
2809.00,93.76
2808.00,93.96
2807.00,94.16
2806.00,94.34
2805.00,94.51
2804.00,94.68
2803.00,94.84
2802.00,95.00
2801.00,95.14
2800.00,95.28
2799.00,95.42
2798.00,95.55
2797.00,95.68
2796.00,95.80
2795.00,95.92
2794.00,96.04
2793.00,96.16
2792.00,96.28
2791.00,96.39
2790.00,96.50
2789.00,96.61
2788.00,96.72
2787.00,96.82
2786.00,96.92
2785.00,97.01
2784.00,97.10
2783.00,97.19
2782.00,97.26
2781.00,97.34
2780.00,97.41
2779.00,97.47
2778.00,97.53
2777.00,97.60
2776.00,97.65
2775.00,97.71
2774.00,97.76
2773.00,97.80
2772.00,97.85
2771.00,97.89
2770.00,97.93
2769.00,97.96
2768.00,98.00
2767.00,98.03
2766.00,98.06
2765.00,98.09
2764.00,98.11
2763.00,98.14
2762.00,98.17
2761.00,98.19
2760.00,98.22
2759.00,98.24
2758.00,98.27
2757.00,98.29
2756.00,98.31
2755.00,98.32
2754.00,98.34
2753.00,98.35
2752.00,98.36
2751.00,98.37
2750.00,98.38
2749.00,98.38
2748.00,98.38
2747.00,98.39
2746.00,98.39
2745.00,98.39
2744.00,98.39
2743.00,98.39
2742.00,98.39
2741.00,98.39
2740.00,98.40
2739.00,98.40
2738.00,98.41
2737.00,98.42
2736.00,98.43
2735.00,98.45
2734.00,98.46
2733.00,98.48
2732.00,98.50
2731.00,98.51
2730.00,98.53
2729.00,98.54
2728.00,98.56
2727.00,98.57
2726.00,98.59
2725.00,98.60
2724.00,98.62
2723.00,98.63
2722.00,98.64
2721.00,98.65
2720.00,98.66
2719.00,98.67
2718.00,98.68
2717.00,98.69
2716.00,98.71
2715.00,98.71
2714.00,98.72
2713.00,98.73
2712.00,98.74
2711.00,98.75
2710.00,98.76
2709.00,98.77
2708.00,98.77
2707.00,98.78
2706.00,98.79
2705.00,98.80
2704.00,98.81
2703.00,98.82
2702.00,98.84
2701.00,98.85
2700.00,98.86
2699.00,98.87
2698.00,98.88
2697.00,98.89
2696.00,98.89
2695.00,98.90
2694.00,98.90
2693.00,98.90
2692.00,98.90
2691.00,98.90
2690.00,98.90
2689.00,98.90
2688.00,98.89
2687.00,98.89
2686.00,98.89
2685.00,98.88
2684.00,98.88
2683.00,98.87
2682.00,98.86
2681.00,98.85
2680.00,98.84
2679.00,98.83
2678.00,98.82
2677.00,98.80
2676.00,98.79
2675.00,98.77
2674.00,98.75
2673.00,98.73
2672.00,98.71
2671.00,98.69
2670.00,98.67
2669.00,98.65
2668.00,98.63
2667.00,98.62
2666.00,98.60
2665.00,98.58
2664.00,98.56
2663.00,98.55
2662.00,98.54
2661.00,98.52
2660.00,98.52
2659.00,98.51
2658.00,98.51
