Created as New Dataset,Sample 001 By Administrator Date Wednesday, May 03 2023
cm-1,A
3055.00,0.0027
3054.00,0.0024
3053.00,0.0022
3052.00,0.0019
3051.00,0.0018
3050.00,0.0016
3049.00,0.0015
3048.00,0.0014
3047.00,0.0013
3046.00,0.0012
3045.00,0.0012
3044.00,0.0012
3043.00,0.0013
3042.00,0.0014
3041.00,0.0015
3040.00,0.0016
3039.00,0.0018
3038.00,0.0020
3037.00,0.0022
3036.00,0.0025
3035.00,0.0029
3034.00,0.0034
3033.00,0.0039
3032.00,0.0045
3031.00,0.0051
3030.00,0.0057
3029.00,0.0063
3028.00,0.0068
3027.00,0.0072
3026.00,0.0074
3025.00,0.0074
3024.00,0.0072
3023.00,0.0068
3022.00,0.0062
3021.00,0.0056
3020.00,0.0049
3019.00,0.0042
3018.00,0.0036
3017.00,0.0031
3016.00,0.0027
3015.00,0.0023
3014.00,0.0019
3013.00,0.0017
3012.00,0.0015
3011.00,0.0013
3010.00,0.0013
3009.00,0.0013
3008.00,0.0013
3007.00,0.0013
3006.00,0.0014
3005.00,0.0014
3004.00,0.0015
3003.00,0.0016
3002.00,0.0017
3001.00,0.0016
3000.00,0.0015
2999.00,0.0014
2998.00,0.0013
2997.00,0.0011
2996.00,0.0010
2995.00,0.0009
2994.00,0.0007
2993.00,0.0006
2992.00,0.0006
2991.00,0.0005
2990.00,0.0005
2989.00,0.0005
2988.00,0.0005
2987.00,0.0005
2986.00,0.0005
2985.00,0.0005
2984.00,0.0005
2983.00,0.0006
2982.00,0.0006
2981.00,0.0006
2980.00,0.0006
2979.00,0.0007
2978.00,0.0008
2977.00,0.0009
2976.00,0.0010
2975.00,0.0010
2974.00,0.0011
2973.00,0.0012
2972.00,0.0013
2971.00,0.0015
2970.00,0.0016
2969.00,0.0018
2968.00,0.0020
2967.00,0.0022
2966.00,0.0023
2965.00,0.0025
2964.00,0.0027
2963.00,0.0030
2962.00,0.0032
2961.00,0.0034
2960.00,0.0036
2959.00,0.0039
2958.00,0.0041
2957.00,0.0043
2956.00,0.0044
2955.00,0.0045
2954.00,0.0045
2953.00,0.0045
2952.00,0.0045
2951.00,0.0045
2950.00,0.0045
2949.00,0.0046
2948.00,0.0046
2947.00,0.0048
2946.00,0.0049
2945.00,0.0051
2944.00,0.0054
2943.00,0.0057
2942.00,0.0061
2941.00,0.0065
2940.00,0.0070
2939.00,0.0076
2938.00,0.0082
2937.00,0.0088
2936.00,0.0094
2935.00,0.0100
2934.00,0.0107
2933.00,0.0114
2932.00,0.0122
2931.00,0.0130
2930.00,0.0138
2929.00,0.0147
2928.00,0.0156
2927.00,0.0165
2926.00,0.0174
2925.00,0.0184
2924.00,0.0194
2923.00,0.0204
2922.00,0.0215
2921.00,0.0228
2920.00,0.0240
2919.00,0.0251
2918.00,0.0258
2917.00,0.0260
2916.00,0.0254
2915.00,0.0242
2914.00,0.0225
2913.00,0.0207
2912.00,0.0189
2911.00,0.0172
2910.00,0.0158
2909.00,0.0146
2908.00,0.0136
2907.00,0.0128
2906.00,0.0121
2905.00,0.0115
2904.00,0.0110
2903.00,0.0105
2902.00,0.0100
2901.00,0.0095
2900.00,0.0091
2899.00,0.0087
2898.00,0.0083
2897.00,0.0080
2896.00,0.0076
2895.00,0.0073
2894.00,0.0070
2893.00,0.0068
2892.00,0.0065
2891.00,0.0063
2890.00,0.0061
2889.00,0.0059
2888.00,0.0057
2887.00,0.0055
2886.00,0.0053
2885.00,0.0052
2884.00,0.0050
2883.00,0.0048
2882.00,0.0047
2881.00,0.0046
2880.00,0.0045
2879.00,0.0044
2878.00,0.0044
2877.00,0.0044
2876.00,0.0044
2875.00,0.0044
2874.00,0.0044
2873.00,0.0044
2872.00,0.0044
2871.00,0.0043
2870.00,0.0043
2869.00,0.0042
2868.00,0.0042
2867.00,0.0043
2866.00,0.0044
2865.00,0.0045
2864.00,0.0047
2863.00,0.0049
2862.00,0.0052
2861.00,0.0055
2860.00,0.0059
2859.00,0.0064
2858.00,0.0070
2857.00,0.0077
2856.00,0.0085
2855.00,0.0095
2854.00,0.0106
2853.00,0.0119
2852.00,0.0131
2851.00,0.0141
2850.00,0.0148
2849.00,0.0148
2848.00,0.0142
2847.00,0.0131
2846.00,0.0116
2845.00,0.0101
2844.00,0.0087
2843.00,0.0074
2842.00,0.0064
2841.00,0.0055
2840.00,0.0048
2839.00,0.0042
2838.00,0.0036
2837.00,0.0032
2836.00,0.0028
2835.00,0.0025
2834.00,0.0022
2833.00,0.0020
2832.00,0.0018
2831.00,0.0016
2830.00,0.0014
2829.00,0.0013
2828.00,0.0012
2827.00,0.0012
2826.00,0.0011
2825.00,0.0010
2824.00,0.0010
2823.00,0.0009
2822.00,0.0008
2821.00,0.0008
