Created as New Dataset,Nylon (6,6) GF
cm-1,%T
2751.00,96.06
2750.00,96.06
2749.00,96.07
2748.00,96.07
2747.00,96.08
2746.00,96.09
2745.00,96.10
2744.00,96.11
2743.00,96.13
2742.00,96.14
2741.00,96.16
2740.00,96.18
2739.00,96.20
2738.00,96.22
2737.00,96.25
2736.00,96.27
2735.00,96.29
2734.00,96.32
2733.00,96.34
2732.00,96.37
2731.00,96.39
2730.00,96.42
2729.00,96.44
2728.00,96.47
2727.00,96.49
2726.00,96.51
2725.00,96.53
2724.00,96.55
2723.00,96.57
2722.00,96.59
2721.00,96.61
2720.00,96.62
2719.00,96.64
2718.00,96.65
2717.00,96.67
2716.00,96.68
2715.00,96.69
2714.00,96.70
2713.00,96.71
2712.00,96.72
2711.00,96.72
2710.00,96.73
2709.00,96.74
2708.00,96.75
2707.00,96.76
2706.00,96.77
2705.00,96.77
2704.00,96.77
2703.00,96.77
2702.00,96.78
2701.00,96.78
2700.00,96.79
2699.00,96.79
2698.00,96.80
2697.00,96.81
2696.00,96.81
2695.00,96.82
2694.00,96.82
2693.00,96.82
2692.00,96.83
2691.00,96.84
2690.00,96.84
2689.00,96.85
2688.00,96.85
2687.00,96.86
2686.00,96.87
2685.00,96.87
2684.00,96.88
2683.00,96.88
2682.00,96.89
2681.00,96.89
2680.00,96.90
2679.00,96.91
2678.00,96.92
2677.00,96.93
2676.00,96.94
2675.00,96.95
2674.00,96.95
2673.00,96.96
2672.00,96.96
2671.00,96.97
2670.00,96.98
2669.00,96.98
2668.00,96.98
2667.00,96.99
2666.00,96.99
2665.00,96.99
2664.00,96.98
2663.00,96.98
2662.00,96.98
2661.00,96.97
2660.00,96.97
2659.00,96.97
2658.00,96.97
2657.00,96.97
2656.00,96.97
2655.00,96.97
2654.00,96.97
2653.00,96.98
2652.00,96.98
2651.00,96.98
2650.00,96.99
2649.00,96.99
2648.00,96.99
2647.00,97.00
2646.00,97.00
2645.00,97.01
2644.00,97.01
2643.00,97.02
2642.00,97.03
2641.00,97.03
2640.00,97.03
2639.00,97.03
2638.00,97.03
2637.00,97.03
2636.00,97.04
2635.00,97.04
2634.00,97.05
2633.00,97.05
2632.00,97.05
2631.00,97.05
2630.00,97.06
2629.00,97.06
2628.00,97.06
2627.00,97.06
2626.00,97.06
2625.00,97.06
2624.00,97.06
2623.00,97.06
2622.00,97.06
2621.00,97.06
2620.00,97.06
2619.00,97.06
2618.00,97.06
2617.00,97.05
2616.00,97.05
2615.00,97.04
2614.00,97.04
2613.00,97.03
2612.00,97.03
2611.00,97.03
2610.00,97.03
2609.00,97.03
2608.00,97.02
2607.00,97.02
2606.00,97.02
2605.00,97.01
2604.00,97.01
2603.00,97.02
2602.00,97.02
2601.00,97.02
2600.00,97.01
2599.00,97.01
2598.00,97.01
2597.00,97.01
2596.00,97.01
2595.00,97.01
2594.00,97.01
2593.00,97.01
2592.00,97.01
2591.00,97.02
2590.00,97.02
2589.00,97.02
2588.00,97.03
2587.00,97.04
2586.00,97.04
2585.00,97.05
2584.00,97.05
2583.00,97.05
2582.00,97.06
2581.00,97.07
2580.00,97.08
2579.00,97.09
2578.00,97.10
2577.00,97.11
2576.00,97.11
2575.00,97.12
2574.00,97.12
2573.00,97.13
2572.00,97.15
2571.00,97.16
2570.00,97.17
2569.00,97.18
2568.00,97.19
2567.00,97.20
2566.00,97.20
2565.00,97.20
2564.00,97.21
2563.00,97.21
2562.00,97.22
2561.00,97.22
2560.00,97.23
2559.00,97.24
2558.00,97.25
2557.00,97.25
2556.00,97.25
2555.00,97.26
2554.00,97.26
2553.00,97.26
2552.00,97.26
2551.00,97.27
2550.00,97.28
2549.00,97.28
2548.00,97.28
2547.00,97.28
2546.00,97.29
2545.00,97.29
2544.00,97.30
2543.00,97.30
2542.00,97.30
2541.00,97.30
2540.00,97.31
2539.00,97.31
2538.00,97.32
2537.00,97.32
2536.00,97.33
2535.00,97.33
2534.00,97.33
2533.00,97.33
2532.00,97.34
2531.00,97.35
2530.00,97.35
2529.00,97.35
2528.00,97.35
2527.00,97.35
2526.00,97.35
2525.00,97.36
2524.00,97.36
2523.00,97.37
2522.00,97.38
2521.00,97.38
2520.00,97.38
2519.00,97.38
2518.00,97.38
2517.00,97.38
2516.00,97.38
2515.00,97.39
2514.00,97.40
2513.00,97.40
2512.00,97.41
2511.00,97.42
2510.00,97.42
2509.00,97.42
2508.00,97.41
2507.00,97.41
2506.00,97.41
2505.00,97.41
2504.00,97.41
2503.00,97.42
2502.00,97.42
2501.00,97.42
2500.00,97.42
2499.00,97.42
2498.00,97.42
2497.00,97.42
2496.00,97.42
2495.00,97.43
2494.00,97.43
2493.00,97.43
2492.00,97.43
2491.00,97.44
2490.00,97.44
2489.00,97.44
2488.00,97.44
2487.00,97.44
2486.00,97.44
2485.00,97.43
2484.00,97.43
2483.00,97.44
2482.00,97.44
2481.00,97.44
2480.00,97.44
2479.00,97.44
2478.00,97.45
2477.00,97.45
2476.00,97.45
2475.00,97.46
2474.00,97.47
2473.00,97.47
2472.00,97.47
2471.00,97.48
2470.00,97.48
2469.00,97.48
2468.00,97.48
2467.00,97.49
2466.00,97.49
2465.00,97.49
2464.00,97.50
2463.00,97.50
2462.00,97.50
2461.00,97.50
2460.00,97.51
2459.00,97.51
