Created as New Dataset,PE Low Density GF
cm-1,%T
2981.00,97.52
2980.00,97.42
2979.00,97.31
2978.00,97.18
2977.00,97.04
2976.00,96.89
2975.00,96.73
2974.00,96.55
2973.00,96.35
2972.00,96.13
2971.00,95.90
2970.00,95.66
2969.00,95.40
2968.00,95.13
2967.00,94.86
2966.00,94.57
2965.00,94.29
2964.00,94.00
2963.00,93.72
2962.00,93.45
2961.00,93.19
2960.00,92.95
2959.00,92.72
2958.00,92.50
2957.00,92.31
2956.00,92.13
2955.00,91.98
2954.00,91.83
2953.00,91.70
2952.00,91.55
2951.00,91.38
2950.00,91.16
2949.00,90.88
2948.00,90.51
2947.00,90.06
2946.00,89.51
2945.00,88.86
2944.00,88.11
2943.00,87.27
2942.00,86.33
2941.00,85.30
2940.00,84.17
2939.00,82.95
2938.00,81.64
2937.00,80.24
2936.00,78.76
2935.00,77.18
2934.00,75.51
2933.00,73.74
2932.00,71.88
2931.00,69.91
2930.00,67.83
2929.00,65.63
2928.00,63.30
2927.00,60.82
2926.00,58.18
2925.00,55.37
2924.00,52.38
2923.00,49.24
2922.00,46.01
2921.00,42.78
2920.00,39.70
2919.00,36.92
2918.00,34.65
2917.00,33.11
2916.00,32.46
2915.00,32.77
2914.00,34.00
2913.00,36.00
2912.00,38.56
2911.00,41.42
2910.00,44.36
2909.00,47.20
2908.00,49.83
2907.00,52.21
2906.00,54.33
2905.00,56.19
2904.00,57.84
2903.00,59.30
2902.00,60.62
2901.00,61.82
2900.00,62.94
2899.00,64.00
2898.00,65.02
2897.00,66.01
2896.00,67.00
2895.00,67.99
2894.00,68.99
2893.00,70.01
2892.00,71.03
2891.00,72.08
2890.00,73.13
2889.00,74.19
2888.00,75.24
2887.00,76.29
2886.00,77.32
2885.00,78.32
2884.00,79.29
2883.00,80.23
2882.00,81.12
2881.00,81.97
2880.00,82.75
2879.00,83.47
2878.00,84.09
2877.00,84.63
2876.00,85.07
2875.00,85.40
2874.00,85.65
2873.00,85.83
2872.00,85.93
2871.00,85.98
2870.00,85.96
2869.00,85.87
2868.00,85.66
2867.00,85.32
2866.00,84.81
2865.00,84.12
2864.00,83.21
2863.00,82.08
2862.00,80.70
2861.00,79.04
2860.00,77.10
2859.00,74.82
2858.00,72.20
2857.00,69.18
2856.00,65.70
2855.00,61.72
2854.00,57.18
2853.00,52.14
2852.00,46.88
2851.00,41.94
2850.00,38.09
2849.00,36.10
2848.00,36.42
2847.00,38.99
2846.00,43.27
2845.00,48.54
2844.00,54.08
2843.00,59.40
2842.00,64.24
2841.00,68.48
2840.00,72.12
2839.00,75.21
2838.00,77.82
2837.00,80.02
2836.00,81.90
2835.00,83.50
2834.00,84.87
2833.00,86.06
2832.00,87.09
2831.00,87.99
2830.00,88.79
2829.00,89.50
2828.00,90.13
2827.00,90.70
2826.00,91.22
2825.00,91.69
2824.00,92.12
2823.00,92.51
2822.00,92.86
2821.00,93.19
2820.00,93.49
2819.00,93.77
2818.00,94.03
2817.00,94.27
2816.00,94.49
2815.00,94.70
2814.00,94.89
2813.00,95.08
2812.00,95.25
2811.00,95.40
2810.00,95.55
2809.00,95.69
2808.00,95.83
2807.00,95.96
2806.00,96.08
2805.00,96.19
2804.00,96.30
2803.00,96.41
2802.00,96.51
2801.00,96.60
2800.00,96.69
2799.00,96.78
2798.00,96.87
2797.00,96.95
2796.00,97.03
2795.00,97.11
2794.00,97.19
2793.00,97.26
2792.00,97.33
2791.00,97.41
2790.00,97.48
2789.00,97.55
2788.00,97.61
2787.00,97.68
2786.00,97.74
2785.00,97.79
2784.00,97.84
2783.00,97.89
2782.00,97.94
2781.00,97.99
2780.00,98.03
2779.00,98.08
2778.00,98.12
2777.00,98.15
2776.00,98.19
2775.00,98.22
2774.00,98.26
2773.00,98.29
2772.00,98.31
2771.00,98.34
2770.00,98.36
2769.00,98.38
2768.00,98.41
2767.00,98.43
2766.00,98.45
2765.00,98.46
2764.00,98.48
2763.00,98.49
2762.00,98.51
2761.00,98.52
2760.00,98.54
2759.00,98.55
2758.00,98.57
2757.00,98.58
2756.00,98.59
2755.00,98.60
2754.00,98.61
2753.00,98.61
2752.00,98.62
2751.00,98.62
2750.00,98.63
2749.00,98.63
2748.00,98.63
2747.00,98.63
2746.00,98.63
2745.00,98.63
2744.00,98.63
2743.00,98.63
2742.00,98.63
2741.00,98.63
2740.00,98.63
2739.00,98.63
2738.00,98.63
2737.00,98.64
2736.00,98.64
2735.00,98.65
2734.00,98.65
2733.00,98.66
2732.00,98.67
2731.00,98.67
2730.00,98.68
2729.00,98.69
2728.00,98.70
2727.00,98.71
2726.00,98.73
2725.00,98.74
2724.00,98.75
2723.00,98.76
2722.00,98.77
2721.00,98.78
2720.00,98.79
2719.00,98.81
2718.00,98.81
2717.00,98.82
2716.00,98.83
2715.00,98.84
2714.00,98.84
2713.00,98.85
2712.00,98.85
2711.00,98.86
2710.00,98.87
2709.00,98.88
2708.00,98.89
2707.00,98.90
2706.00,98.91
2705.00,98.91
2704.00,98.92
2703.00,98.93
2702.00,98.93
2701.00,98.93
2700.00,98.94
2699.00,98.94
2698.00,98.94
2697.00,98.94
2696.00,98.94
2695.00,98.94
2694.00,98.94
2693.00,98.93
2692.00,98.93
2691.00,98.92
2690.00,98.92
2689.00,98.91
2688.00,98.91
2687.00,98.91
2686.00,98.90
2685.00,98.90
2684.00,98.89
2683.00,98.89
2682.00,98.88
2681.00,98.88
2680.00,98.87
2679.00,98.86
2678.00,98.85
2677.00,98.84
2676.00,98.83
2675.00,98.83
2674.00,98.82
2673.00,98.82
2672.00,98.81
2671.00,98.81
2670.00,98.80
2669.00,98.79
2668.00,98.78
2667.00,98.78
2666.00,98.77
2665.00,98.77
2664.00,98.76
2663.00,98.75
2662.00,98.74
2661.00,98.74
2660.00,98.73
2659.00,98.72
2658.00,98.72
2657.00,98.72
2656.00,98.72
2655.00,98.72
2654.00,98.73
2653.00,98.73
2652.00,98.73
2651.00,98.73
2650.00,98.73
2649.00,98.73
2648.00,98.73
2647.00,98.73
2646.00,98.73
2645.00,98.73
2644.00,98.72
2643.00,98.72
2642.00,98.71
2641.00,98.71
2640.00,98.70
2639.00,98.70
2638.00,98.69
2637.00,98.69
2636.00,98.70
2635.00,98.70
2634.00,98.71
2633.00,98.72
2632.00,98.73
2631.00,98.74
2630.00,98.75
2629.00,98.77
2628.00,98.78
2627.00,98.80
2626.00,98.82
2625.00,98.84
2624.00,98.85
2623.00,98.87
2622.00,98.88
2621.00,98.90
2620.00,98.91
2619.00,98.92
2618.00,98.94
2617.00,98.95
2616.00,98.97
2615.00,98.98
2614.00,99.00
2613.00,99.01
2612.00,99.02
2611.00,99.04
2610.00,99.05
2609.00,99.06
2608.00,99.07
2607.00,99.08
2606.00,99.08
2605.00,99.09
2604.00,99.10
2603.00,99.10
2602.00,99.11
2601.00,99.12
2600.00,99.13
2599.00,99.14
2598.00,99.15
2597.00,99.16
2596.00,99.17
2595.00,99.18
2594.00,99.19
2593.00,99.20
2592.00,99.21
2591.00,99.21
2590.00,99.22
2589.00,99.23
2588.00,99.24
2587.00,99.25
2586.00,99.26
2585.00,99.27
2584.00,99.28
2583.00,99.29
2582.00,99.30
2581.00,99.31
2580.00,99.31
2579.00,99.32
2578.00,99.33
2577.00,99.33
2576.00,99.34
2575.00,99.35
2574.00,99.36
2573.00,99.37
2572.00,99.37
2571.00,99.37
2570.00,99.38
2569.00,99.38
2568.00,99.39
2567.00,99.40
2566.00,99.41
2565.00,99.41
2564.00,99.42
2563.00,99.42
2562.00,99.43
2561.00,99.43
2560.00,99.43
2559.00,99.43
2558.00,99.44
2557.00,99.44
2556.00,99.44
2555.00,99.44
2554.00,99.45
2553.00,99.45
2552.00,99.45
2551.00,99.46
2550.00,99.46
2549.00,99.46
2548.00,99.47
2547.00,99.48
2546.00,99.49
2545.00,99.50
2544.00,99.50
2543.00,99.51
2542.00,99.51
2541.00,99.52
2540.00,99.52
2539.00,99.53
2538.00,99.53
2537.00,99.53
2536.00,99.52
2535.00,99.52
2534.00,99.52
2533.00,99.52
2532.00,99.53
2531.00,99.53
2530.00,99.53
2529.00,99.53
2528.00,99.53
2527.00,99.53
2526.00,99.54
2525.00,99.54
2524.00,99.55
2523.00,99.56
2522.00,99.57
2521.00,99.57
2520.00,99.58
2519.00,99.58
2518.00,99.59
2517.00,99.59
2516.00,99.59
2515.00,99.59
2514.00,99.60
2513.00,99.60
2512.00,99.61
2511.00,99.61
2510.00,99.62
2509.00,99.62
2508.00,99.62
2507.00,99.63
2506.00,99.63
2505.00,99.63
2504.00,99.63
2503.00,99.64
2502.00,99.64
2501.00,99.64
2500.00,99.63
2499.00,99.63
2498.00,99.64
2497.00,99.64
2496.00,99.65
2495.00,99.65
2494.00,99.65
2493.00,99.65
2492.00,99.65
2491.00,99.65
2490.00,99.65
2489.00,99.65
2488.00,99.66
2487.00,99.66
2486.00,99.66
2485.00,99.66
2484.00,99.66
2483.00,99.66
2482.00,99.66
2481.00,99.66
2480.00,99.66
2479.00,99.67
2478.00,99.67
2477.00,99.67
2476.00,99.67
2475.00,99.67
2474.00,99.67
2473.00,99.67
2472.00,99.68
2471.00,99.69
2470.00,99.69
2469.00,99.70
2468.00,99.70
2467.00,99.70
2466.00,99.70
2465.00,99.70
2464.00,99.70
2463.00,99.70
2462.00,99.71
2461.00,99.70
2460.00,99.70
2459.00,99.70
2458.00,99.69
