Created as New Dataset,PVC powder GF
cm-1,%T
3117.00,97.07
3116.00,97.07
3115.00,97.07
3114.00,97.07
3113.00,97.06
3112.00,97.06
3111.00,97.06
3110.00,97.06
3109.00,97.06
3108.00,97.06
3107.00,97.06
3106.00,97.06
3105.00,97.06
3104.00,97.06
3103.00,97.06
3102.00,97.06
3101.00,97.06
3100.00,97.06
3099.00,97.06
3098.00,97.06
3097.00,97.06
3096.00,97.06
3095.00,97.06
3094.00,97.06
3093.00,97.05
3092.00,97.05
3091.00,97.05
3090.00,97.05
3089.00,97.05
3088.00,97.05
3087.00,97.05
3086.00,97.05
3085.00,97.05
3084.00,97.05
3083.00,97.05
3082.00,97.05
3081.00,97.05
3080.00,97.05
3079.00,97.05
3078.00,97.05
3077.00,97.04
3076.00,97.04
3075.00,97.04
3074.00,97.04
3073.00,97.05
3072.00,97.05
3071.00,97.05
3070.00,97.04
3069.00,97.04
3068.00,97.03
3067.00,97.04
3066.00,97.04
3065.00,97.04
3064.00,97.04
3063.00,97.05
3062.00,97.04
3061.00,97.04
3060.00,97.03
3059.00,97.03
3058.00,97.03
3057.00,97.03
3056.00,97.03
3055.00,97.03
3054.00,97.03
3053.00,97.03
3052.00,97.03
3051.00,97.03
3050.00,97.03
3049.00,97.03
3048.00,97.02
3047.00,97.02
3046.00,97.02
3045.00,97.02
3044.00,97.02
3043.00,97.02
3042.00,97.02
3041.00,97.02
3040.00,97.02
3039.00,97.02
3038.00,97.02
3037.00,97.01
3036.00,97.01
3035.00,97.00
3034.00,97.00
3033.00,97.00
3032.00,97.00
3031.00,97.00
3030.00,96.99
3029.00,96.99
3028.00,96.99
3027.00,96.99
3026.00,96.99
3025.00,96.99
3024.00,96.98
3023.00,96.98
3022.00,96.98
3021.00,96.98
3020.00,96.98
3019.00,96.97
3018.00,96.97
3017.00,96.97
3016.00,96.97
3015.00,96.97
3014.00,96.96
3013.00,96.96
3012.00,96.96
3011.00,96.96
3010.00,96.96
3009.00,96.96
3008.00,96.95
3007.00,96.95
3006.00,96.94
3005.00,96.93
3004.00,96.93
3003.00,96.92
3002.00,96.91
3001.00,96.90
3000.00,96.89
2999.00,96.87
2998.00,96.86
2997.00,96.84
2996.00,96.83
2995.00,96.81
2994.00,96.78
2993.00,96.75
2992.00,96.72
2991.00,96.68
2990.00,96.63
2989.00,96.58
2988.00,96.52
2987.00,96.45
2986.00,96.37
2985.00,96.29
2984.00,96.21
2983.00,96.12
2982.00,96.02
2981.00,95.92
2980.00,95.83
2979.00,95.73
2978.00,95.64
2977.00,95.56
2976.00,95.49
2975.00,95.42
2974.00,95.37
2973.00,95.32
2972.00,95.28
2971.00,95.26
2970.00,95.24
2969.00,95.23
2968.00,95.24
2967.00,95.25
2966.00,95.27
2965.00,95.30
2964.00,95.33
2963.00,95.37
2962.00,95.40
2961.00,95.44
2960.00,95.48
2959.00,95.51
2958.00,95.53
2957.00,95.56
2956.00,95.57
2955.00,95.58
2954.00,95.59
2953.00,95.58
2952.00,95.58
2951.00,95.57
2950.00,95.55
2949.00,95.54
2948.00,95.52
2947.00,95.49
2946.00,95.45
2945.00,95.42
2944.00,95.38
2943.00,95.35
2942.00,95.31
2941.00,95.27
2940.00,95.24
2939.00,95.20
2938.00,95.17
2937.00,95.13
2936.00,95.10
2935.00,95.07
2934.00,95.04
2933.00,95.02
2932.00,94.99
2931.00,94.95
2930.00,94.92
2929.00,94.88
2928.00,94.84
2927.00,94.80
2926.00,94.75
2925.00,94.69
2924.00,94.62
2923.00,94.54
2922.00,94.45
2921.00,94.36
2920.00,94.26
2919.00,94.16
2918.00,94.06
2917.00,93.96
2916.00,93.86
2915.00,93.77
2914.00,93.70
2913.00,93.63
2912.00,93.59
2911.00,93.57
2910.00,93.57
2909.00,93.60
2908.00,93.66
2907.00,93.75
2906.00,93.86
2905.00,93.99
2904.00,94.14
2903.00,94.30
2902.00,94.48
2901.00,94.65
2900.00,94.84
2899.00,95.02
2898.00,95.19
2897.00,95.36
2896.00,95.52
2895.00,95.65
2894.00,95.78
2893.00,95.88
2892.00,95.97
2891.00,96.05
2890.00,96.11
2889.00,96.17
2888.00,96.21
2887.00,96.25
2886.00,96.29
2885.00,96.32
2884.00,96.35
2883.00,96.37
2882.00,96.39
2881.00,96.41
2880.00,96.42
2879.00,96.43
2878.00,96.44
2877.00,96.45
2876.00,96.45
2875.00,96.46
2874.00,96.46
2873.00,96.47
2872.00,96.47
2871.00,96.47
2870.00,96.47
2869.00,96.48
2868.00,96.48
2867.00,96.48
2866.00,96.48
2865.00,96.47
2864.00,96.47
2863.00,96.46
2862.00,96.46
2861.00,96.45
2860.00,96.44
2859.00,96.43
2858.00,96.42
