Created as New Dataset,Acrylic Green
cm-1,%T
3362.00,98.93
3361.00,98.93
3360.00,98.94
3359.00,98.94
3358.00,98.94
3357.00,98.93
3356.00,98.93
3355.00,98.93
3354.00,98.93
3353.00,98.93
3352.00,98.94
3351.00,98.94
3350.00,98.93
3349.00,98.93
3348.00,98.93
3347.00,98.93
3346.00,98.93
3345.00,98.94
3344.00,98.94
3343.00,98.94
3342.00,98.94
3341.00,98.95
3340.00,98.95
3339.00,98.95
3338.00,98.94
3337.00,98.94
3336.00,98.94
3335.00,98.94
3334.00,98.94
3333.00,98.95
3332.00,98.95
3331.00,98.95
3330.00,98.95
3329.00,98.94
3328.00,98.94
3327.00,98.94
3326.00,98.94
3325.00,98.94
3324.00,98.94
3323.00,98.95
3322.00,98.95
3321.00,98.94
3320.00,98.94
3319.00,98.94
3318.00,98.94
3317.00,98.94
3316.00,98.94
3315.00,98.94
3314.00,98.94
3313.00,98.94
3312.00,98.95
3311.00,98.95
3310.00,98.95
3309.00,98.95
3308.00,98.95
3307.00,98.95
3306.00,98.95
3305.00,98.94
3304.00,98.94
3303.00,98.94
3302.00,98.94
3301.00,98.94
3300.00,98.94
3299.00,98.94
3298.00,98.94
3297.00,98.94
3296.00,98.94
3295.00,98.94
3294.00,98.94
3293.00,98.94
3292.00,98.94
3291.00,98.94
3290.00,98.94
3289.00,98.93
3288.00,98.93
3287.00,98.93
3286.00,98.93
3285.00,98.94
3284.00,98.94
3283.00,98.94
3282.00,98.94
3281.00,98.94
3280.00,98.94
3279.00,98.94
3278.00,98.94
3277.00,98.94
3276.00,98.94
3275.00,98.94
3274.00,98.94
3273.00,98.94
3272.00,98.94
3271.00,98.94
3270.00,98.94
3269.00,98.94
3268.00,98.94
3267.00,98.94
3266.00,98.94
3265.00,98.94
3264.00,98.94
3263.00,98.94
3262.00,98.94
3261.00,98.94
3260.00,98.94
3259.00,98.94
3258.00,98.94
3257.00,98.94
3256.00,98.94
3255.00,98.94
3254.00,98.93
3253.00,98.93
3252.00,98.93
3251.00,98.94
3250.00,98.94
3249.00,98.95
3248.00,98.95
3247.00,98.94
3246.00,98.94
3245.00,98.94
3244.00,98.94
3243.00,98.94
3242.00,98.94
3241.00,98.94
3240.00,98.94
3239.00,98.94
3238.00,98.94
3237.00,98.93
3236.00,98.93
3235.00,98.94
3234.00,98.94
3233.00,98.94
3232.00,98.94
3231.00,98.93
3230.00,98.93
3229.00,98.93
3228.00,98.94
3227.00,98.94
3226.00,98.94
3225.00,98.94
3224.00,98.94
3223.00,98.94
3222.00,98.94
3221.00,98.94
3220.00,98.94
3219.00,98.94
3218.00,98.94
3217.00,98.93
3216.00,98.93
3215.00,98.93
3214.00,98.94
3213.00,98.94
3212.00,98.94
3211.00,98.94
3210.00,98.94
3209.00,98.94
3208.00,98.93
3207.00,98.93
3206.00,98.93
3205.00,98.93
3204.00,98.93
3203.00,98.93
3202.00,98.93
3201.00,98.93
3200.00,98.93
3199.00,98.93
3198.00,98.93
3197.00,98.93
3196.00,98.93
3195.00,98.93
3194.00,98.93
3193.00,98.92
3192.00,98.92
3191.00,98.92
3190.00,98.92
3189.00,98.92
3188.00,98.92
3187.00,98.92
3186.00,98.92
3185.00,98.92
3184.00,98.92
3183.00,98.92
3182.00,98.91
3181.00,98.92
3180.00,98.92
3179.00,98.92
3178.00,98.92
3177.00,98.91
3176.00,98.91
3175.00,98.91
3174.00,98.91
3173.00,98.91
3172.00,98.92
3171.00,98.91
3170.00,98.91
3169.00,98.91
3168.00,98.91
3167.00,98.91
3166.00,98.91
3165.00,98.91
3164.00,98.90
3163.00,98.90
3162.00,98.91
3161.00,98.91
3160.00,98.91
3159.00,98.91
3158.00,98.91
3157.00,98.91
3156.00,98.91
3155.00,98.91
3154.00,98.91
3153.00,98.91
3152.00,98.91
3151.00,98.91
3150.00,98.91
3149.00,98.91
3148.00,98.91
3147.00,98.91
3146.00,98.91
3145.00,98.91
3144.00,98.91
3143.00,98.91
3142.00,98.91
3141.00,98.91
3140.00,98.90
3139.00,98.90
3138.00,98.90
3137.00,98.90
3136.00,98.90
3135.00,98.90
3134.00,98.90
3133.00,98.90
3132.00,98.90
3131.00,98.90
3130.00,98.90
3129.00,98.90
3128.00,98.90
3127.00,98.90
3126.00,98.90
3125.00,98.90
3124.00,98.90
3123.00,98.90
3122.00,98.90
3121.00,98.90
3120.00,98.90
3119.00,98.90
3118.00,98.90
3117.00,98.90
3116.00,98.90
3115.00,98.89
3114.00,98.89
3113.00,98.89
3112.00,98.89
3111.00,98.89
3110.00,98.88
3109.00,98.89
3108.00,98.89
3107.00,98.89
3106.00,98.88
3105.00,98.88
3104.00,98.88
3103.00,98.87
3102.00,98.87
3101.00,98.87
3100.00,98.87
3099.00,98.87
3098.00,98.87
3097.00,98.87
3096.00,98.87
3095.00,98.87
3094.00,98.87
3093.00,98.87
3092.00,98.87
3091.00,98.87
3090.00,98.87
3089.00,98.87
3088.00,98.86
3087.00,98.86
3086.00,98.86
3085.00,98.85
3084.00,98.85
3083.00,98.85
3082.00,98.85
3081.00,98.84
3080.00,98.84
3079.00,98.84
3078.00,98.84
3077.00,98.83
3076.00,98.83
3075.00,98.83
3074.00,98.82
3073.00,98.82
3072.00,98.81
3071.00,98.80
3070.00,98.80
3069.00,98.79
3068.00,98.79
3067.00,98.78
3066.00,98.77
3065.00,98.77
3064.00,98.76
3063.00,98.75
3062.00,98.74
3061.00,98.73
3060.00,98.72
3059.00,98.71
3058.00,98.69
3057.00,98.68
3056.00,98.66
3055.00,98.65
3054.00,98.63
3053.00,98.60
3052.00,98.58
3051.00,98.56
3050.00,98.54
3049.00,98.51
3048.00,98.49
3047.00,98.46
3046.00,98.43
3045.00,98.40
3044.00,98.37
3043.00,98.33
3042.00,98.30
3041.00,98.26
3040.00,98.22
3039.00,98.17
3038.00,98.12
3037.00,98.08
3036.00,98.03
3035.00,97.98
3034.00,97.93
3033.00,97.88
3032.00,97.82
3031.00,97.77
3030.00,97.71
3029.00,97.65
3028.00,97.58
3027.00,97.52
3026.00,97.45
3025.00,97.39
3024.00,97.32
3023.00,97.26
3022.00,97.19
3021.00,97.13
3020.00,97.06
3019.00,97.00
3018.00,96.93
3017.00,96.86
3016.00,96.79
3015.00,96.72
3014.00,96.65
3013.00,96.57
3012.00,96.49
3011.00,96.41
3010.00,96.33
3009.00,96.25
3008.00,96.17
3007.00,96.08
3006.00,96.00
3005.00,95.91
3004.00,95.83
3003.00,95.76
3002.00,95.69
3001.00,95.63
3000.00,95.57
2999.00,95.52
2998.00,95.48
2997.00,95.45
2996.00,95.42
2995.00,95.41
2994.00,95.41
2993.00,95.42
2992.00,95.44
2991.00,95.48
2990.00,95.52
2989.00,95.58
2988.00,95.64
2987.00,95.71
2986.00,95.78
2985.00,95.86
2984.00,95.94
2983.00,96.01
2982.00,96.09
2981.00,96.17
2980.00,96.26
2979.00,96.33
2978.00,96.39
2977.00,96.44
2976.00,96.47
2975.00,96.48
2974.00,96.47
2973.00,96.44
2972.00,96.40
2971.00,96.35
2970.00,96.28
2969.00,96.19
2968.00,96.09
2967.00,95.97
2966.00,95.84
2965.00,95.69
2964.00,95.52
2963.00,95.34
2962.00,95.15
2961.00,94.94
2960.00,94.73
2959.00,94.51
2958.00,94.29
2957.00,94.08
2956.00,93.87
2955.00,93.69
2954.00,93.53
2953.00,93.41
2952.00,93.33
2951.00,93.30
2950.00,93.31
2949.00,93.38
2948.00,93.51
2947.00,93.67
2946.00,93.87
2945.00,94.08
2944.00,94.30
2943.00,94.50
2942.00,94.69
2941.00,94.86
2940.00,95.00
2939.00,95.13
2938.00,95.23
2937.00,95.32
2936.00,95.39
2935.00,95.45
2934.00,95.50
2933.00,95.56
2932.00,95.61
2931.00,95.67
2930.00,95.71
2929.00,95.76
2928.00,95.81
2927.00,95.85
2926.00,95.90
2925.00,95.94
2924.00,95.99
2923.00,96.03
2922.00,96.08
2921.00,96.12
2920.00,96.16
2919.00,96.21
2918.00,96.25
2917.00,96.30
2916.00,96.34
2915.00,96.39
2914.00,96.43
2913.00,96.47
2912.00,96.51
2911.00,96.55
2910.00,96.59
2909.00,96.63
2908.00,96.67
2907.00,96.71
2906.00,96.75
2905.00,96.80
2904.00,96.84
2903.00,96.89
2902.00,96.94
2901.00,96.99
2900.00,97.03
2899.00,97.07
2898.00,97.11
2897.00,97.14
2896.00,97.18
2895.00,97.20
2894.00,97.23
2893.00,97.26
2892.00,97.28
2891.00,97.31
2890.00,97.33
2889.00,97.36
2888.00,97.39
2887.00,97.42
2886.00,97.45
2885.00,97.49
2884.00,97.53
2883.00,97.56
2882.00,97.60
2881.00,97.64
2880.00,97.68
2879.00,97.72
2878.00,97.76
2877.00,97.80
2876.00,97.84
2875.00,97.88
2874.00,97.91
2873.00,97.94
2872.00,97.97
2871.00,97.99
2870.00,98.02
2869.00,98.04
2868.00,98.06
2867.00,98.09
2866.00,98.10
2865.00,98.12
2864.00,98.13
2863.00,98.14
2862.00,98.15
2861.00,98.15
2860.00,98.15
2859.00,98.14
2858.00,98.13
2857.00,98.12
2856.00,98.11
2855.00,98.08
2854.00,98.06
2853.00,98.04
2852.00,98.01
2851.00,97.99
2850.00,97.97
2849.00,97.95
2848.00,97.92
2847.00,97.91
2846.00,97.89
2845.00,97.88
2844.00,97.87
2843.00,97.87
2842.00,97.88
2841.00,97.90
2840.00,97.92
2839.00,97.95
2838.00,97.99
2837.00,98.03
2836.00,98.07
2835.00,98.12
2834.00,98.16
2833.00,98.20
2832.00,98.24
2831.00,98.28
2830.00,98.31
2829.00,98.34
2828.00,98.37
2827.00,98.40
2826.00,98.42
2825.00,98.44
2824.00,98.46
2823.00,98.48
2822.00,98.49
2821.00,98.51
2820.00,98.53
2819.00,98.55
2818.00,98.56
2817.00,98.57
2816.00,98.58
2815.00,98.60
2814.00,98.61
2813.00,98.62
2812.00,98.63
2811.00,98.63
2810.00,98.64
2809.00,98.64
2808.00,98.65
2807.00,98.65
2806.00,98.66
2805.00,98.66
2804.00,98.67
2803.00,98.67
2802.00,98.68
2801.00,98.68
2800.00,98.69
2799.00,98.69
2798.00,98.70
2797.00,98.70
2796.00,98.70
2795.00,98.70
2794.00,98.70
2793.00,98.71
2792.00,98.71
2791.00,98.72
2790.00,98.72
2789.00,98.72
2788.00,98.72
2787.00,98.72
2786.00,98.72
2785.00,98.72
2784.00,98.72
2783.00,98.72
2782.00,98.71
2781.00,98.71
2780.00,98.71
2779.00,98.72
2778.00,98.72
2777.00,98.72
2776.00,98.72
2775.00,98.73
2774.00,98.73
2773.00,98.73
2772.00,98.73
2771.00,98.73
2770.00,98.74
2769.00,98.74
2768.00,98.74
2767.00,98.74
2766.00,98.74
2765.00,98.74
2764.00,98.74
2763.00,98.74
2762.00,98.74
2761.00,98.74
2760.00,98.75
2759.00,98.75
2758.00,98.75
2757.00,98.75
2756.00,98.75
2755.00,98.75
2754.00,98.75
2753.00,98.75
2752.00,98.76
2751.00,98.76
2750.00,98.76
2749.00,98.76
2748.00,98.76
2747.00,98.76
2746.00,98.76
2745.00,98.76
2744.00,98.76
2743.00,98.76
2742.00,98.76
2741.00,98.76
2740.00,98.77
2739.00,98.77
2738.00,98.77
2737.00,98.78
2736.00,98.78
2735.00,98.78
2734.00,98.78
2733.00,98.78
2732.00,98.78
2731.00,98.79
2730.00,98.79
2729.00,98.79
2728.00,98.79
2727.00,98.80
2726.00,98.80
2725.00,98.80
2724.00,98.80
2723.00,98.80
2722.00,98.80
2721.00,98.80
2720.00,98.80
2719.00,98.80
2718.00,98.80
2717.00,98.81
2716.00,98.81
2715.00,98.81
2714.00,98.81
2713.00,98.81
2712.00,98.81
2711.00,98.81
2710.00,98.81
2709.00,98.81
2708.00,98.81
2707.00,98.81
2706.00,98.81
2705.00,98.81
2704.00,98.81
2703.00,98.81
2702.00,98.81
2701.00,98.81
2700.00,98.81
2699.00,98.81
2698.00,98.81
2697.00,98.81
2696.00,98.81
2695.00,98.81
2694.00,98.81
2693.00,98.81
2692.00,98.82
2691.00,98.82
2690.00,98.82
2689.00,98.81
2688.00,98.81
2687.00,98.81
2686.00,98.81
2685.00,98.81
2684.00,98.81
2683.00,98.81
2682.00,98.81
2681.00,98.81
2680.00,98.81
2679.00,98.82
2678.00,98.82
2677.00,98.82
2676.00,98.81
2675.00,98.81
2674.00,98.81
2673.00,98.81
2672.00,98.81
2671.00,98.81
2670.00,98.81
2669.00,98.81
2668.00,98.80
2667.00,98.80
2666.00,98.79
2665.00,98.78
2664.00,98.77
2663.00,98.76
2662.00,98.75
2661.00,98.74
2660.00,98.73
2659.00,98.72
2658.00,98.72
2657.00,98.71
2656.00,98.70
2655.00,98.70
2654.00,98.69
2653.00,98.69
2652.00,98.68
2651.00,98.67
2650.00,98.67
2649.00,98.67
2648.00,98.67
2647.00,98.67
2646.00,98.67
2645.00,98.67
2644.00,98.66
2643.00,98.66
2642.00,98.66
2641.00,98.66
2640.00,98.66
2639.00,98.66
2638.00,98.66
2637.00,98.66
2636.00,98.66
2635.00,98.66
2634.00,98.66
2633.00,98.66
2632.00,98.66
2631.00,98.66
2630.00,98.66
2629.00,98.66
2628.00,98.66
2627.00,98.66
2626.00,98.66
2625.00,98.66
2624.00,98.66
2623.00,98.66
2622.00,98.65
2621.00,98.65
2620.00,98.65
2619.00,98.65
2618.00,98.65
2617.00,98.65
2616.00,98.65
2615.00,98.65
2614.00,98.65
2613.00,98.65
2612.00,98.65
2611.00,98.65
2610.00,98.66
2609.00,98.66
2608.00,98.66
2607.00,98.66
2606.00,98.65
2605.00,98.65
2604.00,98.65
2603.00,98.64
2602.00,98.63
2601.00,98.63
2600.00,98.63
2599.00,98.64
2598.00,98.64
2597.00,98.65
2596.00,98.65
2595.00,98.66
2594.00,98.66
2593.00,98.66
2592.00,98.66
2591.00,98.66
2590.00,98.66
2589.00,98.66
2588.00,98.66
2587.00,98.67
2586.00,98.67
2585.00,98.67
2584.00,98.67
2583.00,98.67
2582.00,98.68
2581.00,98.68
2580.00,98.68
2579.00,98.68
2578.00,98.68
2577.00,98.68
2576.00,98.68
2575.00,98.68
2574.00,98.68
2573.00,98.68
2572.00,98.69
2571.00,98.69
2570.00,98.69
2569.00,98.69
2568.00,98.68
2567.00,98.68
2566.00,98.68
2565.00,98.68
2564.00,98.69
2563.00,98.70
2562.00,98.71
2561.00,98.71
2560.00,98.72
2559.00,98.72
2558.00,98.71
2557.00,98.71
2556.00,98.71
2555.00,98.71
2554.00,98.70
2553.00,98.70
2552.00,98.71
2551.00,98.71
2550.00,98.71
2549.00,98.71
2548.00,98.71
2547.00,98.71
2546.00,98.70
2545.00,98.70
2544.00,98.70
2543.00,98.70
2542.00,98.71
2541.00,98.72
2540.00,98.72
2539.00,98.72
2538.00,98.72
2537.00,98.72
2536.00,98.71
2535.00,98.72
2534.00,98.72
2533.00,98.72
2532.00,98.73
2531.00,98.73
2530.00,98.74
2529.00,98.74
2528.00,98.74
2527.00,98.74
2526.00,98.74
2525.00,98.74
2524.00,98.75
2523.00,98.75
2522.00,98.75
2521.00,98.75
2520.00,98.76
2519.00,98.75
2518.00,98.75
2517.00,98.75
2516.00,98.76
2515.00,98.76
2514.00,98.77
2513.00,98.77
2512.00,98.77
2511.00,98.77
2510.00,98.76
2509.00,98.76
2508.00,98.75
2507.00,98.75
2506.00,98.76
2505.00,98.77
2504.00,98.77
2503.00,98.78
2502.00,98.78
2501.00,98.77
2500.00,98.77
2499.00,98.77
2498.00,98.77
2497.00,98.77
2496.00,98.77
2495.00,98.77
2494.00,98.77
2493.00,98.76
2492.00,98.76
2491.00,98.77
2490.00,98.77
2489.00,98.77
2488.00,98.77
2487.00,98.77
2486.00,98.77
2485.00,98.77
2484.00,98.78
2483.00,98.78
2482.00,98.78
2481.00,98.78
2480.00,98.78
2479.00,98.77
2478.00,98.77
2477.00,98.78
2476.00,98.78
2475.00,98.78
2474.00,98.78
2473.00,98.78
2472.00,98.78
2471.00,98.77
2470.00,98.77
2469.00,98.77
2468.00,98.77
2467.00,98.77
2466.00,98.77
2465.00,98.77
2464.00,98.77
2463.00,98.77
2462.00,98.76
2461.00,98.76
2460.00,98.75
2459.00,98.74
2458.00,98.73
2457.00,98.72
