Created as New Dataset,PHB (biopolymer) GF
cm-1,%T
2497.00,99.03
2496.00,99.03
2495.00,99.03
2494.00,99.03
2493.00,99.03
2492.00,99.03
2491.00,99.03
2490.00,99.04
2489.00,99.04
2488.00,99.04
2487.00,99.04
2486.00,99.04
2485.00,99.05
2484.00,99.05
2483.00,99.05
2482.00,99.06
2481.00,99.06
2480.00,99.05
2479.00,99.05
2478.00,99.05
2477.00,99.05
2476.00,99.05
2475.00,99.06
2474.00,99.06
2473.00,99.07
2472.00,99.08
2471.00,99.09
2470.00,99.09
2469.00,99.10
2468.00,99.09
2467.00,99.09
2466.00,99.09
2465.00,99.09
2464.00,99.09
2463.00,99.09
2462.00,99.08
2461.00,99.08
2460.00,99.08
2459.00,99.07
