Created as New Dataset,PAN 230kDa GF
cm-1,%T
2667.00,98.81
2666.00,98.81
2665.00,98.80
2664.00,98.79
2663.00,98.77
2662.00,98.76
2661.00,98.75
2660.00,98.74
2659.00,98.73
2658.00,98.72
2657.00,98.71
2656.00,98.70
2655.00,98.70
2654.00,98.69
2653.00,98.69
2652.00,98.69
2651.00,98.68
2650.00,98.68
2649.00,98.67
2648.00,98.67
2647.00,98.67
2646.00,98.67
2645.00,98.67
2644.00,98.66
2643.00,98.66
2642.00,98.66
2641.00,98.66
2640.00,98.65
2639.00,98.65
2638.00,98.65
2637.00,98.65
2636.00,98.65
2635.00,98.65
2634.00,98.65
2633.00,98.65
2632.00,98.64
2631.00,98.64
2630.00,98.65
2629.00,98.65
2628.00,98.65
2627.00,98.65
2626.00,98.65
2625.00,98.65
2624.00,98.65
2623.00,98.65
2622.00,98.65
2621.00,98.65
2620.00,98.65
2619.00,98.65
2618.00,98.66
2617.00,98.66
2616.00,98.66
2615.00,98.66
2614.00,98.66
2613.00,98.66
2612.00,98.67
2611.00,98.67
2610.00,98.67
2609.00,98.67
2608.00,98.68
2607.00,98.67
2606.00,98.67
2605.00,98.67
2604.00,98.67
2603.00,98.67
2602.00,98.67
2601.00,98.67
2600.00,98.67
2599.00,98.67
2598.00,98.68
2597.00,98.68
2596.00,98.68
2595.00,98.69
2594.00,98.69
2593.00,98.69
2592.00,98.69
2591.00,98.69
2590.00,98.69
2589.00,98.69
2588.00,98.69
2587.00,98.69
2586.00,98.69
2585.00,98.68
2584.00,98.68
2583.00,98.68
2582.00,98.68
2581.00,98.68
2580.00,98.68
2579.00,98.68
2578.00,98.68
2577.00,98.68
2576.00,98.68
2575.00,98.67
2574.00,98.67
2573.00,98.67
2572.00,98.67
2571.00,98.67
2570.00,98.68
2569.00,98.68
2568.00,98.68
2567.00,98.68
2566.00,98.68
2565.00,98.68
2564.00,98.68
2563.00,98.68
2562.00,98.68
2561.00,98.68
2560.00,98.67
2559.00,98.67
2558.00,98.67
2557.00,98.67
2556.00,98.67
2555.00,98.67
2554.00,98.67
2553.00,98.67
2552.00,98.67
2551.00,98.68
2550.00,98.68
2549.00,98.67
2548.00,98.67
2547.00,98.67
2546.00,98.67
2545.00,98.67
2544.00,98.67
2543.00,98.67
2542.00,98.67
2541.00,98.67
2540.00,98.67
2539.00,98.67
2538.00,98.67
2537.00,98.67
2536.00,98.67
2535.00,98.67
2534.00,98.67
2533.00,98.68
2532.00,98.68
2531.00,98.68
2530.00,98.68
2529.00,98.68
2528.00,98.68
2527.00,98.68
2526.00,98.67
2525.00,98.67
2524.00,98.67
2523.00,98.67
2522.00,98.67
2521.00,98.67
2520.00,98.68
2519.00,98.68
2518.00,98.68
2517.00,98.69
2516.00,98.69
2515.00,98.69
2514.00,98.68
2513.00,98.68
2512.00,98.68
2511.00,98.68
2510.00,98.68
2509.00,98.68
2508.00,98.68
2507.00,98.69
2506.00,98.69
2505.00,98.68
2504.00,98.68
2503.00,98.68
2502.00,98.68
2501.00,98.68
2500.00,98.68
2499.00,98.68
2498.00,98.68
2497.00,98.68
2496.00,98.68
2495.00,98.69
2494.00,98.69
2493.00,98.70
2492.00,98.70
2491.00,98.70
2490.00,98.70
2489.00,98.70
2488.00,98.70
2487.00,98.70
2486.00,98.70
2485.00,98.70
2484.00,98.70
2483.00,98.70
2482.00,98.71
2481.00,98.71
2480.00,98.71
2479.00,98.71
2478.00,98.71
2477.00,98.71
2476.00,98.72
2475.00,98.72
2474.00,98.71
2473.00,98.71
2472.00,98.71
2471.00,98.71
2470.00,98.71
2469.00,98.71
2468.00,98.72
