Created as New Dataset,PAN 230kDa GF
cm-1,%T
3549.00,98.71
3548.00,98.71
3547.00,98.71
3546.00,98.70
3545.00,98.70
3544.00,98.70
3543.00,98.69
3542.00,98.69
3541.00,98.69
3540.00,98.69
3539.00,98.69
3538.00,98.70
3537.00,98.70
3536.00,98.70
3535.00,98.71
3534.00,98.71
3533.00,98.71
3532.00,98.72
3531.00,98.72
3530.00,98.73
3529.00,98.73
3528.00,98.73
3527.00,98.73
3526.00,98.73
3525.00,98.73
3524.00,98.73
3523.00,98.74
3522.00,98.74
3521.00,98.75
3520.00,98.76
3519.00,98.76
3518.00,98.77
3517.00,98.77
3516.00,98.77
3515.00,98.78
3514.00,98.78
3513.00,98.78
3512.00,98.78
3511.00,98.79
3510.00,98.80
3509.00,98.80
3508.00,98.81
3507.00,98.81
3506.00,98.81
3505.00,98.81
3504.00,98.82
3503.00,98.82
3502.00,98.83
3501.00,98.84
3500.00,98.85
3499.00,98.86
3498.00,98.86
3497.00,98.86
3496.00,98.86
3495.00,98.87
3494.00,98.87
3493.00,98.87
3492.00,98.87
3491.00,98.88
3490.00,98.88
3489.00,98.88
3488.00,98.89
3487.00,98.89
3486.00,98.89
3485.00,98.90
3484.00,98.90
3483.00,98.91
3482.00,98.91
3481.00,98.91
3480.00,98.92
3479.00,98.92
3478.00,98.92
3477.00,98.92
3476.00,98.92
3475.00,98.92
3474.00,98.93
3473.00,98.93
3472.00,98.93
3471.00,98.93
3470.00,98.94
3469.00,98.94
3468.00,98.94
3467.00,98.95
3466.00,98.95
3465.00,98.95
3464.00,98.95
3463.00,98.95
3462.00,98.95
3461.00,98.96
3460.00,98.96
3459.00,98.96
3458.00,98.96
3457.00,98.96
3456.00,98.96
3455.00,98.96
3454.00,98.96
3453.00,98.97
3452.00,98.97
3451.00,98.98
3450.00,98.98
3449.00,98.98
3448.00,98.99
3447.00,98.99
3446.00,98.99
3445.00,98.99
3444.00,98.99
3443.00,98.98
3442.00,98.98
3441.00,98.99
3440.00,98.99
3439.00,99.00
3438.00,99.01
3437.00,99.01
3436.00,99.01
3435.00,99.00
3434.00,99.00
3433.00,99.00
3432.00,99.00
3431.00,99.01
3430.00,99.01
3429.00,99.01
3428.00,99.02
3427.00,99.02
3426.00,99.02
3425.00,99.02
3424.00,99.02
3423.00,99.02
3422.00,99.02
3421.00,99.03
3420.00,99.03
3419.00,99.03
3418.00,99.03
3417.00,99.03
3416.00,99.03
3415.00,99.03
3414.00,99.03
3413.00,99.03
3412.00,99.04
3411.00,99.04
3410.00,99.04
3409.00,99.05
3408.00,99.05
3407.00,99.05
3406.00,99.05
3405.00,99.05
3404.00,99.05
3403.00,99.05
3402.00,99.05
3401.00,99.05
3400.00,99.05
3399.00,99.05
3398.00,99.05
3397.00,99.06
3396.00,99.06
3395.00,99.06
3394.00,99.06
3393.00,99.06
3392.00,99.06
3391.00,99.05
3390.00,99.06
3389.00,99.06
3388.00,99.06
3387.00,99.06
3386.00,99.06
3385.00,99.06
3384.00,99.06
3383.00,99.06
3382.00,99.06
3381.00,99.06
3380.00,99.06
3379.00,99.06
3378.00,99.05
3377.00,99.05
3376.00,99.05
3375.00,99.05
3374.00,99.05
3373.00,99.05
3372.00,99.05
3371.00,99.05
3370.00,99.05
3369.00,99.05
3368.00,99.05
3367.00,99.05
3366.00,99.05
3365.00,99.04
3364.00,99.04
3363.00,99.04
3362.00,99.04
3361.00,99.05
3360.00,99.05
3359.00,99.05
3358.00,99.05
3357.00,99.05
3356.00,99.05
3355.00,99.06
3354.00,99.06
3353.00,99.06
3352.00,99.06
3351.00,99.06
3350.00,99.06
3349.00,99.05
3348.00,99.05
3347.00,99.05
3346.00,99.05
3345.00,99.05
3344.00,99.05
3343.00,99.05
3342.00,99.05
3341.00,99.05
3340.00,99.05
3339.00,99.05
3338.00,99.05
3337.00,99.05
3336.00,99.05
3335.00,99.05
3334.00,99.04
3333.00,99.04
3332.00,99.04
3331.00,99.03
3330.00,99.03
3329.00,99.04
3328.00,99.04
3327.00,99.04
3326.00,99.05
3325.00,99.04
3324.00,99.04
3323.00,99.03
3322.00,99.03
3321.00,99.03
3320.00,99.04
3319.00,99.04
3318.00,99.04
3317.00,99.04
3316.00,99.04
3315.00,99.04
3314.00,99.04
3313.00,99.04
3312.00,99.03
3311.00,99.03
3310.00,99.02
3309.00,99.02
3308.00,99.02
3307.00,99.02
3306.00,99.02
3305.00,99.02
3304.00,99.03
3303.00,99.03
3302.00,99.03
3301.00,99.03
3300.00,99.02
3299.00,99.02
3298.00,99.01
3297.00,99.01
3296.00,99.01
3295.00,99.01
3294.00,99.01
3293.00,99.01
3292.00,99.01
3291.00,99.01
3290.00,99.01
3289.00,99.01
3288.00,99.00
3287.00,99.00
3286.00,99.00
3285.00,98.99
3284.00,98.99
3283.00,98.99
3282.00,98.99
3281.00,98.98
3280.00,98.98
3279.00,98.98
3278.00,98.98
3277.00,98.98
3276.00,98.98
3275.00,98.98
3274.00,98.97
3273.00,98.97
3272.00,98.97
3271.00,98.97
3270.00,98.97
3269.00,98.97
3268.00,98.97
3267.00,98.97
3266.00,98.96
3265.00,98.96
3264.00,98.96
3263.00,98.96
3262.00,98.96
3261.00,98.96
3260.00,98.96
3259.00,98.96
3258.00,98.96
3257.00,98.95
3256.00,98.95
3255.00,98.96
3254.00,98.96
3253.00,98.96
3252.00,98.95
3251.00,98.95
3250.00,98.95
3249.00,98.95
3248.00,98.95
3247.00,98.96
3246.00,98.95
3245.00,98.95
3244.00,98.95
3243.00,98.95
3242.00,98.96
3241.00,98.96
3240.00,98.96
3239.00,98.96
3238.00,98.96
3237.00,98.95
3236.00,98.95
3235.00,98.95
3234.00,98.95
3233.00,98.96
3232.00,98.96
3231.00,98.97
3230.00,98.97
3229.00,98.97
3228.00,98.96
3227.00,98.96
3226.00,98.96
3225.00,98.96
3224.00,98.97
3223.00,98.97
3222.00,98.97
3221.00,98.97
3220.00,98.97
3219.00,98.97
3218.00,98.97
3217.00,98.97
3216.00,98.97
3215.00,98.98
3214.00,98.98
3213.00,98.98
3212.00,98.98
