Created as New Dataset,Acrylic Red
cm-1,%T
3533.00,98.70
3532.00,98.70
3531.00,98.71
3530.00,98.71
3529.00,98.72
3528.00,98.72
3527.00,98.73
3526.00,98.73
3525.00,98.73
3524.00,98.73
3523.00,98.73
3522.00,98.73
3521.00,98.73
3520.00,98.73
3519.00,98.73
3518.00,98.74
3517.00,98.74
3516.00,98.74
3515.00,98.75
3514.00,98.75
3513.00,98.75
3512.00,98.75
3511.00,98.75
3510.00,98.75
3509.00,98.74
3508.00,98.74
3507.00,98.74
3506.00,98.75
3505.00,98.75
3504.00,98.75
3503.00,98.76
3502.00,98.76
3501.00,98.75
3500.00,98.75
3499.00,98.75
3498.00,98.75
3497.00,98.75
3496.00,98.75
3495.00,98.75
3494.00,98.75
3493.00,98.75
3492.00,98.75
3491.00,98.75
3490.00,98.75
3489.00,98.75
3488.00,98.75
3487.00,98.75
3486.00,98.74
3485.00,98.74
3484.00,98.74
3483.00,98.74
3482.00,98.75
3481.00,98.75
3480.00,98.75
3479.00,98.75
3478.00,98.74
3477.00,98.74
3476.00,98.73
3475.00,98.73
3474.00,98.72
3473.00,98.72
3472.00,98.72
3471.00,98.72
3470.00,98.73
3469.00,98.73
3468.00,98.73
3467.00,98.73
3466.00,98.71
3465.00,98.70
3464.00,98.69
3463.00,98.69
3462.00,98.69
3461.00,98.69
3460.00,98.69
3459.00,98.68
3458.00,98.67
3457.00,98.66
3456.00,98.66
3455.00,98.65
3454.00,98.65
3453.00,98.65
3452.00,98.64
3451.00,98.64
3450.00,98.64
3449.00,98.63
3448.00,98.62
3447.00,98.62
3446.00,98.61
3445.00,98.61
3444.00,98.61
3443.00,98.61
3442.00,98.61
3441.00,98.62
3440.00,98.62
3439.00,98.63
3438.00,98.64
3437.00,98.64
3436.00,98.65
3435.00,98.65
3434.00,98.65
3433.00,98.65
3432.00,98.65
3431.00,98.65
3430.00,98.65
3429.00,98.66
3428.00,98.66
3427.00,98.66
3426.00,98.67
3425.00,98.67
3424.00,98.68
3423.00,98.69
3422.00,98.69
3421.00,98.70
3420.00,98.70
3419.00,98.71
3418.00,98.71
3417.00,98.72
3416.00,98.72
3415.00,98.73
3414.00,98.73
3413.00,98.73
3412.00,98.74
3411.00,98.74
3410.00,98.74
3409.00,98.74
3408.00,98.75
3407.00,98.75
3406.00,98.75
3405.00,98.76
3404.00,98.76
3403.00,98.77
3402.00,98.78
3401.00,98.78
3400.00,98.78
3399.00,98.78
3398.00,98.78
3397.00,98.78
3396.00,98.78
3395.00,98.78
3394.00,98.78
3393.00,98.78
3392.00,98.79
3391.00,98.79
3390.00,98.79
3389.00,98.78
3388.00,98.78
3387.00,98.78
3386.00,98.79
3385.00,98.79
3384.00,98.79
3383.00,98.79
3382.00,98.79
3381.00,98.79
3380.00,98.79
3379.00,98.79
3378.00,98.79
3377.00,98.79
3376.00,98.80
3375.00,98.80
3374.00,98.80
3373.00,98.80
3372.00,98.80
3371.00,98.80
3370.00,98.80
3369.00,98.80
3368.00,98.80
3367.00,98.80
3366.00,98.80
3365.00,98.79
3364.00,98.80
3363.00,98.80
3362.00,98.80
3361.00,98.80
3360.00,98.79
3359.00,98.79
3358.00,98.79
3357.00,98.79
3356.00,98.80
3355.00,98.80
3354.00,98.80
3353.00,98.80
3352.00,98.80
3351.00,98.80
3350.00,98.80
3349.00,98.80
3348.00,98.80
3347.00,98.80
3346.00,98.80
3345.00,98.80
3344.00,98.80
3343.00,98.80
3342.00,98.80
3341.00,98.80
3340.00,98.80
3339.00,98.80
3338.00,98.80
3337.00,98.80
3336.00,98.80
3335.00,98.80
3334.00,98.80
3333.00,98.80
3332.00,98.80
3331.00,98.80
3330.00,98.80
3329.00,98.80
3328.00,98.80
3327.00,98.80
3326.00,98.80
3325.00,98.80
3324.00,98.80
3323.00,98.80
3322.00,98.80
3321.00,98.80
3320.00,98.79
3319.00,98.79
3318.00,98.79
3317.00,98.79
3316.00,98.79
3315.00,98.80
3314.00,98.80
3313.00,98.81
3312.00,98.80
3311.00,98.80
3310.00,98.80
3309.00,98.80
3308.00,98.80
3307.00,98.80
3306.00,98.80
3305.00,98.81
3304.00,98.81
3303.00,98.80
3302.00,98.80
3301.00,98.79
3300.00,98.79
3299.00,98.79
3298.00,98.80
3297.00,98.80
3296.00,98.80
3295.00,98.80
3294.00,98.80
3293.00,98.80
3292.00,98.80
3291.00,98.80
3290.00,98.80
3289.00,98.80
3288.00,98.80
3287.00,98.80
3286.00,98.80
3285.00,98.80
3284.00,98.80
3283.00,98.80
3282.00,98.79
3281.00,98.79
3280.00,98.79
3279.00,98.80
3278.00,98.80
3277.00,98.80
3276.00,98.80
3275.00,98.80
3274.00,98.80
3273.00,98.80
3272.00,98.80
3271.00,98.80
3270.00,98.80
3269.00,98.79
3268.00,98.79
3267.00,98.79
3266.00,98.79
3265.00,98.79
3264.00,98.78
3263.00,98.78
3262.00,98.78
3261.00,98.78
3260.00,98.78
3259.00,98.78
3258.00,98.78
3257.00,98.79
3256.00,98.79
3255.00,98.79
3254.00,98.79
3253.00,98.79
3252.00,98.79
3251.00,98.79
3250.00,98.79
3249.00,98.79
3248.00,98.79
3247.00,98.78
3246.00,98.78
3245.00,98.78
3244.00,98.78
3243.00,98.79
3242.00,98.79
3241.00,98.79
3240.00,98.79
3239.00,98.79
3238.00,98.79
3237.00,98.79
3236.00,98.79
3235.00,98.79
3234.00,98.79
3233.00,98.79
3232.00,98.79
3231.00,98.78
3230.00,98.78
3229.00,98.77
3228.00,98.77
3227.00,98.78
3226.00,98.78
