Created as New Dataset,PE powder (low density) GF 300um
cm-1,%T
3516.00,99.79
3515.00,99.79
3514.00,99.79
3513.00,99.79
3512.00,99.79
3511.00,99.79
3510.00,99.79
3509.00,99.79
3508.00,99.79
3507.00,99.79
3506.00,99.78
3505.00,99.78
3504.00,99.78
3503.00,99.78
3502.00,99.78
3501.00,99.78
3500.00,99.79
3499.00,99.79
3498.00,99.79
3497.00,99.79
3496.00,99.79
3495.00,99.79
3494.00,99.78
3493.00,99.78
3492.00,99.78
3491.00,99.78
3490.00,99.78
3489.00,99.79
3488.00,99.79
3487.00,99.79
3486.00,99.79
3485.00,99.78
3484.00,99.78
3483.00,99.78
3482.00,99.78
3481.00,99.79
3480.00,99.79
3479.00,99.79
3478.00,99.79
3477.00,99.78
3476.00,99.78
3475.00,99.78
3474.00,99.78
3473.00,99.78
3472.00,99.78
3471.00,99.78
3470.00,99.78
3469.00,99.78
3468.00,99.78
3467.00,99.77
3466.00,99.77
3465.00,99.77
3464.00,99.77
3463.00,99.77
3462.00,99.77
3461.00,99.77
3460.00,99.77
3459.00,99.77
3458.00,99.77
3457.00,99.77
3456.00,99.77
3455.00,99.77
3454.00,99.77
3453.00,99.77
3452.00,99.77
3451.00,99.77
3450.00,99.77
3449.00,99.77
3448.00,99.77
3447.00,99.77
3446.00,99.77
3445.00,99.76
3444.00,99.76
3443.00,99.76
3442.00,99.77
3441.00,99.77
3440.00,99.77
3439.00,99.77
3438.00,99.77
3437.00,99.77
3436.00,99.77
3435.00,99.77
3434.00,99.77
3433.00,99.77
3432.00,99.77
3431.00,99.77
3430.00,99.77
3429.00,99.76
3428.00,99.76
3427.00,99.76
3426.00,99.76
3425.00,99.76
3424.00,99.77
3423.00,99.77
3422.00,99.77
3421.00,99.77
3420.00,99.77
3419.00,99.77
3418.00,99.77
3417.00,99.77
3416.00,99.77
3415.00,99.77
3414.00,99.77
3413.00,99.77
3412.00,99.77
3411.00,99.77
3410.00,99.77
3409.00,99.77
3408.00,99.77
3407.00,99.76
3406.00,99.76
3405.00,99.76
3404.00,99.76
3403.00,99.76
3402.00,99.76
3401.00,99.76
3400.00,99.76
3399.00,99.76
3398.00,99.76
3397.00,99.76
3396.00,99.76
3395.00,99.76
3394.00,99.76
3393.00,99.76
3392.00,99.76
3391.00,99.76
3390.00,99.77
3389.00,99.77
3388.00,99.77
3387.00,99.77
3386.00,99.77
3385.00,99.77
3384.00,99.76
3383.00,99.76
