Created as New Dataset,PP granule 3mm GF
cm-1,%T
3118.00,99.51
3117.00,99.51
3116.00,99.51
3115.00,99.52
3114.00,99.52
3113.00,99.52
3112.00,99.52
3111.00,99.52
3110.00,99.52
3109.00,99.52
3108.00,99.52
3107.00,99.52
3106.00,99.52
3105.00,99.52
3104.00,99.52
3103.00,99.52
3102.00,99.52
3101.00,99.52
3100.00,99.52
3099.00,99.52
3098.00,99.51
3097.00,99.51
3096.00,99.51
3095.00,99.51
3094.00,99.51
3093.00,99.51
3092.00,99.51
3091.00,99.51
3090.00,99.51
3089.00,99.51
3088.00,99.51
3087.00,99.51
3086.00,99.51
3085.00,99.51
3084.00,99.51
3083.00,99.50
3082.00,99.50
3081.00,99.50
3080.00,99.50
3079.00,99.50
3078.00,99.50
3077.00,99.50
3076.00,99.50
3075.00,99.50
3074.00,99.49
3073.00,99.49
3072.00,99.49
3071.00,99.49
3070.00,99.48
3069.00,99.48
3068.00,99.48
3067.00,99.48
3066.00,99.48
3065.00,99.48
3064.00,99.47
3063.00,99.47
3062.00,99.46
3061.00,99.46
3060.00,99.46
3059.00,99.45
3058.00,99.45
3057.00,99.44
3056.00,99.44
3055.00,99.44
3054.00,99.43
3053.00,99.43
3052.00,99.43
3051.00,99.42
3050.00,99.42
3049.00,99.41
3048.00,99.41
3047.00,99.41
3046.00,99.41
3045.00,99.41
3044.00,99.41
3043.00,99.40
3042.00,99.40
3041.00,99.40
3040.00,99.39
3039.00,99.39
3038.00,99.38
3037.00,99.38
3036.00,99.38
3035.00,99.37
3034.00,99.36
3033.00,99.36
3032.00,99.35
3031.00,99.34
3030.00,99.33
3029.00,99.32
3028.00,99.31
3027.00,99.31
3026.00,99.30
3025.00,99.29
3024.00,99.28
3023.00,99.27
3022.00,99.26
3021.00,99.25
3020.00,99.23
3019.00,99.22
3018.00,99.20
3017.00,99.19
3016.00,99.17
3015.00,99.15
3014.00,99.12
3013.00,99.10
3012.00,99.08
3011.00,99.06
3010.00,99.04
3009.00,99.02
3008.00,98.99
3007.00,98.96
3006.00,98.93
3005.00,98.90
3004.00,98.86
3003.00,98.83
3002.00,98.79
3001.00,98.75
3000.00,98.70
2999.00,98.65
2998.00,98.60
2997.00,98.55
2996.00,98.48
2995.00,98.42
2994.00,98.34
2993.00,98.25
2992.00,98.16
2991.00,98.05
2990.00,97.95
2989.00,97.83
2988.00,97.69
2987.00,97.54
2986.00,97.36
2985.00,97.17
2984.00,96.95
2983.00,96.71
2982.00,96.43
2981.00,96.12
2980.00,95.77
2979.00,95.38
2978.00,94.94
2977.00,94.44
2976.00,93.87
2975.00,93.23
2974.00,92.51
2973.00,91.69
2972.00,90.78
2971.00,89.77
2970.00,88.67
2969.00,87.48
2968.00,86.21
2967.00,84.87
2966.00,83.50
2965.00,82.12
2964.00,80.81
2963.00,79.61
2962.00,78.57
2961.00,77.73
2960.00,77.06
2959.00,76.54
2958.00,76.11
2957.00,75.71
2956.00,75.28
2955.00,74.80
2954.00,74.27
2953.00,73.77
2952.00,73.39
2951.00,73.23
2950.00,73.39
2949.00,73.93
2948.00,74.85
2947.00,76.11
2946.00,77.58
2945.00,79.13
2944.00,80.63
2943.00,81.94
2942.00,82.98
2941.00,83.69
2940.00,84.08
2939.00,84.16
2938.00,83.95
2937.00,83.51
2936.00,82.84
2935.00,81.99
2934.00,80.98
2933.00,79.83
2932.00,78.57
2931.00,77.23
2930.00,75.84
2929.00,74.45
2928.00,73.07
2927.00,71.73
2926.00,70.43
2925.00,69.17
2924.00,67.94
2923.00,66.73
2922.00,65.56
2921.00,64.50
2920.00,63.63
2919.00,63.05
2918.00,62.85
2917.00,63.09
2916.00,63.74
2915.00,64.71
2914.00,65.88
2913.00,67.10
2912.00,68.28
2911.00,69.35
2910.00,70.31
2909.00,71.17
2908.00,71.96
2907.00,72.72
2906.00,73.48
2905.00,74.26
2904.00,75.06
2903.00,75.88
2902.00,76.71
2901.00,77.53
2900.00,78.34
2899.00,79.12
2898.00,79.86
2897.00,80.54
2896.00,81.14
2895.00,81.68
2894.00,82.12
2893.00,82.50
2892.00,82.79
2891.00,83.03
2890.00,83.20
2889.00,83.33
2888.00,83.41
2887.00,83.45
2886.00,83.44
2885.00,83.38
2884.00,83.27
2883.00,83.09
2882.00,82.86
2881.00,82.61
2880.00,82.35
2879.00,82.15
2878.00,82.03
2877.00,82.01
2876.00,82.08
2875.00,82.18
2874.00,82.27
2873.00,82.29
2872.00,82.23
2871.00,82.09
2870.00,81.90
2869.00,81.74
2868.00,81.68
2867.00,81.82
2866.00,82.23
2865.00,82.92
2864.00,83.85
2863.00,84.90
2862.00,85.94
2861.00,86.84
2860.00,87.52
2859.00,87.95
2858.00,88.12
2857.00,88.05
2856.00,87.76
2855.00,87.25
2854.00,86.56
2853.00,85.77
2852.00,84.98
2851.00,84.36
2850.00,84.02
2849.00,83.98
2848.00,84.14
2847.00,84.33
2846.00,84.38
2845.00,84.20
2844.00,83.78
2843.00,83.19
2842.00,82.52
2841.00,81.88
2840.00,81.38
2839.00,81.11
2838.00,81.18
2837.00,81.64
2836.00,82.51
2835.00,83.71
2834.00,85.16
2833.00,86.70
2832.00,88.21
2831.00,89.60
2830.00,90.79
2829.00,91.79
2828.00,92.61
2827.00,93.28
2826.00,93.83
2825.00,94.28
2824.00,94.66
2823.00,94.98
2822.00,95.25
2821.00,95.49
2820.00,95.70
2819.00,95.88
2818.00,96.04
2817.00,96.17
2816.00,96.30
2815.00,96.40
2814.00,96.50
2813.00,96.60
2812.00,96.68
2811.00,96.77
2810.00,96.86
2809.00,96.94
2808.00,97.04
2807.00,97.14
2806.00,97.24
2805.00,97.35
2804.00,97.45
2803.00,97.55
2802.00,97.63
2801.00,97.70
2800.00,97.76
2799.00,97.81
2798.00,97.85
2797.00,97.89
2796.00,97.93
2795.00,97.97
2794.00,98.02
2793.00,98.06
2792.00,98.12
2791.00,98.17
2790.00,98.23
2789.00,98.29
2788.00,98.34
2787.00,98.39
2786.00,98.44
2785.00,98.49
2784.00,98.53
2783.00,98.57
2782.00,98.61
2781.00,98.64
2780.00,98.66
2779.00,98.69
2778.00,98.71
2777.00,98.73
2776.00,98.75
2775.00,98.77
2774.00,98.79
2773.00,98.80
2772.00,98.82
2771.00,98.83
2770.00,98.84
2769.00,98.84
2768.00,98.85
2767.00,98.86
2766.00,98.87
2765.00,98.88
2764.00,98.89
2763.00,98.90
2762.00,98.91
2761.00,98.92
2760.00,98.93
2759.00,98.93
2758.00,98.94
2757.00,98.95
2756.00,98.95
2755.00,98.96
2754.00,98.96
2753.00,98.96
2752.00,98.96
2751.00,98.96
2750.00,98.96
2749.00,98.96
2748.00,98.95
2747.00,98.95
2746.00,98.94
2745.00,98.93
2744.00,98.92
2743.00,98.90
2742.00,98.89
2741.00,98.86
2740.00,98.84
2739.00,98.82
2738.00,98.79
2737.00,98.77
2736.00,98.75
2735.00,98.73
2734.00,98.71
2733.00,98.69
2732.00,98.66
2731.00,98.63
2730.00,98.59
2729.00,98.55
2728.00,98.50
2727.00,98.45
2726.00,98.41
2725.00,98.38
2724.00,98.36
2723.00,98.35
2722.00,98.36
2721.00,98.39
2720.00,98.44
2719.00,98.49
2718.00,98.55
2717.00,98.60
2716.00,98.65
2715.00,98.70
2714.00,98.74
2713.00,98.78
2712.00,98.81
2711.00,98.83
2710.00,98.86
2709.00,98.89
2708.00,98.91
2707.00,98.93
2706.00,98.95
2705.00,98.96
2704.00,98.98
2703.00,98.99
2702.00,99.01
2701.00,99.02
2700.00,99.03
2699.00,99.04
2698.00,99.04
2697.00,99.05
2696.00,99.05
2695.00,99.05
2694.00,99.05
2693.00,99.05
2692.00,99.05
2691.00,99.05
2690.00,99.05
2689.00,99.05
2688.00,99.05
2687.00,99.04
2686.00,99.04
2685.00,99.04
2684.00,99.04
2683.00,99.04
2682.00,99.04
2681.00,99.04
2680.00,99.04
2679.00,99.04
2678.00,99.03
2677.00,99.03
2676.00,99.03
2675.00,99.04
2674.00,99.04
2673.00,99.05
2672.00,99.05
2671.00,99.05
2670.00,99.05
2669.00,99.06
2668.00,99.06
2667.00,99.05
2666.00,99.05
2665.00,99.04
2664.00,99.03
2663.00,99.02
2662.00,99.01
2661.00,99.01
2660.00,99.00
2659.00,99.00
2658.00,99.00
2657.00,99.00
2656.00,99.00
2655.00,99.01
2654.00,99.01
2653.00,99.02
2652.00,99.03
2651.00,99.03
2650.00,99.04
2649.00,99.04
2648.00,99.05
2647.00,99.05
2646.00,99.05
2645.00,99.06
2644.00,99.06
2643.00,99.07
2642.00,99.07
2641.00,99.08
2640.00,99.09
2639.00,99.09
2638.00,99.09
2637.00,99.09
2636.00,99.09
2635.00,99.09
2634.00,99.09
2633.00,99.09
