Created as New Dataset,EVA (ethylene vinyl acetate) GF
cm-1,%T
3298.00,97.90
3297.00,97.90
3296.00,97.90
3295.00,97.90
3294.00,97.89
3293.00,97.89
3292.00,97.88
3291.00,97.88
3290.00,97.88
3289.00,97.88
3288.00,97.88
3287.00,97.88
3286.00,97.88
3285.00,97.88
3284.00,97.88
3283.00,97.88
3282.00,97.88
3281.00,97.88
3280.00,97.88
3279.00,97.88
3278.00,97.88
3277.00,97.88
3276.00,97.89
3275.00,97.89
3274.00,97.89
3273.00,97.89
3272.00,97.89
3271.00,97.89
3270.00,97.89
3269.00,97.90
3268.00,97.90
3267.00,97.90
3266.00,97.90
3265.00,97.90
3264.00,97.90
3263.00,97.90
3262.00,97.90
3261.00,97.90
3260.00,97.90
3259.00,97.90
3258.00,97.91
3257.00,97.91
3256.00,97.90
3255.00,97.90
3254.00,97.90
3253.00,97.90
3252.00,97.90
3251.00,97.90
3250.00,97.90
3249.00,97.90
3248.00,97.90
3247.00,97.90
3246.00,97.90
3245.00,97.90
3244.00,97.90
3243.00,97.90
3242.00,97.90
3241.00,97.90
3240.00,97.90
3239.00,97.91
3238.00,97.91
3237.00,97.91
3236.00,97.91
3235.00,97.91
3234.00,97.91
3233.00,97.92
3232.00,97.92
3231.00,97.91
3230.00,97.91
3229.00,97.91
3228.00,97.90
3227.00,97.90
3226.00,97.90
3225.00,97.91
3224.00,97.91
3223.00,97.92
3222.00,97.92
3221.00,97.92
3220.00,97.92
3219.00,97.92
3218.00,97.92
3217.00,97.92
3216.00,97.92
3215.00,97.92
3214.00,97.92
3213.00,97.93
3212.00,97.93
3211.00,97.93
3210.00,97.93
3209.00,97.93
3208.00,97.92
3207.00,97.92
3206.00,97.92
3205.00,97.92
3204.00,97.92
3203.00,97.92
3202.00,97.92
3201.00,97.92
3200.00,97.92
3199.00,97.93
3198.00,97.93
3197.00,97.93
3196.00,97.93
3195.00,97.93
3194.00,97.93
3193.00,97.93
3192.00,97.93
3191.00,97.92
3190.00,97.92
3189.00,97.92
3188.00,97.92
3187.00,97.93
3186.00,97.93
3185.00,97.94
3184.00,97.94
3183.00,97.94
3182.00,97.94
3181.00,97.94
3180.00,97.94
3179.00,97.94
3178.00,97.94
3177.00,97.94
3176.00,97.95
3175.00,97.94
3174.00,97.94
3173.00,97.94
3172.00,97.94
3171.00,97.94
3170.00,97.93
3169.00,97.93
3168.00,97.93
3167.00,97.93
3166.00,97.93
3165.00,97.93
3164.00,97.93
3163.00,97.93
3162.00,97.94
3161.00,97.94
