Created as New Dataset,PS Granule GF
cm-1,%T
3304.00,99.87
3303.00,99.87
3302.00,99.88
3301.00,99.88
3300.00,99.87
3299.00,99.87
3298.00,99.87
3297.00,99.87
3296.00,99.87
3295.00,99.87
3294.00,99.87
3293.00,99.86
3292.00,99.86
3291.00,99.86
3290.00,99.87
3289.00,99.87
3288.00,99.87
3287.00,99.87
3286.00,99.87
3285.00,99.87
3284.00,99.87
3283.00,99.87
3282.00,99.87
3281.00,99.87
3280.00,99.87
3279.00,99.87
3278.00,99.87
3277.00,99.87
3276.00,99.87
3275.00,99.87
3274.00,99.87
3273.00,99.87
3272.00,99.86
3271.00,99.86
3270.00,99.86
3269.00,99.86
3268.00,99.86
3267.00,99.86
3266.00,99.86
3265.00,99.87
3264.00,99.87
3263.00,99.87
3262.00,99.87
3261.00,99.87
3260.00,99.87
3259.00,99.87
3258.00,99.87
3257.00,99.87
3256.00,99.87
3255.00,99.87
3254.00,99.87
3253.00,99.87
3252.00,99.87
3251.00,99.87
3250.00,99.87
3249.00,99.87
3248.00,99.87
3247.00,99.86
3246.00,99.86
3245.00,99.86
3244.00,99.86
3243.00,99.87
3242.00,99.87
3241.00,99.87
3240.00,99.87
3239.00,99.87
3238.00,99.87
3237.00,99.87
3236.00,99.87
3235.00,99.87
3234.00,99.87
3233.00,99.87
3232.00,99.87
3231.00,99.87
3230.00,99.86
3229.00,99.86
3228.00,99.86
3227.00,99.86
3226.00,99.86
3225.00,99.87
3224.00,99.87
3223.00,99.87
3222.00,99.87
3221.00,99.87
3220.00,99.87
3219.00,99.87
3218.00,99.87
3217.00,99.87
3216.00,99.86
3215.00,99.86
3214.00,99.86
3213.00,99.86
3212.00,99.86
3211.00,99.86
3210.00,99.86
3209.00,99.86
3208.00,99.86
3207.00,99.86
3206.00,99.86
3205.00,99.86
3204.00,99.86
3203.00,99.86
3202.00,99.86
3201.00,99.86
3200.00,99.86
3199.00,99.86
3198.00,99.86
3197.00,99.86
3196.00,99.86
3195.00,99.86
3194.00,99.86
3193.00,99.86
3192.00,99.86
3191.00,99.86
3190.00,99.86
3189.00,99.86
3188.00,99.87
3187.00,99.87
3186.00,99.87
3185.00,99.87
3184.00,99.86
3183.00,99.86
3182.00,99.86
3181.00,99.86
3180.00,99.86
3179.00,99.86
3178.00,99.87
3177.00,99.87
3176.00,99.87
3175.00,99.87
3174.00,99.87
3173.00,99.87
3172.00,99.86
3171.00,99.86
3170.00,99.86
3169.00,99.85
3168.00,99.85
3167.00,99.85
3166.00,99.85
3165.00,99.86
3164.00,99.86
3163.00,99.86
3162.00,99.86
3161.00,99.86
3160.00,99.86
3159.00,99.86
3158.00,99.86
3157.00,99.86
3156.00,99.86
3155.00,99.86
3154.00,99.86
3153.00,99.86
3152.00,99.86
3151.00,99.86
3150.00,99.86
3149.00,99.86
3148.00,99.86
3147.00,99.86
3146.00,99.87
3145.00,99.87
3144.00,99.87
3143.00,99.87
3142.00,99.87
3141.00,99.87
3140.00,99.86
3139.00,99.86
3138.00,99.86
3137.00,99.86
3136.00,99.86
3135.00,99.86
3134.00,99.86
3133.00,99.86
3132.00,99.86
3131.00,99.86
3130.00,99.86
3129.00,99.86
3128.00,99.86
3127.00,99.85
3126.00,99.85
3125.00,99.85
3124.00,99.85
3123.00,99.85
3122.00,99.86
3121.00,99.85
3120.00,99.85
3119.00,99.85
