Created as New Dataset,PS Biaxial Film GF
cm-1,%T
2946.00,95.47
2945.00,95.19
2944.00,94.89
2943.00,94.57
2942.00,94.24
2941.00,93.88
2940.00,93.51
2939.00,93.13
2938.00,92.72
2937.00,92.30
2936.00,91.86
2935.00,91.41
2934.00,90.96
2933.00,90.51
2932.00,90.07
2931.00,89.64
2930.00,89.23
2929.00,88.85
2928.00,88.50
2927.00,88.20
2926.00,87.93
2925.00,87.72
2924.00,87.56
2923.00,87.45
2922.00,87.40
2921.00,87.40
2920.00,87.45
2919.00,87.55
2918.00,87.70
2917.00,87.89
2916.00,88.13
2915.00,88.40
2914.00,88.69
2913.00,89.00
2912.00,89.32
2911.00,89.64
2910.00,89.95
2909.00,90.26
2908.00,90.57
2907.00,90.88
2906.00,91.19
2905.00,91.50
2904.00,91.80
2903.00,92.11
2902.00,92.41
2901.00,92.71
2900.00,93.01
2899.00,93.29
2898.00,93.56
2897.00,93.80
2896.00,94.03
2895.00,94.24
2894.00,94.42
2893.00,94.60
2892.00,94.75
2891.00,94.90
2890.00,95.03
2889.00,95.15
2888.00,95.27
2887.00,95.38
2886.00,95.49
2885.00,95.60
2884.00,95.71
2883.00,95.81
2882.00,95.91
2881.00,96.00
2880.00,96.09
2879.00,96.19
2878.00,96.28
2877.00,96.36
2876.00,96.44
2875.00,96.51
2874.00,96.57
2873.00,96.62
2872.00,96.67
2871.00,96.70
2870.00,96.72
2869.00,96.72
2868.00,96.70
2867.00,96.66
2866.00,96.60
2865.00,96.52
2864.00,96.41
2863.00,96.28
2862.00,96.12
2861.00,95.95
2860.00,95.75
2859.00,95.55
2858.00,95.33
2857.00,95.10
2856.00,94.88
2855.00,94.65
2854.00,94.44
2853.00,94.25
2852.00,94.09
2851.00,93.99
2850.00,93.94
2849.00,93.97
2848.00,94.06
2847.00,94.21
2846.00,94.42
2845.00,94.67
2844.00,94.96
2843.00,95.27
2842.00,95.60
2841.00,95.93
2840.00,96.25
2839.00,96.55
2838.00,96.84
2837.00,97.09
2836.00,97.31
2835.00,97.49
2834.00,97.65
2833.00,97.78
2832.00,97.89
2831.00,97.98
2830.00,98.06
2829.00,98.12
2828.00,98.18
2827.00,98.22
2826.00,98.26
2825.00,98.30
2824.00,98.33
2823.00,98.36
2822.00,98.38
2821.00,98.40
2820.00,98.42
2819.00,98.43
2818.00,98.45
2817.00,98.46
2816.00,98.47
2815.00,98.49
2814.00,98.50
2813.00,98.51
2812.00,98.52
2811.00,98.53
2810.00,98.54
2809.00,98.55
2808.00,98.56
2807.00,98.57
2806.00,98.58
2805.00,98.60
2804.00,98.61
2803.00,98.62
2802.00,98.64
2801.00,98.65
2800.00,98.66
2799.00,98.67
2798.00,98.68
2797.00,98.69
2796.00,98.71
2795.00,98.72
2794.00,98.73
2793.00,98.74
2792.00,98.75
2791.00,98.76
2790.00,98.76
2789.00,98.77
2788.00,98.77
2787.00,98.78
2786.00,98.78
2785.00,98.78
2784.00,98.79
2783.00,98.79
2782.00,98.79
2781.00,98.79
2780.00,98.79
2779.00,98.80
2778.00,98.80
2777.00,98.81
2776.00,98.82
2775.00,98.83
2774.00,98.85
2773.00,98.86
2772.00,98.87
2771.00,98.88
2770.00,98.89
2769.00,98.89
2768.00,98.90
2767.00,98.91
2766.00,98.91
2765.00,98.92
2764.00,98.92
2763.00,98.93
2762.00,98.93
2761.00,98.94
2760.00,98.94
2759.00,98.94
2758.00,98.95
2757.00,98.96
2756.00,98.96
2755.00,98.96
2754.00,98.97
2753.00,98.97
2752.00,98.97
2751.00,98.97
2750.00,98.97
2749.00,98.98
2748.00,98.98
2747.00,98.98
2746.00,98.98
2745.00,98.98
2744.00,98.99
2743.00,98.99
2742.00,98.99
2741.00,98.99
2740.00,98.99
2739.00,98.99
2738.00,98.99
2737.00,98.98
2736.00,98.98
2735.00,98.98
2734.00,98.97
2733.00,98.97
2732.00,98.97
2731.00,98.96
2730.00,98.96
2729.00,98.97
2728.00,98.97
2727.00,98.97
2726.00,98.97
2725.00,98.97
2724.00,98.97
2723.00,98.97
2722.00,98.97
2721.00,98.97
2720.00,98.97
2719.00,98.97
2718.00,98.97
2717.00,98.97
2716.00,98.98
2715.00,98.98
2714.00,98.98
2713.00,98.98
2712.00,98.98
2711.00,98.98
2710.00,98.99
2709.00,98.99
2708.00,98.99
2707.00,99.00
2706.00,99.00
2705.00,99.00
2704.00,98.99
2703.00,98.99
2702.00,98.99
2701.00,98.99
2700.00,98.99
2699.00,98.99
2698.00,98.99
2697.00,98.99
2696.00,98.99
2695.00,98.99
2694.00,99.00
2693.00,99.00
2692.00,99.00
2691.00,99.00
2690.00,99.00
2689.00,99.00
2688.00,99.00
2687.00,99.00
2686.00,99.00
2685.00,99.00
2684.00,99.00
2683.00,99.00
2682.00,99.01
2681.00,99.01
2680.00,99.01
2679.00,99.01
2678.00,99.01
2677.00,99.01
2676.00,99.01
2675.00,99.01
2674.00,99.01
2673.00,99.01
2672.00,99.01
2671.00,99.01
2670.00,99.01
2669.00,99.01
2668.00,99.01
2667.00,99.01
2666.00,99.01
2665.00,99.01
2664.00,99.00
2663.00,98.99
2662.00,98.98
2661.00,98.98
2660.00,98.97
2659.00,98.96
2658.00,98.96
2657.00,98.95
2656.00,98.95
2655.00,98.94
2654.00,98.94
2653.00,98.93
2652.00,98.92
2651.00,98.92
2650.00,98.92
2649.00,98.92
