Created as New Dataset,PS pellet 35kDa Sigma
cm-1,%T
3160.00,94.92
3159.00,94.93
3158.00,94.94
3157.00,94.94
3156.00,94.95
3155.00,94.96
3154.00,94.96
3153.00,94.97
3152.00,94.97
3151.00,94.97
3150.00,94.97
3149.00,94.97
3148.00,94.97
3147.00,94.97
3146.00,94.97
3145.00,94.97
3144.00,94.98
3143.00,94.99
3142.00,94.99
3141.00,94.99
3140.00,94.99
3139.00,94.99
3138.00,94.99
3137.00,94.99
3136.00,94.99
3135.00,94.99
3134.00,94.99
3133.00,95.00
3132.00,95.00
3131.00,95.00
3130.00,94.99
3129.00,94.99
3128.00,94.98
3127.00,94.98
3126.00,94.99
3125.00,94.99
3124.00,94.98
3123.00,94.98
3122.00,94.97
3121.00,94.97
3120.00,94.96
3119.00,94.96
3118.00,94.94
3117.00,94.92
3116.00,94.89
3115.00,94.86
3114.00,94.82
3113.00,94.78
3112.00,94.74
3111.00,94.69
3110.00,94.63
3109.00,94.57
3108.00,94.51
3107.00,94.46
3106.00,94.42
3105.00,94.39
3104.00,94.37
3103.00,94.37
3102.00,94.38
3101.00,94.40
3100.00,94.41
3099.00,94.42
3098.00,94.42
3097.00,94.42
3096.00,94.39
3095.00,94.35
3094.00,94.29
3093.00,94.21
3092.00,94.10
3091.00,93.96
3090.00,93.80
3089.00,93.61
3088.00,93.41
3087.00,93.21
3086.00,93.03
3085.00,92.87
3084.00,92.77
3083.00,92.72
3082.00,92.73
3081.00,92.80
3080.00,92.89
3079.00,93.01
3078.00,93.13
3077.00,93.23
3076.00,93.30
3075.00,93.34
3074.00,93.36
3073.00,93.34
3072.00,93.29
3071.00,93.22
3070.00,93.11
3069.00,92.98
3068.00,92.82
3067.00,92.63
3066.00,92.43
3065.00,92.23
3064.00,92.03
3063.00,91.86
3062.00,91.72
3061.00,91.63
3060.00,91.61
3059.00,91.64
3058.00,91.74
3057.00,91.88
3056.00,92.05
3055.00,92.23
3054.00,92.41
3053.00,92.58
3052.00,92.74
3051.00,92.87
3050.00,92.99
3049.00,93.09
3048.00,93.17
3047.00,93.22
3046.00,93.25
3045.00,93.25
3044.00,93.23
3043.00,93.19
3042.00,93.12
3041.00,93.02
3040.00,92.89
3039.00,92.74
3038.00,92.55
3037.00,92.31
3036.00,92.03
3035.00,91.71
3034.00,91.33
3033.00,90.91
3032.00,90.44
3031.00,89.95
3030.00,89.47
3029.00,89.02
3028.00,88.64
3027.00,88.36
3026.00,88.22
3025.00,88.24
3024.00,88.41
3023.00,88.72
3022.00,89.14
3021.00,89.63
3020.00,90.14
3019.00,90.64
3018.00,91.11
3017.00,91.52
3016.00,91.88
3015.00,92.17
3014.00,92.41
3013.00,92.60
3012.00,92.75
3011.00,92.85
3010.00,92.91
3009.00,92.94
3008.00,92.93
3007.00,92.91
3006.00,92.87
3005.00,92.82
3004.00,92.79
3003.00,92.77
3002.00,92.77
3001.00,92.82
3000.00,92.90
2999.00,93.01
2998.00,93.14
2997.00,93.28
2996.00,93.41
2995.00,93.53
2994.00,93.64
2993.00,93.72
2992.00,93.79
2991.00,93.84
2990.00,93.87
2989.00,93.90
2988.00,93.92
2987.00,93.93
2986.00,93.93
2985.00,93.92
2984.00,93.92
2983.00,93.91
2982.00,93.89
2981.00,93.87
2980.00,93.84
2979.00,93.81
2978.00,93.78
2977.00,93.74
2976.00,93.71
2975.00,93.67
2974.00,93.62
2973.00,93.58
2972.00,93.53
2971.00,93.47
2970.00,93.42
2969.00,93.36
2968.00,93.30
2967.00,93.23
2966.00,93.16
2965.00,93.09
2964.00,93.03
2963.00,92.97
2962.00,92.91
2961.00,92.85
2960.00,92.79
2959.00,92.73
2958.00,92.67
2957.00,92.62
2956.00,92.56
2955.00,92.51
2954.00,92.45
2953.00,92.39
2952.00,92.33
2951.00,92.26
2950.00,92.18
2949.00,92.10
2948.00,92.01
2947.00,91.90
2946.00,91.77
2945.00,91.63
2944.00,91.48
2943.00,91.31
2942.00,91.12
2941.00,90.92
2940.00,90.71
2939.00,90.48
2938.00,90.23
2937.00,89.97
2936.00,89.70
2935.00,89.42
2934.00,89.14
2933.00,88.86
2932.00,88.58
2931.00,88.31
2930.00,88.05
2929.00,87.81
2928.00,87.59
2927.00,87.39
2926.00,87.22
2925.00,87.08
2924.00,86.96
2923.00,86.88
2922.00,86.83
2921.00,86.81
2920.00,86.82
2919.00,86.86
2918.00,86.93
2917.00,87.02
2916.00,87.13
2915.00,87.25
2914.00,87.39
2913.00,87.54
2912.00,87.70
2911.00,87.87
2910.00,88.04
2909.00,88.22
2908.00,88.40
2907.00,88.58
2906.00,88.77
2905.00,88.96
2904.00,89.15
2903.00,89.34
2902.00,89.53
2901.00,89.72
2900.00,89.91
2899.00,90.09
2898.00,90.26
2897.00,90.42
2896.00,90.57
2895.00,90.71
2894.00,90.84
2893.00,90.95
2892.00,91.06
2891.00,91.16
2890.00,91.26
2889.00,91.34
2888.00,91.42
2887.00,91.50
2886.00,91.57
2885.00,91.64
2884.00,91.71
2883.00,91.77
2882.00,91.83
2881.00,91.89
2880.00,91.94
2879.00,91.99
2878.00,92.03
2877.00,92.07
2876.00,92.11
2875.00,92.14
2874.00,92.16
2873.00,92.18
2872.00,92.19
2871.00,92.19
2870.00,92.19
2869.00,92.19
2868.00,92.18
2867.00,92.17
2866.00,92.15
2865.00,92.12
2864.00,92.08
2863.00,92.04
2862.00,91.99
2861.00,91.93
2860.00,91.87
2859.00,91.79
2858.00,91.71
2857.00,91.63
2856.00,91.54
2855.00,91.46
2854.00,91.37
2853.00,91.30
2852.00,91.24
2851.00,91.19
2850.00,91.16
2849.00,91.16
2848.00,91.18
2847.00,91.23
2846.00,91.31
2845.00,91.42
2844.00,91.55
2843.00,91.70
2842.00,91.87
2841.00,92.05
2840.00,92.24
2839.00,92.42
2838.00,92.59
2837.00,92.75
2836.00,92.90
2835.00,93.03
2834.00,93.15
2833.00,93.24
2832.00,93.33
2831.00,93.40
2830.00,93.46
2829.00,93.51
2828.00,93.56
2827.00,93.60
2826.00,93.63
2825.00,93.66
2824.00,93.69
2823.00,93.71
2822.00,93.73
2821.00,93.75
2820.00,93.77
2819.00,93.78
2818.00,93.80
2817.00,93.81
2816.00,93.82
2815.00,93.83
2814.00,93.84
2813.00,93.85
2812.00,93.86
2811.00,93.87
2810.00,93.88
2809.00,93.89
2808.00,93.90
2807.00,93.91
2806.00,93.93
2805.00,93.94
2804.00,93.95
2803.00,93.96
2802.00,93.97
2801.00,93.98
2800.00,93.99
2799.00,94.00
2798.00,94.02
2797.00,94.03
2796.00,94.04
2795.00,94.05
2794.00,94.05
2793.00,94.06
2792.00,94.07
2791.00,94.07
2790.00,94.08
2789.00,94.09
2788.00,94.09
2787.00,94.10
2786.00,94.10
2785.00,94.11
2784.00,94.11
2783.00,94.11
2782.00,94.12
2781.00,94.12
2780.00,94.12
2779.00,94.13
2778.00,94.13
2777.00,94.14
2776.00,94.15
2775.00,94.16
2774.00,94.17
2773.00,94.17
2772.00,94.18
