Created as New Dataset,EVOH (32mol% ethylene) Soarnol
cm-1,%T
2603.00,95.15
2602.00,95.16
2601.00,95.17
2600.00,95.17
2599.00,95.18
2598.00,95.20
2597.00,95.21
2596.00,95.22
2595.00,95.23
2594.00,95.23
2593.00,95.24
2592.00,95.24
2591.00,95.25
2590.00,95.26
2589.00,95.27
2588.00,95.28
2587.00,95.29
2586.00,95.30
2585.00,95.31
2584.00,95.32
2583.00,95.32
2582.00,95.33
2581.00,95.33
2580.00,95.34
2579.00,95.34
2578.00,95.35
2577.00,95.36
2576.00,95.38
2575.00,95.39
2574.00,95.40
2573.00,95.40
2572.00,95.41
2571.00,95.41
2570.00,95.42
2569.00,95.43
2568.00,95.43
2567.00,95.44
2566.00,95.45
2565.00,95.46
2564.00,95.46
2563.00,95.47
2562.00,95.47
2561.00,95.48
2560.00,95.48
2559.00,95.49
2558.00,95.49
2557.00,95.50
2556.00,95.50
2555.00,95.50
2554.00,95.50
2553.00,95.51
2552.00,95.51
2551.00,95.52
2550.00,95.52
2549.00,95.53
2548.00,95.53
2547.00,95.54
2546.00,95.54
2545.00,95.54
2544.00,95.55
2543.00,95.55
2542.00,95.55
2541.00,95.56
2540.00,95.56
2539.00,95.57
2538.00,95.57
2537.00,95.57
2536.00,95.58
2535.00,95.59
2534.00,95.59
2533.00,95.60
2532.00,95.60
2531.00,95.60
2530.00,95.60
2529.00,95.61
2528.00,95.61
2527.00,95.62
2526.00,95.63
2525.00,95.63
2524.00,95.64
2523.00,95.64
2522.00,95.64
2521.00,95.64
2520.00,95.65
2519.00,95.66
2518.00,95.66
2517.00,95.67
2516.00,95.68
2515.00,95.68
2514.00,95.69
2513.00,95.69
2512.00,95.70
2511.00,95.70
2510.00,95.71
2509.00,95.72
2508.00,95.73
2507.00,95.73
2506.00,95.74
2505.00,95.74
2504.00,95.74
2503.00,95.75
2502.00,95.75
2501.00,95.75
2500.00,95.76
2499.00,95.76
2498.00,95.77
2497.00,95.78
2496.00,95.78
2495.00,95.79
2494.00,95.79
2493.00,95.80
2492.00,95.80
2491.00,95.81
2490.00,95.82
2489.00,95.82
2488.00,95.82
2487.00,95.83
2486.00,95.84
2485.00,95.84
2484.00,95.85
2483.00,95.86
2482.00,95.86
2481.00,95.87
2480.00,95.87
2479.00,95.87
2478.00,95.87
2477.00,95.88
2476.00,95.89
2475.00,95.90
2474.00,95.91
2473.00,95.91
2472.00,95.91
2471.00,95.92
2470.00,95.92
2469.00,95.92
2468.00,95.92
2467.00,95.92
2466.00,95.92
2465.00,95.92
2464.00,95.93
2463.00,95.93
2462.00,95.93
