Created as New Dataset,Acrylic Blue
cm-1,%T
2874.00,98.75
2873.00,98.77
2872.00,98.78
2871.00,98.80
2870.00,98.81
2869.00,98.82
2868.00,98.84
2867.00,98.85
2866.00,98.86
2865.00,98.86
2864.00,98.87
2863.00,98.87
2862.00,98.88
2861.00,98.88
2860.00,98.88
2859.00,98.88
2858.00,98.88
2857.00,98.88
2856.00,98.87
2855.00,98.86
2854.00,98.85
2853.00,98.83
2852.00,98.82
2851.00,98.80
2850.00,98.79
2849.00,98.78
2848.00,98.77
2847.00,98.76
2846.00,98.75
2845.00,98.74
2844.00,98.73
2843.00,98.73
2842.00,98.73
2841.00,98.74
2840.00,98.75
2839.00,98.77
2838.00,98.79
2837.00,98.81
2836.00,98.83
2835.00,98.86
2834.00,98.89
2833.00,98.91
2832.00,98.94
2831.00,98.96
2830.00,98.97
2829.00,98.99
2828.00,99.01
2827.00,99.02
2826.00,99.03
2825.00,99.04
2824.00,99.05
2823.00,99.07
2822.00,99.08
2821.00,99.09
2820.00,99.10
2819.00,99.11
2818.00,99.11
2817.00,99.12
2816.00,99.12
2815.00,99.13
2814.00,99.13
2813.00,99.14
2812.00,99.15
2811.00,99.15
2810.00,99.16
2809.00,99.16
2808.00,99.17
2807.00,99.17
2806.00,99.17
2805.00,99.17
2804.00,99.18
2803.00,99.18
2802.00,99.18
2801.00,99.19
2800.00,99.19
2799.00,99.19
2798.00,99.19
2797.00,99.19
2796.00,99.20
2795.00,99.20
2794.00,99.20
2793.00,99.20
2792.00,99.20
2791.00,99.20
2790.00,99.20
2789.00,99.20
2788.00,99.20
2787.00,99.20
2786.00,99.20
2785.00,99.21
2784.00,99.21
2783.00,99.21
2782.00,99.21
2781.00,99.21
2780.00,99.21
2779.00,99.21
2778.00,99.21
2777.00,99.21
2776.00,99.21
2775.00,99.21
2774.00,99.21
2773.00,99.21
2772.00,99.21
2771.00,99.21
2770.00,99.21
2769.00,99.21
2768.00,99.21
2767.00,99.21
2766.00,99.21
2765.00,99.21
2764.00,99.21
2763.00,99.21
2762.00,99.22
2761.00,99.22
2760.00,99.22
2759.00,99.22
2758.00,99.23
2757.00,99.23
2756.00,99.23
2755.00,99.22
2754.00,99.22
2753.00,99.22
2752.00,99.22
2751.00,99.22
2750.00,99.22
2749.00,99.23
2748.00,99.23
2747.00,99.23
2746.00,99.23
2745.00,99.23
2744.00,99.23
2743.00,99.23
2742.00,99.23
2741.00,99.23
2740.00,99.23
2739.00,99.23
2738.00,99.24
2737.00,99.24
2736.00,99.24
2735.00,99.24
2734.00,99.24
2733.00,99.24
2732.00,99.25
2731.00,99.25
2730.00,99.25
2729.00,99.25
2728.00,99.25
2727.00,99.25
2726.00,99.25
2725.00,99.25
2724.00,99.25
2723.00,99.25
2722.00,99.25
2721.00,99.25
2720.00,99.25
2719.00,99.25
2718.00,99.25
2717.00,99.25
2716.00,99.25
2715.00,99.25
2714.00,99.25
2713.00,99.25
2712.00,99.25
2711.00,99.25
2710.00,99.25
2709.00,99.25
2708.00,99.25
2707.00,99.25
2706.00,99.26
2705.00,99.26
2704.00,99.26
2703.00,99.26
2702.00,99.26
2701.00,99.26
2700.00,99.26
2699.00,99.26
2698.00,99.26
2697.00,99.26
2696.00,99.26
2695.00,99.26
2694.00,99.26
2693.00,99.26
2692.00,99.26
2691.00,99.26
2690.00,99.26
2689.00,99.26
2688.00,99.26
2687.00,99.26
2686.00,99.26
2685.00,99.26
2684.00,99.26
2683.00,99.26
2682.00,99.26
2681.00,99.26
2680.00,99.26
2679.00,99.26
2678.00,99.26
2677.00,99.25
2676.00,99.25
2675.00,99.25
2674.00,99.25
2673.00,99.25
2672.00,99.25
2671.00,99.25
2670.00,99.25
2669.00,99.25
2668.00,99.25
2667.00,99.25
2666.00,99.24
2665.00,99.24
2664.00,99.23
2663.00,99.23
2662.00,99.22
2661.00,99.21
2660.00,99.20
2659.00,99.20
2658.00,99.19
2657.00,99.19
2656.00,99.19
2655.00,99.19
2654.00,99.18
2653.00,99.18
2652.00,99.18
2651.00,99.17
2650.00,99.17
2649.00,99.16
2648.00,99.16
2647.00,99.16
2646.00,99.16
2645.00,99.16
2644.00,99.16
2643.00,99.16
2642.00,99.16
2641.00,99.16
2640.00,99.16
2639.00,99.16
2638.00,99.16
2637.00,99.16
2636.00,99.16
2635.00,99.15
2634.00,99.15
2633.00,99.15
2632.00,99.15
2631.00,99.15
2630.00,99.15
2629.00,99.16
2628.00,99.16
2627.00,99.16
2626.00,99.16
2625.00,99.16
2624.00,99.16
2623.00,99.16
2622.00,99.16
2621.00,99.16
2620.00,99.16
2619.00,99.16
2618.00,99.16
2617.00,99.16
2616.00,99.16
2615.00,99.16
2614.00,99.16
2613.00,99.16
2612.00,99.16
2611.00,99.16
2610.00,99.16
2609.00,99.16
2608.00,99.16
2607.00,99.15
2606.00,99.15
2605.00,99.15
2604.00,99.15
2603.00,99.15
2602.00,99.15
2601.00,99.15
2600.00,99.15
2599.00,99.15
2598.00,99.15
2597.00,99.15
2596.00,99.15
2595.00,99.16
2594.00,99.16
2593.00,99.16
2592.00,99.16
2591.00,99.16
2590.00,99.16
2589.00,99.16
2588.00,99.16
2587.00,99.16
2586.00,99.16
2585.00,99.17
2584.00,99.17
2583.00,99.17
2582.00,99.17
2581.00,99.18
2580.00,99.18
2579.00,99.18
2578.00,99.19
2577.00,99.19
2576.00,99.18
2575.00,99.18
2574.00,99.18
2573.00,99.19
2572.00,99.19
2571.00,99.19
