Created as New Dataset,PVOH MW 31K
cm-1,%T
3194.00,95.81
3193.00,95.83
3192.00,95.84
3191.00,95.86
3190.00,95.88
3189.00,95.90
3188.00,95.92
3187.00,95.94
3186.00,95.96
3185.00,95.97
3184.00,95.99
3183.00,96.00
3182.00,96.02
3181.00,96.04
3180.00,96.05
3179.00,96.07
3178.00,96.09
3177.00,96.11
3176.00,96.13
3175.00,96.15
3174.00,96.17
3173.00,96.19
3172.00,96.21
3171.00,96.23
3170.00,96.24
3169.00,96.26
3168.00,96.28
3167.00,96.30
3166.00,96.32
3165.00,96.34
3164.00,96.36
3163.00,96.38
3162.00,96.40
3161.00,96.41
3160.00,96.43
3159.00,96.45
3158.00,96.47
3157.00,96.49
3156.00,96.50
3155.00,96.52
3154.00,96.54
3153.00,96.56
3152.00,96.58
3151.00,96.60
3150.00,96.62
3149.00,96.63
3148.00,96.65
3147.00,96.67
3146.00,96.68
3145.00,96.70
3144.00,96.72
3143.00,96.73
3142.00,96.75
3141.00,96.77
3140.00,96.79
3139.00,96.81
3138.00,96.82
3137.00,96.84
3136.00,96.86
3135.00,96.88
3134.00,96.90
3133.00,96.92
3132.00,96.94
3131.00,96.95
3130.00,96.97
3129.00,96.99
3128.00,97.00
3127.00,97.02
3126.00,97.04
3125.00,97.06
3124.00,97.07
3123.00,97.09
3122.00,97.10
3121.00,97.12
3120.00,97.14
3119.00,97.15
3118.00,97.17
3117.00,97.18
3116.00,97.20
3115.00,97.21
3114.00,97.23
3113.00,97.24
3112.00,97.26
3111.00,97.27
3110.00,97.28
3109.00,97.30
3108.00,97.32
3107.00,97.34
3106.00,97.36
3105.00,97.37
3104.00,97.38
3103.00,97.39
3102.00,97.41
3101.00,97.42
3100.00,97.44
3099.00,97.46
3098.00,97.48
3097.00,97.49
3096.00,97.50
3095.00,97.51
3094.00,97.53
3093.00,97.54
3092.00,97.56
3091.00,97.57
3090.00,97.58
3089.00,97.60
3088.00,97.62
3087.00,97.63
3086.00,97.64
3085.00,97.65
3084.00,97.66
3083.00,97.68
3082.00,97.69
3081.00,97.71
3080.00,97.72
3079.00,97.74
3078.00,97.75
3077.00,97.76
3076.00,97.77
3075.00,97.79
3074.00,97.80
3073.00,97.81
3072.00,97.82
3071.00,97.83
3070.00,97.84
3069.00,97.85
3068.00,97.86
3067.00,97.87
3066.00,97.89
3065.00,97.90
3064.00,97.91
3063.00,97.92
3062.00,97.93
3061.00,97.94
3060.00,97.95
3059.00,97.96
3058.00,97.97
3057.00,97.98
3056.00,97.99
3055.00,98.00
3054.00,98.01
3053.00,98.02
3052.00,98.03
3051.00,98.04
3050.00,98.05
3049.00,98.06
3048.00,98.07
3047.00,98.08
3046.00,98.09
3045.00,98.10
3044.00,98.11
3043.00,98.11
3042.00,98.12
3041.00,98.13
3040.00,98.14
3039.00,98.14
3038.00,98.15
3037.00,98.16
3036.00,98.17
3035.00,98.18
3034.00,98.18
3033.00,98.19
3032.00,98.20
3031.00,98.21
3030.00,98.22
3029.00,98.23
3028.00,98.23
3027.00,98.24
3026.00,98.24
3025.00,98.25
3024.00,98.25
3023.00,98.26
3022.00,98.26
3021.00,98.27
3020.00,98.28
3019.00,98.29
3018.00,98.30
3017.00,98.30
3016.00,98.31
3015.00,98.32
3014.00,98.32
3013.00,98.33
3012.00,98.33
3011.00,98.34
3010.00,98.34
3009.00,98.35
3008.00,98.35
3007.00,98.35
3006.00,98.36
3005.00,98.37
3004.00,98.37
3003.00,98.38
3002.00,98.38
3001.00,98.38
3000.00,98.39
2999.00,98.39
2998.00,98.38
2997.00,98.38
2996.00,98.38
2995.00,98.38
2994.00,98.38
2993.00,98.38
2992.00,98.37
2991.00,98.36
2990.00,98.36
2989.00,98.35
2988.00,98.34
2987.00,98.34
2986.00,98.33
2985.00,98.33
2984.00,98.32
2983.00,98.31
2982.00,98.29
2981.00,98.28
2980.00,98.26
2979.00,98.25
2978.00,98.23
2977.00,98.22
2976.00,98.20
2975.00,98.18
2974.00,98.16
2973.00,98.13
2972.00,98.10
2971.00,98.06
2970.00,98.02
2969.00,97.98
2968.00,97.94
2967.00,97.89
2966.00,97.84
2965.00,97.78
2964.00,97.72
2963.00,97.65
2962.00,97.59
2961.00,97.51
2960.00,97.43
2959.00,97.34
2958.00,97.24
2957.00,97.15
2956.00,97.05
2955.00,96.95
2954.00,96.85
2953.00,96.75
2952.00,96.66
2951.00,96.57
2950.00,96.48
2949.00,96.40
2948.00,96.32
2947.00,96.25
2946.00,96.19
2945.00,96.14
2944.00,96.10
2943.00,96.06
2942.00,96.04
2941.00,96.02
2940.00,96.01
2939.00,96.01
2938.00,96.01
2937.00,96.02
2936.00,96.03
2935.00,96.04
2934.00,96.06
2933.00,96.08
2932.00,96.10
2931.00,96.11
2930.00,96.12
2929.00,96.13
2928.00,96.13
2927.00,96.13
2926.00,96.12
2925.00,96.12
2924.00,96.11
2923.00,96.09
2922.00,96.07
2921.00,96.05
2920.00,96.03
2919.00,96.01
2918.00,95.98
2917.00,95.96
2916.00,95.94
2915.00,95.91
2914.00,95.90
2913.00,95.88
2912.00,95.87
2911.00,95.86
2910.00,95.86
2909.00,95.86
2908.00,95.87
2907.00,95.89
2906.00,95.91
2905.00,95.94
2904.00,95.98
2903.00,96.03
2902.00,96.08
2901.00,96.14
2900.00,96.21
2899.00,96.27
2898.00,96.34
2897.00,96.41
2896.00,96.48
2895.00,96.55
2894.00,96.61
2893.00,96.68
2892.00,96.74
2891.00,96.79
2890.00,96.85
2889.00,96.89
2888.00,96.94
2887.00,96.98
2886.00,97.02
2885.00,97.05
2884.00,97.08
2883.00,97.11
2882.00,97.13
2881.00,97.15
2880.00,97.17
2879.00,97.19
2878.00,97.21
2877.00,97.22
2876.00,97.24
2875.00,97.26
2874.00,97.27
2873.00,97.28
2872.00,97.30
2871.00,97.30
2870.00,97.31
2869.00,97.32
2868.00,97.32
2867.00,97.33
2866.00,97.34
2865.00,97.35
2864.00,97.36
2863.00,97.37
2862.00,97.38
2861.00,97.38
2860.00,97.39
2859.00,97.40
2858.00,97.40
2857.00,97.41
2856.00,97.42
2855.00,97.43
2854.00,97.43
2853.00,97.44
2852.00,97.45
2851.00,97.46
2850.00,97.47
2849.00,97.48
2848.00,97.50
2847.00,97.51
2846.00,97.53
2845.00,97.54
2844.00,97.55
2843.00,97.57
2842.00,97.58
2841.00,97.60
2840.00,97.61
2839.00,97.63
2838.00,97.64
2837.00,97.65
2836.00,97.66
2835.00,97.68
2834.00,97.69
2833.00,97.71
2832.00,97.72
2831.00,97.74
2830.00,97.75
2829.00,97.76
2828.00,97.77
2827.00,97.78
2826.00,97.80
2825.00,97.81
2824.00,97.82
