Created as New Dataset,PE (low density) granule 2mm GF
cm-1,%T
2810.00,95.47
2809.00,95.62
2808.00,95.76
2807.00,95.89
2806.00,96.01
2805.00,96.13
2804.00,96.24
2803.00,96.35
2802.00,96.46
2801.00,96.56
2800.00,96.65
2799.00,96.74
2798.00,96.83
2797.00,96.91
2796.00,96.99
2795.00,97.07
2794.00,97.15
2793.00,97.22
2792.00,97.29
2791.00,97.36
2790.00,97.43
2789.00,97.49
2788.00,97.56
2787.00,97.62
2786.00,97.68
2785.00,97.74
2784.00,97.79
2783.00,97.84
2782.00,97.89
2781.00,97.93
2780.00,97.98
2779.00,98.02
2778.00,98.06
2777.00,98.10
2776.00,98.14
2775.00,98.17
2774.00,98.20
2773.00,98.23
2772.00,98.26
2771.00,98.29
2770.00,98.32
2769.00,98.34
2768.00,98.36
2767.00,98.38
2766.00,98.40
2765.00,98.41
2764.00,98.43
2763.00,98.45
2762.00,98.46
2761.00,98.48
2760.00,98.50
2759.00,98.51
2758.00,98.53
2757.00,98.54
2756.00,98.55
2755.00,98.56
2754.00,98.57
2753.00,98.58
2752.00,98.58
2751.00,98.59
2750.00,98.60
2749.00,98.60
2748.00,98.60
2747.00,98.60
2746.00,98.60
2745.00,98.60
2744.00,98.59
2743.00,98.60
2742.00,98.60
2741.00,98.60
2740.00,98.60
2739.00,98.61
2738.00,98.61
2737.00,98.62
2736.00,98.63
2735.00,98.63
2734.00,98.64
2733.00,98.64
2732.00,98.65
2731.00,98.66
2730.00,98.67
2729.00,98.68
2728.00,98.69
2727.00,98.70
2726.00,98.71
2725.00,98.72
2724.00,98.73
2723.00,98.75
2722.00,98.76
2721.00,98.77
2720.00,98.77
2719.00,98.78
2718.00,98.79
2717.00,98.80
2716.00,98.81
2715.00,98.81
2714.00,98.82
2713.00,98.83
2712.00,98.84
2711.00,98.85
2710.00,98.86
2709.00,98.87
2708.00,98.87
2707.00,98.88
2706.00,98.89
2705.00,98.89
2704.00,98.90
2703.00,98.90
2702.00,98.91
2701.00,98.91
2700.00,98.91
2699.00,98.92
2698.00,98.92
2697.00,98.92
2696.00,98.92
2695.00,98.91
2694.00,98.91
2693.00,98.91
2692.00,98.90
2691.00,98.90
2690.00,98.89
2689.00,98.89
2688.00,98.88
2687.00,98.88
2686.00,98.87
2685.00,98.86
2684.00,98.85
2683.00,98.84
2682.00,98.84
2681.00,98.83
2680.00,98.83
2679.00,98.82
2678.00,98.82
2677.00,98.81
2676.00,98.80
2675.00,98.79
2674.00,98.78
2673.00,98.78
2672.00,98.77
2671.00,98.76
2670.00,98.76
2669.00,98.76
2668.00,98.75
2667.00,98.75
2666.00,98.74
2665.00,98.74
2664.00,98.73
2663.00,98.72
2662.00,98.71
2661.00,98.70
2660.00,98.69
2659.00,98.68
2658.00,98.67
2657.00,98.66
2656.00,98.66
2655.00,98.66
2654.00,98.66
2653.00,98.66
2652.00,98.66
2651.00,98.66
2650.00,98.66
2649.00,98.66
2648.00,98.65
2647.00,98.65
2646.00,98.65
2645.00,98.64
2644.00,98.64
2643.00,98.64
2642.00,98.63
2641.00,98.63
2640.00,98.63
2639.00,98.62
2638.00,98.62
2637.00,98.62
2636.00,98.62
2635.00,98.63
2634.00,98.64
2633.00,98.65
2632.00,98.66
2631.00,98.67
2630.00,98.68
2629.00,98.70
2628.00,98.72
2627.00,98.73
2626.00,98.75
2625.00,98.77
2624.00,98.78
2623.00,98.80
2622.00,98.81
2621.00,98.82
2620.00,98.84
2619.00,98.86
2618.00,98.87
2617.00,98.89
2616.00,98.90
2615.00,98.91
2614.00,98.93
2613.00,98.94
2612.00,98.95
2611.00,98.96
2610.00,98.97
2609.00,98.98
2608.00,99.00
2607.00,99.01
2606.00,99.03
2605.00,99.03
2604.00,99.04
2603.00,99.05
2602.00,99.06
2601.00,99.07
2600.00,99.08
2599.00,99.09
2598.00,99.10
2597.00,99.11
2596.00,99.11
2595.00,99.12
2594.00,99.13
2593.00,99.14
2592.00,99.15
2591.00,99.16
2590.00,99.18
2589.00,99.19
2588.00,99.20
2587.00,99.21
2586.00,99.21
2585.00,99.21
2584.00,99.22
2583.00,99.23
2582.00,99.24
2581.00,99.24
2580.00,99.25
2579.00,99.26
2578.00,99.27
2577.00,99.28
2576.00,99.29
2575.00,99.29
2574.00,99.30
2573.00,99.31
2572.00,99.31
2571.00,99.32
2570.00,99.32
2569.00,99.33
2568.00,99.33
2567.00,99.34
2566.00,99.35
2565.00,99.35
2564.00,99.36
2563.00,99.36
2562.00,99.36
2561.00,99.37
2560.00,99.38
2559.00,99.38
2558.00,99.38
2557.00,99.38
2556.00,99.38
2555.00,99.38
2554.00,99.39
2553.00,99.39
2552.00,99.40
2551.00,99.42
2550.00,99.43
2549.00,99.43
2548.00,99.44
2547.00,99.44
2546.00,99.44
2545.00,99.45
2544.00,99.45
2543.00,99.46
2542.00,99.47
2541.00,99.47
2540.00,99.47
2539.00,99.48
2538.00,99.48
2537.00,99.49
2536.00,99.49
2535.00,99.49
2534.00,99.49
2533.00,99.49
2532.00,99.48
2531.00,99.48
2530.00,99.47
2529.00,99.47
2528.00,99.48
2527.00,99.49
2526.00,99.50
2525.00,99.51
2524.00,99.51
2523.00,99.51
2522.00,99.52
2521.00,99.52
2520.00,99.53
2519.00,99.53
2518.00,99.54
2517.00,99.55
2516.00,99.55
2515.00,99.56
2514.00,99.56
2513.00,99.57
2512.00,99.58
2511.00,99.58
2510.00,99.58
2509.00,99.58
2508.00,99.58
2507.00,99.57
2506.00,99.57
2505.00,99.58
2504.00,99.58
2503.00,99.58
2502.00,99.58
2501.00,99.59
2500.00,99.59
2499.00,99.60
2498.00,99.60
