Created as New Dataset,PE High Density GF
cm-1,%T
2581.00,99.09
2580.00,99.10
2579.00,99.11
2578.00,99.12
2577.00,99.13
2576.00,99.13
2575.00,99.14
2574.00,99.15
2573.00,99.16
2572.00,99.16
2571.00,99.17
2570.00,99.18
2569.00,99.19
2568.00,99.19
2567.00,99.20
2566.00,99.20
2565.00,99.21
2564.00,99.22
2563.00,99.22
2562.00,99.23
2561.00,99.23
2560.00,99.23
2559.00,99.23
2558.00,99.24
2557.00,99.24
2556.00,99.24
2555.00,99.24
2554.00,99.24
2553.00,99.24
2552.00,99.25
2551.00,99.25
2550.00,99.26
2549.00,99.26
2548.00,99.26
2547.00,99.26
2546.00,99.27
2545.00,99.29
2544.00,99.30
2543.00,99.32
2542.00,99.33
2541.00,99.34
2540.00,99.34
2539.00,99.35
2538.00,99.35
2537.00,99.35
2536.00,99.35
2535.00,99.35
2534.00,99.35
2533.00,99.35
2532.00,99.34
2531.00,99.34
2530.00,99.34
2529.00,99.34
2528.00,99.34
2527.00,99.34
2526.00,99.35
2525.00,99.36
2524.00,99.36
2523.00,99.37
2522.00,99.38
2521.00,99.39
2520.00,99.40
2519.00,99.40
2518.00,99.41
2517.00,99.42
2516.00,99.43
2515.00,99.43
2514.00,99.43
2513.00,99.44
2512.00,99.44
2511.00,99.44
2510.00,99.45
2509.00,99.45
2508.00,99.45
2507.00,99.45
2506.00,99.45
2505.00,99.46
2504.00,99.46
2503.00,99.46
2502.00,99.46
2501.00,99.47
2500.00,99.47
2499.00,99.46
2498.00,99.46
2497.00,99.47
2496.00,99.47
2495.00,99.48
2494.00,99.48
2493.00,99.48
2492.00,99.48
2491.00,99.48
2490.00,99.48
2489.00,99.48
2488.00,99.49
2487.00,99.49
2486.00,99.49
2485.00,99.49
2484.00,99.50
2483.00,99.50
2482.00,99.50
2481.00,99.50
2480.00,99.49
2479.00,99.49
2478.00,99.49
2477.00,99.49
2476.00,99.48
2475.00,99.48
2474.00,99.48
2473.00,99.49
2472.00,99.49
2471.00,99.51
2470.00,99.52
2469.00,99.52
2468.00,99.53
2467.00,99.53
2466.00,99.53
2465.00,99.54
2464.00,99.54
2463.00,99.55
2462.00,99.55
2461.00,99.54
2460.00,99.54
2459.00,99.54
2458.00,99.54
2457.00,99.53
