Created as New Dataset,PE (high density) granule GF
cm-1,%T
2749.00,98.39
2748.00,98.39
2747.00,98.39
2746.00,98.39
2745.00,98.39
2744.00,98.39
2743.00,98.39
2742.00,98.39
2741.00,98.39
2740.00,98.40
2739.00,98.41
2738.00,98.42
2737.00,98.43
2736.00,98.45
2735.00,98.46
2734.00,98.48
2733.00,98.50
2732.00,98.52
2731.00,98.54
2730.00,98.55
2729.00,98.57
2728.00,98.59
2727.00,98.61
2726.00,98.62
2725.00,98.64
2724.00,98.65
2723.00,98.66
2722.00,98.68
2721.00,98.69
2720.00,98.70
2719.00,98.71
2718.00,98.72
2717.00,98.73
2716.00,98.75
2715.00,98.75
2714.00,98.76
2713.00,98.77
2712.00,98.78
2711.00,98.79
2710.00,98.80
2709.00,98.80
2708.00,98.81
2707.00,98.82
2706.00,98.83
2705.00,98.85
2704.00,98.86
2703.00,98.87
2702.00,98.89
2701.00,98.90
2700.00,98.91
2699.00,98.92
2698.00,98.93
2697.00,98.94
2696.00,98.95
2695.00,98.95
2694.00,98.96
2693.00,98.96
2692.00,98.96
2691.00,98.96
2690.00,98.96
2689.00,98.96
2688.00,98.96
2687.00,98.96
2686.00,98.95
2685.00,98.95
2684.00,98.94
2683.00,98.94
2682.00,98.93
2681.00,98.92
2680.00,98.91
2679.00,98.90
2678.00,98.89
2677.00,98.87
2676.00,98.85
2675.00,98.82
2674.00,98.80
2673.00,98.77
2672.00,98.75
2671.00,98.72
2670.00,98.70
2669.00,98.68
2668.00,98.66
2667.00,98.64
2666.00,98.61
2665.00,98.59
2664.00,98.57
2663.00,98.55
2662.00,98.54
2661.00,98.52
2660.00,98.51
2659.00,98.51
2658.00,98.51
2657.00,98.51
2656.00,98.51
2655.00,98.51
2654.00,98.51
2653.00,98.52
2652.00,98.52
2651.00,98.53
2650.00,98.53
2649.00,98.53
2648.00,98.53
2647.00,98.52
2646.00,98.51
2645.00,98.50
2644.00,98.49
2643.00,98.47
2642.00,98.46
2641.00,98.44
2640.00,98.43
2639.00,98.41
2638.00,98.40
2637.00,98.39
2636.00,98.38
2635.00,98.38
2634.00,98.39
2633.00,98.40
2632.00,98.42
2631.00,98.44
2630.00,98.47
2629.00,98.49
2628.00,98.52
2627.00,98.56
2626.00,98.59
2625.00,98.61
2624.00,98.64
2623.00,98.67
2622.00,98.69
2621.00,98.72
2620.00,98.74
2619.00,98.77
2618.00,98.79
2617.00,98.81
2616.00,98.83
2615.00,98.84
2614.00,98.86
2613.00,98.87
2612.00,98.89
2611.00,98.91
2610.00,98.93
2609.00,98.94
2608.00,98.96
2607.00,98.98
2606.00,98.99
2605.00,99.00
2604.00,99.01
2603.00,99.02
2602.00,99.03
2601.00,99.04
2600.00,99.05
2599.00,99.06
2598.00,99.06
2597.00,99.07
2596.00,99.08
2595.00,99.09
2594.00,99.10
2593.00,99.12
2592.00,99.13
2591.00,99.15
2590.00,99.16
2589.00,99.17
2588.00,99.19
2587.00,99.20
2586.00,99.21
2585.00,99.22
2584.00,99.23
2583.00,99.24
2582.00,99.25
2581.00,99.26
2580.00,99.27
2579.00,99.28
2578.00,99.28
2577.00,99.29
2576.00,99.29
2575.00,99.29
2574.00,99.30
2573.00,99.31
2572.00,99.32
2571.00,99.33
2570.00,99.34
2569.00,99.35
2568.00,99.36
2567.00,99.37
2566.00,99.37
2565.00,99.38
2564.00,99.38
2563.00,99.39
2562.00,99.39
2561.00,99.39
2560.00,99.39
2559.00,99.40
2558.00,99.40
2557.00,99.40
2556.00,99.41
2555.00,99.41
2554.00,99.42
2553.00,99.42
2552.00,99.42
2551.00,99.43
2550.00,99.43
2549.00,99.44
2548.00,99.44
2547.00,99.45
2546.00,99.46
2545.00,99.47
2544.00,99.49
2543.00,99.51
2542.00,99.52
2541.00,99.54
2540.00,99.55
2539.00,99.56
2538.00,99.56
2537.00,99.56
2536.00,99.56
2535.00,99.57
2534.00,99.57
2533.00,99.57
2532.00,99.57
2531.00,99.57
2530.00,99.57
