Created as New Dataset,PET amorphous
cm-1,%T
3277.00,96.81
3276.00,96.81
3275.00,96.81
3274.00,96.81
3273.00,96.81
3272.00,96.82
3271.00,96.81
3270.00,96.81
3269.00,96.81
3268.00,96.80
3267.00,96.80
3266.00,96.80
3265.00,96.80
3264.00,96.79
3263.00,96.79
3262.00,96.80
3261.00,96.80
3260.00,96.80
3259.00,96.80
3258.00,96.80
3257.00,96.80
3256.00,96.79
3255.00,96.79
3254.00,96.78
3253.00,96.78
3252.00,96.78
3251.00,96.78
3250.00,96.78
3249.00,96.79
3248.00,96.79
3247.00,96.79
3246.00,96.79
3245.00,96.79
3244.00,96.78
3243.00,96.78
3242.00,96.78
3241.00,96.78
3240.00,96.77
3239.00,96.77
3238.00,96.77
3237.00,96.77
3236.00,96.77
3235.00,96.77
3234.00,96.77
3233.00,96.77
3232.00,96.76
3231.00,96.76
3230.00,96.76
3229.00,96.76
3228.00,96.76
3227.00,96.76
3226.00,96.76
3225.00,96.76
3224.00,96.76
3223.00,96.77
3222.00,96.77
3221.00,96.77
3220.00,96.77
3219.00,96.77
3218.00,96.76
3217.00,96.76
3216.00,96.77
3215.00,96.77
3214.00,96.77
3213.00,96.77
3212.00,96.77
3211.00,96.76
3210.00,96.76
3209.00,96.76
3208.00,96.77
3207.00,96.77
3206.00,96.77
3205.00,96.77
3204.00,96.77
3203.00,96.77
3202.00,96.76
3201.00,96.76
3200.00,96.76
3199.00,96.76
3198.00,96.77
3197.00,96.76
3196.00,96.76
3195.00,96.76
3194.00,96.75
3193.00,96.75
3192.00,96.75
3191.00,96.76
3190.00,96.76
3189.00,96.75
3188.00,96.75
3187.00,96.75
3186.00,96.74
3185.00,96.74
3184.00,96.73
3183.00,96.73
3182.00,96.74
3181.00,96.74
3180.00,96.74
3179.00,96.74
3178.00,96.74
3177.00,96.73
3176.00,96.73
3175.00,96.73
3174.00,96.73
3173.00,96.73
3172.00,96.73
3171.00,96.73
3170.00,96.72
3169.00,96.72
3168.00,96.72
3167.00,96.72
3166.00,96.72
3165.00,96.72
3164.00,96.71
3163.00,96.71
3162.00,96.71
3161.00,96.71
3160.00,96.70
3159.00,96.70
3158.00,96.70
3157.00,96.70
3156.00,96.70
3155.00,96.69
3154.00,96.69
3153.00,96.69
3152.00,96.69
3151.00,96.69
3150.00,96.69
3149.00,96.68
3148.00,96.67
3147.00,96.66
3146.00,96.66
3145.00,96.66
3144.00,96.66
